timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-08-23T20:32:13.748499Z,sessions,sessions_by_year,"{""year"": 2026}",131,pass,,0.416
2026-08-23T20:32:14.414626Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.503
2026-08-23T20:32:14.908122Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.392
2026-08-23T20:32:15.483243Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.473
2026-08-23T20:32:16.120167Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.536
2026-08-23T20:32:16.607192Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.385
2026-08-23T20:32:16.709171Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-08-23T20:32:17.089185Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.38
2026-08-23T20:32:17.590876Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.4
2026-08-23T20:32:18.228240Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.535
2026-08-23T20:32:18.749980Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.42
2026-08-23T20:32:19.257135Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.405
2026-08-23T20:32:19.731192Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.372
2026-08-23T20:32:20.221550Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.389
2026-08-23T20:32:20.727406Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.404
2026-08-23T20:32:20.829455Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-08-23T20:32:21.253889Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.424
2026-08-23T20:32:21.720181Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.365
2026-08-23T20:32:22.254117Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.432
2026-08-23T20:32:22.796998Z,weather,weather_by_session_key,"{""session_key"": 11467}",528,pass,,0.441
2026-08-23T20:32:23.270626Z,race_control,race_control_by_session_key,"{""session_key"": 11467}",109,pass,,0.372
2026-08-23T20:32:23.755917Z,intervals,intervals_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.383
2026-08-23T20:32:24.277435Z,position,position_by_session_key,"{""session_key"": 11467}",216,pass,,0.42
2026-08-23T20:32:24.795745Z,stints,stints_by_session_key,"{""session_key"": 11467}",211,pass,,0.416
2026-08-23T20:32:24.897709Z,pit,skip_non_race_like_session,"{""session_key"": 11467}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-08-23T20:32:25.251492Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.354
