lane,rows,result,reason,required_status,heavy_endpoint
weather,3967,pass,evidence_bearing,required_lightweight,False
race_control,2065,pass,evidence_bearing,required_lightweight,False
intervals,146106,pass,evidence_bearing,required_lightweight,False
position,13457,pass,evidence_bearing,required_lightweight,False
stints,1630,pass,evidence_bearing,required_lightweight,False
pit,173,pass,evidence_bearing,required_lightweight,False
starting_grid,110,pass,evidence_bearing,required_lightweight,False
drivers,577,pass,evidence_bearing,required_lightweight,False
team_radio,178,pass,evidence_bearing,opportunistic,False
