position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,24,8.0,False,False,False,1825.318,0,1292,11348
2,16,24,7.0,False,False,False,1826.678,1.36,1292,11348
3,1,24,6.0,False,False,False,1830.514,5.196,1292,11348
4,12,24,5.0,False,False,False,1830.899,5.581,1292,11348
5,81,24,4.0,False,False,False,1835.503,10.185,1292,11348
6,3,24,3.0,False,False,False,1835.847,10.529,1292,11348
7,44,24,2.0,False,False,False,1837.506,12.188,1292,11348
8,10,24,1.0,False,False,False,1867.828,42.51,1292,11348
9,5,24,0.0,False,False,False,1869.755,44.437,1292,11348
10,41,24,0.0,False,False,False,1870.289,44.971,1292,11348
11,30,24,0.0,False,False,False,1872.789,47.471,1292,11348
12,43,24,0.0,False,False,False,1879.784,54.466,1292,11348
13,22,24,0.0,False,False,False,1881.801,56.483,1292,11348
14,31,24,0.0,False,False,False,1891.416,66.098,1292,11348
15,87,24,0.0,False,False,False,1891.906,66.588,1292,11348
16,23,24,0.0,False,False,False,1899.95,74.632,1292,11348
17,18,24,0.0,False,False,False,1899.968,74.65,1292,11348
18,14,24,0.0,False,False,False,1900.602,75.284,1292,11348
19,77,23,0.0,False,False,False,,+1 LAP,1292,11348
20,55,23,0.0,False,False,False,,+1 LAP,1292,11348
21,11,21,0.0,False,False,False,,+3 LAPS,1292,11348
,27,7,0.0,False,False,False,,+17 LAPS,1292,11348
