date,session_key,wind_speed,air_temperature,pressure,track_temperature,wind_direction,rainfall,meeting_key,humidity
2026-06-27T13:47:43.426000+00:00,11311,0.6,33.2,943.2,53.5,286,0,1288,24.7
2026-06-27T13:48:43.440000+00:00,11311,0.6,33.1,943.2,53.5,286,0,1288,24.7
2026-06-27T13:49:43.454000+00:00,11311,0.6,33.0,943.2,53.5,286,0,1288,24.7
2026-06-27T13:50:43.469000+00:00,11311,0.6,33.2,943.2,53.5,286,0,1288,24.7
2026-06-27T13:51:43.494000+00:00,11311,0.6,33.4,943.2,53.5,286,0,1288,24.7
2026-06-27T13:52:43.524000+00:00,11311,2.6,33.3,943.1,52.8,283,0,1288,25.6
2026-06-27T13:53:43.518000+00:00,11311,2.5,33.4,943.1,52.8,283,0,1288,25.6
2026-06-27T13:54:43.558000+00:00,11311,2.5,33.3,943.1,52.8,283,0,1288,25.6
2026-06-27T13:55:43.561000+00:00,11311,1.3,33.2,943.1,50.8,188,0,1288,25.6
2026-06-27T13:56:43.573000+00:00,11311,1.3,33.0,943.1,50.8,188,0,1288,25.6
2026-06-27T13:57:43.601000+00:00,11311,1.3,32.5,943.1,50.8,188,0,1288,25.6
2026-06-27T13:58:43.629000+00:00,11311,1.9,33.2,943.2,52.4,289,0,1288,25.7
2026-06-27T13:59:43.657000+00:00,11311,1.9,33.1,943.2,52.4,289,0,1288,25.7
2026-06-27T14:00:43.674000+00:00,11311,1.3,33.1,943.1,52.5,237,0,1288,25.9
2026-06-27T14:01:43.716000+00:00,11311,2.4,33.2,943.1,52.9,280,0,1288,25.5
2026-06-27T14:02:43.740000+00:00,11311,2.4,33.0,943.1,52.9,280,0,1288,25.5
2026-06-27T14:03:43.768000+00:00,11311,1.1,33.1,943.1,51.9,245,0,1288,25.6
2026-06-27T14:04:43.777000+00:00,11311,0.4,33.4,943.1,51.7,124,0,1288,25.5
2026-06-27T14:05:43.792000+00:00,11311,0.4,33.3,943.1,52.7,330,0,1288,25.5
2026-06-27T14:06:43.819000+00:00,11311,0.4,33.5,943.1,52.7,330,0,1288,25.5
2026-06-27T14:07:43.832000+00:00,11311,1.4,33.7,943.0,52.6,58,0,1288,24.7
2026-06-27T14:08:43.835000+00:00,11311,1.4,33.3,943.0,52.6,58,0,1288,24.7
2026-06-27T14:09:43.856000+00:00,11311,1.4,33.6,943.1,52.7,22,0,1288,24.7
2026-06-27T14:10:43.865000+00:00,11311,1.4,33.5,943.1,52.7,22,0,1288,24.7
2026-06-27T14:11:43.886000+00:00,11311,0.6,33.7,943.1,52.6,332,0,1288,25.2
2026-06-27T14:12:43.896000+00:00,11311,1.9,33.4,943.0,52.1,23,0,1288,25.4
2026-06-27T14:13:43.940000+00:00,11311,2.7,33.6,943.1,52.0,348,0,1288,25.1
2026-06-27T14:14:43.964000+00:00,11311,1.0,33.3,943.2,52.0,307,0,1288,25.3
2026-06-27T14:15:43.976000+00:00,11311,1.0,33.3,943.2,52.0,307,0,1288,25.3
2026-06-27T14:16:43.988000+00:00,11311,0.9,33.6,943.1,52.0,306,0,1288,24.3
2026-06-27T14:17:44+00:00,11311,1.2,33.6,943.2,52.2,115,0,1288,24.6
2026-06-27T14:18:44.014000+00:00,11311,1.2,33.5,943.2,52.2,115,0,1288,24.6
2026-06-27T14:19:44.024000+00:00,11311,1.3,33.4,943.1,52.4,34,0,1288,24.7
2026-06-27T14:20:44.037000+00:00,11311,1.3,33.3,943.1,52.4,34,0,1288,24.7
2026-06-27T14:21:44.044000+00:00,11311,0.6,33.3,943.2,52.1,8,0,1288,25.0
2026-06-27T14:22:44.059000+00:00,11311,1.5,33.3,943.0,52.2,316,0,1288,24.8
2026-06-27T14:23:44.072000+00:00,11311,2.4,33.4,943.0,52.3,291,0,1288,24.8
2026-06-27T14:24:44.076000+00:00,11311,2.4,33.3,943.0,52.3,291,0,1288,24.8
2026-06-27T14:25:44.101000+00:00,11311,0.4,33.4,943.0,52.3,241,0,1288,25.9
2026-06-27T14:26:44.125000+00:00,11311,0.4,33.3,943.0,52.3,241,0,1288,25.9
2026-06-27T14:27:44.156000+00:00,11311,1.3,33.6,943.0,51.4,27,0,1288,26.0
