date,session_key,wind_speed,air_temperature,pressure,track_temperature,wind_direction,rainfall,meeting_key,humidity
2026-06-27T14:28:44.181000+00:00,11311,2.7,33.5,943.0,51.5,301,0,1288,26.5
2026-06-27T14:29:44.193000+00:00,11311,2.7,33.3,943.0,51.5,301,0,1288,26.5
2026-06-27T14:30:44.208000+00:00,11311,1.3,33.3,943.0,51.5,340,0,1288,26.7
2026-06-27T14:31:44.221000+00:00,11311,1.2,33.3,943.0,51.4,11,0,1288,26.4
2026-06-27T14:32:44.218000+00:00,11311,0.5,33.3,943.0,51.5,25,0,1288,26.5
2026-06-27T14:33:44.245000+00:00,11311,0.6,33.4,942.9,51.8,332,0,1288,26.5
2026-06-27T14:34:43.269000+00:00,11311,0.6,33.2,942.9,51.8,332,0,1288,26.5
2026-06-27T14:35:46.520000+00:00,11311,0.7,33.2,942.9,51.7,226,0,1288,26.2
2026-06-27T14:36:43.980000+00:00,11311,0.7,32.9,942.9,51.7,226,0,1288,26.2
2026-06-27T14:37:42.997000+00:00,11311,0.8,33.4,942.9,52.1,326,0,1288,24.5
2026-06-27T14:38:43.003000+00:00,11311,0.6,33.4,942.9,52.1,34,0,1288,25.3
2026-06-27T14:39:42.945000+00:00,11311,1.8,33.6,942.9,52.1,65,0,1288,25.8
2026-06-27T14:40:42.921000+00:00,11311,1.4,33.5,943.0,51.6,95,0,1288,24.9
2026-06-27T14:41:42.909000+00:00,11311,1.4,33.3,943.0,51.6,95,0,1288,24.9
2026-06-27T14:42:42.897000+00:00,11311,1.4,33.2,943.0,51.6,95,0,1288,24.9
2026-06-27T14:43:42.885000+00:00,11311,1.1,33.6,942.9,51.4,12,0,1288,25.4
2026-06-27T14:44:42.866000+00:00,11311,1.1,33.3,942.9,51.4,12,0,1288,25.4
2026-06-27T14:45:42.849000+00:00,11311,1.1,33.3,942.9,51.4,12,0,1288,25.4
2026-06-27T14:46:42.832000+00:00,11311,1.6,33.5,942.8,51.8,330,0,1288,25.8
2026-06-27T14:47:42.807000+00:00,11311,1.8,33.5,942.9,51.8,68,0,1288,25.9
2026-06-27T14:48:42.787000+00:00,11311,2.2,33.6,942.9,51.5,300,0,1288,25.4
2026-06-27T14:49:42.767000+00:00,11311,3.0,33.5,942.9,51.4,294,0,1288,26.0
2026-06-27T14:50:42.743000+00:00,11311,2.4,33.4,942.9,51.2,298,0,1288,25.3
2026-06-27T14:51:42.735000+00:00,11311,0.9,33.4,942.8,50.7,229,0,1288,26.1
2026-06-27T14:52:42.705000+00:00,11311,0.5,33.3,942.8,51.5,114,0,1288,25.5
2026-06-27T14:53:42.683000+00:00,11311,0.4,33.4,942.9,51.0,2,0,1288,25.3
2026-06-27T14:54:42.663000+00:00,11311,1.4,33.5,942.8,51.2,69,0,1288,25.3
2026-06-27T14:55:42.641000+00:00,11311,0.0,33.5,942.8,50.9,0,0,1288,24.9
2026-06-27T14:56:42.626000+00:00,11311,0.0,33.4,942.8,50.9,0,0,1288,24.9
2026-06-27T14:57:42.605000+00:00,11311,0.9,33.5,942.9,51.1,12,0,1288,24.7
2026-06-27T14:58:42.581000+00:00,11311,0.9,33.3,942.9,51.1,12,0,1288,24.7
2026-06-27T14:59:42.558000+00:00,11311,0.7,33.4,942.8,50.8,100,0,1288,25.1
2026-06-27T15:00:42.535000+00:00,11311,0.9,33.4,942.8,50.8,136,0,1288,24.7
2026-06-27T15:01:42.526000+00:00,11311,0.9,33.2,942.8,50.8,136,0,1288,24.7
2026-06-27T15:02:42.491000+00:00,11311,1.2,33.4,942.8,50.8,9,0,1288,24.9
2026-06-27T15:03:42.477000+00:00,11311,0.0,33.5,942.8,51.3,0,0,1288,25.6
2026-06-27T15:04:42.464000+00:00,11311,0.0,33.4,942.8,51.3,0,0,1288,25.6
2026-06-27T15:05:42.434000+00:00,11311,1.4,33.6,942.8,50.7,307,0,1288,25.6
2026-06-27T15:06:42.418000+00:00,11311,1.4,33.3,942.8,50.7,307,0,1288,25.6
