position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,20,False,False,False,"[67.398, 66.979, 66.113]","[0.315, 0.216, 0.0]",1288,11311
2,16,15,False,False,False,"[67.543, 67.03, 66.349]","[0.46, 0.267, 0.236]",1288,11311
3,44,14,False,False,False,"[67.29, 66.994, 66.408]","[0.207, 0.231, 0.295]",1288,11311
4,12,17,False,False,False,"[67.083, 66.763, 66.414]","[0.0, 0.0, 0.301]",1288,11311
5,3,11,False,False,False,"[67.407, 67.183, 66.475]","[0.324, 0.42, 0.362]",1288,11311
6,1,15,False,False,False,"[67.259, 66.897, 66.502]","[0.176, 0.134, 0.389]",1288,11311
7,81,14,False,False,False,"[67.487, 66.89, 66.511]","[0.404, 0.127, 0.398]",1288,11311
8,6,18,False,False,False,"[67.408, 67.086, 66.632]","[0.325, 0.323, 0.519]",1288,11311
9,30,18,False,False,False,"[67.385, 67.136, 66.955]","[0.302, 0.373, 0.842]",1288,11311
10,41,18,False,False,False,"[67.549, 67.155, 67.007]","[0.466, 0.392, 0.894]",1288,11311
11,10,12,False,False,False,"[68.038, 67.223, None]","[0.955, 0.46, None]",1288,11311
12,5,12,False,False,False,"[68.035, 67.293, None]","[0.952, 0.53, None]",1288,11311
13,87,12,False,False,False,"[68.061, 67.523, None]","[0.978, 0.76, None]",1288,11311
14,27,15,False,False,False,"[68.066, 67.611, None]","[0.983, 0.848, None]",1288,11311
15,31,15,False,False,False,"[68.231, 67.817, None]","[1.148, 1.054, None]",1288,11311
16,43,11,False,False,False,"[67.894, 68.171, None]","[0.811, 1.408, None]",1288,11311
17,55,9,False,False,False,"[68.252, None, None]","[1.169, None, None]",1288,11311
18,23,9,False,False,False,"[68.509, None, None]","[1.426, None, None]",1288,11311
19,11,9,False,False,False,"[68.945, None, None]","[1.862, None, None]",1288,11311
20,77,9,False,False,False,"[69.03, None, None]","[1.947, None, None]",1288,11311
21,14,9,False,False,False,"[69.942, None, None]","[2.859, None, None]",1288,11311
22,18,8,False,False,False,"[70.363, None, None]","[3.28, None, None]",1288,11311
