date,session_key,driver_number,meeting_key,interval,gap_to_leader
2026-08-22T10:03:32.497000+00:00,11348,22,1292,0.261,3.426
2026-08-22T10:03:32.794000+00:00,11348,31,1292,0.291,3.717
2026-08-22T10:03:32.950000+00:00,11348,87,1292,0.157,3.874
2026-08-22T10:03:33.138000+00:00,11348,23,1292,0.171,4.045
2026-08-22T10:03:33.294000+00:00,11348,27,1292,0.169,4.214
2026-08-22T10:03:33.497000+00:00,11348,55,1292,6.619,10.146
2026-08-22T10:03:33.606000+00:00,11348,18,1292,0.333,4.547
2026-08-22T10:03:33.841000+00:00,11348,1,1292,0.535,0.535
2026-08-22T10:03:33.877000+00:00,11348,14,1292,0.412,10.558
2026-08-22T10:03:33.970000+00:00,11348,77,1292,0.304,4.851
2026-08-22T10:03:34.217000+00:00,11348,16,1292,0.368,0.903
2026-08-22T10:03:34.625000+00:00,11348,12,1292,0.407,1.31
2026-08-22T10:03:34.877000+00:00,11348,81,1292,0.256,1.566
2026-08-22T10:03:35.143000+00:00,11348,3,1292,0.283,1.849
2026-08-22T10:03:35.671000+00:00,11348,44,1292,0.513,2.362
2026-08-22T10:03:36.060000+00:00,11348,10,1292,0.386,2.748
2026-08-22T10:03:36.292000+00:00,11348,55,1292,6.388,10.383
2026-08-22T10:03:36.412000+00:00,11348,5,1292,0.328,3.076
2026-08-22T10:03:36.623000+00:00,11348,41,1292,0.221,3.297
2026-08-22T10:03:36.662000+00:00,11348,30,1292,0.018,3.315
2026-08-22T10:03:36.725000+00:00,11348,14,1292,0.397,10.78
2026-08-22T10:03:36.991000+00:00,11348,43,1292,0.345,3.66
2026-08-22T10:03:37.226000+00:00,11348,22,1292,0.255,3.915
2026-08-22T10:03:37.569000+00:00,11348,31,1292,0.352,4.267
2026-08-22T10:03:37.593000+00:00,11348,1,1292,0.671,0.671
2026-08-22T10:03:37.700000+00:00,11348,87,1292,0.109,4.376
2026-08-22T10:03:37.808000+00:00,11348,16,1292,0.211,0.882
2026-08-22T10:03:37.958000+00:00,11348,23,1292,0.262,4.638
2026-08-22T10:03:38.142000+00:00,11348,27,1292,0.182,4.82
2026-08-22T10:03:38.241000+00:00,11348,12,1292,0.446,1.328
2026-08-22T10:03:38.291000+00:00,11348,18,1292,0.17,4.99
2026-08-22T10:03:38.525000+00:00,11348,81,1292,0.28,1.608
2026-08-22T10:03:38.845000+00:00,11348,77,1292,0.56,5.55
2026-08-22T10:03:38.892000+00:00,11348,3,1292,0.338,1.946
2026-08-22T10:03:39.370000+00:00,11348,44,1292,0.506,2.452
2026-08-22T10:03:39.599000+00:00,11348,55,1292,5.653,10.504
2026-08-22T10:03:39.745000+00:00,11348,10,1292,0.388,2.84
2026-08-22T10:03:39.829000+00:00,11348,14,1292,0.255,10.759
2026-08-22T10:03:40.070000+00:00,11348,5,1292,0.299,3.139
2026-08-22T10:03:40.405000+00:00,11348,41,1292,0.338,3.477
2026-08-22T10:03:40.461000+00:00,11348,30,1292,0.037,3.514
2026-08-22T10:03:40.668000+00:00,11348,43,1292,0.24,3.754
2026-08-22T10:03:40.752000+00:00,11348,1,1292,0.659,0.659
2026-08-22T10:03:40.877000+00:00,11348,16,1292,0.158,0.817
2026-08-22T10:03:40.969000+00:00,11348,22,1292,0.291,4.045
2026-08-22T10:03:41.291000+00:00,11348,31,1292,0.319,4.364
2026-08-22T10:03:41.353000+00:00,11348,12,1292,0.485,1.302
2026-08-22T10:03:41.525000+00:00,11348,87,1292,0.21,4.574
2026-08-22T10:03:41.641000+00:00,11348,81,1292,0.27,1.572
2026-08-22T10:03:41.641000+00:00,11348,23,1292,0.142,4.716
2026-08-22T10:03:41.943000+00:00,11348,1,1292,0.606,0.606
2026-08-22T10:03:41.970000+00:00,11348,27,1292,0.287,5.003
2026-08-22T10:03:42.030000+00:00,11348,3,1292,0.377,1.949
2026-08-22T10:03:42.072000+00:00,11348,16,1292,0.209,0.815
2026-08-22T10:03:42.104000+00:00,11348,18,1292,0.188,5.191
2026-08-22T10:03:42.523000+00:00,11348,44,1292,0.514,2.463
2026-08-22T10:03:42.527000+00:00,11348,12,1292,0.467,1.282
2026-08-22T10:03:42.755000+00:00,11348,77,1292,0.631,5.822
