position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,15,False,False,False,"[106.304, 105.142, 104.361]","[0.439, 0.0, 0.0]",1290,11330
2,3,12,False,False,False,"[105.93, 105.589, 104.678]","[0.065, 0.447, 0.317]",1290,11330
3,1,11,False,False,False,"[105.865, 105.454, 104.801]","[0.0, 0.312, 0.44]",1290,11330
4,63,18,False,False,False,"[106.185, 105.689, 104.869]","[0.32, 0.547, 0.508]",1290,11330
5,16,18,False,False,False,"[106.278, 105.397, 104.893]","[0.413, 0.255, 0.532]",1290,11330
6,44,15,False,False,False,"[106.124, 105.543, 104.895]","[0.259, 0.401, 0.534]",1290,11330
7,81,17,False,False,False,"[106.433, 105.671, 105.016]","[0.568, 0.529, 0.655]",1290,11330
8,41,18,False,False,False,"[106.191, 105.629, 105.143]","[0.326, 0.487, 0.782]",1290,11330
9,5,18,False,False,False,"[106.609, 106.082, 105.628]","[0.744, 0.94, 1.267]",1290,11330
10,6,13,True,False,False,"[106.062, 105.823, None]","[0.197, 0.681, None]",1290,11330
11,30,12,False,False,False,"[106.501, 106.12, None]","[0.636, 0.978, None]",1290,11330
12,10,12,False,False,False,"[106.679, 106.331, None]","[0.814, 1.189, None]",1290,11330
13,43,12,False,False,False,"[106.795, 106.392, None]","[0.93, 1.25, None]",1290,11330
14,27,12,False,False,False,"[106.893, 106.671, None]","[1.028, 1.529, None]",1290,11330
15,55,12,False,False,False,"[107.08, 106.777, None]","[1.215, 1.635, None]",1290,11330
16,87,12,False,False,False,"[107.113, 106.779, None]","[1.248, 1.637, None]",1290,11330
17,23,6,False,False,False,"[107.12, None, None]","[1.255, None, None]",1290,11330
18,31,6,False,False,False,"[107.801, None, None]","[1.936, None, None]",1290,11330
19,77,8,False,False,False,"[107.823, None, None]","[1.958, None, None]",1290,11330
20,11,8,False,False,False,"[107.971, None, None]","[2.106, None, None]",1290,11330
21,14,6,False,False,False,"[110.002, None, None]","[4.137, None, None]",1290,11330
22,18,8,False,False,False,"[110.177, None, None]","[4.312, None, None]",1290,11330
