position,driver_number,lap_duration,meeting_key,session_key
1,1,91.824,1294,11365
2,12,91.835,1294,11365
3,3,91.964,1294,11365
4,44,92.013,1294,11365
5,16,92.019,1294,11365
6,63,92.149,1294,11365
7,81,92.294,1294,11365
8,30,92.316,1294,11365
9,43,92.903,1294,11365
10,41,93.041,1294,11365
11,27,93.223,1294,11365
12,5,93.388,1294,11365
13,31,93.667,1294,11365
14,10,93.753,1294,11365
15,22,94.084,1294,11365
16,23,95.532,1294,11365
17,14,95.388,1294,11365
18,11,95.913,1294,11365
19,77,98.011,1294,11365
20,55,95.312,1294,11365
21,87,,1294,11365
22,18,,1294,11365
