source_name,found,row_count,path
drivers,True,1396,latest/openf1_lightweight_source_closure/data/openf1_drivers.csv
intervals,True,264665,latest/openf1_lightweight_source_closure/data/openf1_intervals.csv
pit,True,484,latest/openf1_lightweight_source_closure/data/openf1_pit.csv
position,True,33506,latest/openf1_lightweight_source_closure/data/openf1_position.csv
race_control,True,4508,latest/openf1_lightweight_source_closure/data/openf1_race_control.csv
source_readiness,True,9,latest/openf1_lightweight_source_closure/source_readiness_summary.csv
starting_grid,True,264,latest/openf1_lightweight_source_closure/data/openf1_starting_grid.csv
stints,True,4578,latest/openf1_lightweight_source_closure/data/openf1_stints.csv
weather,True,7870,latest/openf1_lightweight_source_closure/data/openf1_weather.csv
