position,driver_number,lap_duration,meeting_key,session_key
1,63,71.567,1292,11344
2,1,71.608,1292,11344
3,16,71.622,1292,11344
4,81,71.666,1292,11344
5,12,71.794,1292,11344
6,3,72.094,1292,11344
7,44,72.191,1292,11344
8,10,72.578,1292,11344
9,5,72.583,1292,11344
10,41,72.737,1292,11344
11,30,73.136,1292,11344
12,22,73.145,1292,11344
13,43,73.439,1292,11344
14,27,73.616,1292,11344
15,31,73.893,1292,11344
16,23,74.294,1292,11344
17,87,74.728,1292,11344
18,55,74.738,1292,11344
19,18,75.391,1292,11344
20,77,75.472,1292,11344
21,11,75.545,1292,11344
22,14,76.014,1292,11344
