lane,rows,result,reason,required_status,heavy_endpoint
weather,5244,pass,evidence_bearing,required_lightweight,False
race_control,2843,pass,evidence_bearing,required_lightweight,False
intervals,202469,pass,evidence_bearing,required_lightweight,False
position,16377,pass,evidence_bearing,required_lightweight,False
stints,2935,pass,evidence_bearing,required_lightweight,False
pit,309,pass,evidence_bearing,required_lightweight,False
starting_grid,88,pass,evidence_bearing,required_lightweight,False
drivers,722,pass,evidence_bearing,required_lightweight,False
team_radio,228,pass,evidence_bearing,opportunistic,False
