position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,13,False,False,False,105.99,0,1290,11329
2,1,21,False,False,False,106.129,0.139,1290,11329
3,3,14,False,False,False,106.138,0.148,1290,11329
4,63,12,False,False,False,106.357,0.367,1290,11329
5,44,17,False,False,False,106.382,0.392,1290,11329
6,16,17,False,False,False,106.75,0.76,1290,11329
7,81,20,False,False,False,106.785,0.795,1290,11329
8,27,20,False,False,False,106.924,0.934,1290,11329
9,5,18,False,False,False,107.049,1.059,1290,11329
10,6,19,False,False,False,107.096,1.106,1290,11329
11,41,23,False,False,False,107.176,1.186,1290,11329
12,30,23,False,False,False,107.69,1.7,1290,11329
13,43,20,False,False,False,107.904,1.914,1290,11329
14,87,23,False,False,False,107.92,1.93,1290,11329
15,10,21,False,False,False,107.949,1.959,1290,11329
16,23,19,False,False,False,107.99,2.0,1290,11329
17,77,22,False,False,False,108.644,2.654,1290,11329
18,55,20,False,False,False,108.692,2.702,1290,11329
19,31,22,False,False,False,108.73,2.74,1290,11329
20,11,21,False,False,False,108.99,3.0,1290,11329
21,14,17,False,False,False,110.155,4.165,1290,11329
22,18,15,False,False,False,110.631,4.641,1290,11329
