date,session_key,driver_number,meeting_key,position
2026-07-18T10:17:02.656000+00:00,11329,1,1290,1
2026-07-18T10:17:02.656000+00:00,11329,3,1290,2
2026-07-18T10:17:02.656000+00:00,11329,5,1290,3
2026-07-18T10:17:02.656000+00:00,11329,6,1290,4
2026-07-18T10:17:02.656000+00:00,11329,10,1290,5
2026-07-18T10:17:02.656000+00:00,11329,11,1290,6
2026-07-18T10:17:02.656000+00:00,11329,12,1290,7
2026-07-18T10:17:02.656000+00:00,11329,14,1290,8
2026-07-18T10:17:02.656000+00:00,11329,16,1290,9
2026-07-18T10:17:02.656000+00:00,11329,18,1290,10
2026-07-18T10:17:02.656000+00:00,11329,23,1290,11
2026-07-18T10:17:02.656000+00:00,11329,27,1290,12
2026-07-18T10:17:02.656000+00:00,11329,30,1290,13
2026-07-18T10:17:02.656000+00:00,11329,31,1290,14
2026-07-18T10:17:02.656000+00:00,11329,41,1290,15
2026-07-18T10:17:02.656000+00:00,11329,43,1290,16
2026-07-18T10:17:02.656000+00:00,11329,44,1290,17
2026-07-18T10:17:02.656000+00:00,11329,55,1290,18
2026-07-18T10:17:02.656000+00:00,11329,63,1290,19
2026-07-18T10:17:02.656000+00:00,11329,77,1290,20
2026-07-18T10:17:02.656000+00:00,11329,81,1290,21
2026-07-18T10:17:02.656000+00:00,11329,87,1290,22
2026-07-18T10:33:26.022000+00:00,11329,1,1290,2
2026-07-18T10:33:26.022000+00:00,11329,3,1290,3
2026-07-18T10:33:26.022000+00:00,11329,5,1290,4
2026-07-18T10:33:26.022000+00:00,11329,6,1290,5
2026-07-18T10:33:26.022000+00:00,11329,10,1290,6
2026-07-18T10:33:26.022000+00:00,11329,11,1290,7
2026-07-18T10:33:26.022000+00:00,11329,12,1290,8
2026-07-18T10:33:26.022000+00:00,11329,14,1290,9
2026-07-18T10:33:26.022000+00:00,11329,16,1290,10
2026-07-18T10:33:26.022000+00:00,11329,18,1290,11
2026-07-18T10:33:26.022000+00:00,11329,23,1290,12
2026-07-18T10:33:26.022000+00:00,11329,27,1290,13
2026-07-18T10:33:26.022000+00:00,11329,30,1290,14
2026-07-18T10:33:26.022000+00:00,11329,31,1290,15
2026-07-18T10:33:26.022000+00:00,11329,41,1290,16
2026-07-18T10:33:26.022000+00:00,11329,43,1290,1
2026-07-18T10:33:28.850000+00:00,11329,1,1290,3
2026-07-18T10:33:28.850000+00:00,11329,3,1290,4
2026-07-18T10:33:28.850000+00:00,11329,5,1290,5
2026-07-18T10:33:28.850000+00:00,11329,6,1290,6
2026-07-18T10:33:28.850000+00:00,11329,10,1290,7
2026-07-18T10:33:28.850000+00:00,11329,11,1290,8
2026-07-18T10:33:28.850000+00:00,11329,12,1290,9
2026-07-18T10:33:28.850000+00:00,11329,14,1290,10
2026-07-18T10:33:28.850000+00:00,11329,16,1290,11
2026-07-18T10:33:28.850000+00:00,11329,18,1290,12
2026-07-18T10:33:28.850000+00:00,11329,23,1290,13
2026-07-18T10:33:28.850000+00:00,11329,27,1290,14
