date,session_key,pit_duration,lane_duration,meeting_key,lap_number,driver_number,stop_duration,source_closure_retrieved_utc
2026-05-02T16:25:14.670000+00:00,11275,40.821,40.821,1284,13,23,20.6,2026-07-03T17:13:12.952428Z
2026-05-22T20:30:02.910000+00:00,11282,,,1285,1,44,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:05.973000+00:00,11282,,,1285,1,16,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:09.738000+00:00,11282,,,1285,1,55,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:11.722000+00:00,11282,,,1285,1,77,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:17.538000+00:00,11282,,,1285,1,87,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:23.269000+00:00,11282,,,1285,1,1,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:26.738000+00:00,11282,,,1285,1,31,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:33.327000+00:00,11282,,,1285,1,41,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:49.632000+00:00,11282,,,1285,1,14,,2026-07-03T17:14:13.057237Z
2026-05-22T20:30:55.491000+00:00,11282,,,1285,1,18,,2026-07-03T17:14:13.057237Z
2026-05-22T20:31:03.710000+00:00,11282,,,1285,1,5,,2026-07-03T17:14:13.057237Z
2026-05-22T20:31:07.684000+00:00,11282,,,1285,1,11,,2026-07-03T17:14:13.057237Z
2026-05-22T20:31:14.348000+00:00,11282,,,1285,1,81,,2026-07-03T17:14:13.057237Z
2026-05-22T20:31:26.839000+00:00,11282,,,1285,1,27,,2026-07-03T17:14:13.057237Z
2026-05-22T20:31:46.701000+00:00,11282,,,1285,1,63,,2026-07-03T17:14:13.057237Z
2026-05-22T20:31:53.635000+00:00,11282,,,1285,1,12,,2026-07-03T17:14:13.057237Z
2026-05-22T20:32:09.595000+00:00,11282,,,1285,1,43,,2026-07-03T17:14:13.057237Z
2026-05-22T20:32:10.517000+00:00,11282,,,1285,1,10,,2026-07-03T17:14:13.057237Z
2026-05-22T20:32:15.745000+00:00,11282,,,1285,1,6,,2026-07-03T17:14:13.057237Z
2026-05-22T20:32:35.164000+00:00,11282,,,1285,1,3,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:02.559000+00:00,11282,,,1285,8,55,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:04.047000+00:00,11282,,,1285,8,18,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:14.187000+00:00,11282,,,1285,9,44,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:17.156000+00:00,11282,,,1285,8,87,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:18.177000+00:00,11282,,,1285,8,31,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:21.459000+00:00,11282,,,1285,7,27,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:23.459000+00:00,11282,,,1285,7,5,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:24.224000+00:00,11282,,,1285,8,77,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:24.599000+00:00,11282,,,1285,7,10,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:26.050000+00:00,11282,,,1285,8,11,,2026-07-03T17:14:13.057237Z
2026-05-22T20:59:29.459000+00:00,11282,,,1285,7,43,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:03.099000+00:00,11282,,,1285,7,63,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:07.349000+00:00,11282,,,1285,7,12,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:15.099000+00:00,11282,349.9,349.9,1285,9,43,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:19.168000+00:00,11282,370.8,370.8,1285,10,87,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:21.897000+00:00,11282,367.3,367.3,1285,10,31,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:29.658000+00:00,11282,458.2,458.2,1285,8,5,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:40.595000+00:00,11282,,,1285,8,1,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:45.945000+00:00,11282,,,1285,8,41,,2026-07-03T17:14:13.057237Z
2026-05-22T21:08:48.367000+00:00,11282,328.1,328.1,1285,11,55,,2026-07-03T17:14:13.057237Z
2026-05-22T21:09:00.585000+00:00,11282,338.9,338.9,1285,12,44,,2026-07-03T17:14:13.057237Z
2026-05-22T21:09:05.582000+00:00,11282,,,1285,8,16,,2026-07-03T17:14:13.057237Z
2026-05-22T21:09:11.421000+00:00,11282,,,1285,7,6,,2026-07-03T17:14:13.057237Z
2026-05-22T21:09:21.150000+00:00,11282,511.9,511.9,1285,8,27,,2026-07-03T17:14:13.057237Z
2026-05-22T21:09:26.195000+00:00,11282,,,1285,7,81,,2026-07-03T17:14:13.057237Z
2026-05-22T21:11:54.235000+00:00,11282,,,1285,7,3,,2026-07-03T17:14:13.057237Z
2026-05-22T21:25:36.056000+00:00,11282,483.7,483.7,1285,18,44,,2026-07-03T17:14:13.057237Z
2026-05-22T21:25:41.322000+00:00,11282,553.2,553.2,1285,12,6,,2026-07-03T17:14:13.057237Z
2026-05-22T21:25:48.259000+00:00,11282,311.6,311.6,1285,19,55,,2026-07-03T17:14:13.057237Z
2026-05-22T21:26:22.741000+00:00,11282,514.1,514.1,1285,14,63,,2026-07-03T17:14:13.057237Z
