date,session_key,driver_number,gap_to_leader,interval,meeting_key,source_closure_retrieved_utc
2026-03-29T04:10:21.258000+00:00,11253,12,0.0,0.0,1281,2026-06-10T23:04:09.794499Z
2026-03-29T04:10:38.936000+00:00,11253,12,0.0,0.0,1281,2026-06-10T23:04:09.794499Z
2026-03-29T04:10:43.061000+00:00,11253,12,0.0,0.0,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:06.908000+00:00,11253,16,,0.207,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:07.069000+00:00,11253,1,0.125,0.149,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:07.171000+00:00,11253,44,0.318,0.193,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:07.467000+00:00,11253,10,0.682,0.364,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:07.789000+00:00,11253,6,0.961,0.279,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:07.978000+00:00,11253,41,1.133,,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:08.117000+00:00,11253,31,1.262,,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:08.390000+00:00,11253,3,1.428,0.295,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:08.554000+00:00,11253,5,1.531,0.57,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:08.611000+00:00,11253,30,1.561,,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:08.870000+00:00,11253,55,1.718,,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:08.880000+00:00,11253,43,1.75,0.189,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.012000+00:00,11253,23,1.839,0.121,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.085000+00:00,11253,87,1.997,0.158,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.146000+00:00,11253,27,2.042,0.78,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.342000+00:00,11253,11,2.226,0.229,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.373000+00:00,11253,77,2.326,0.1,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.445000+00:00,11253,14,2.442,0.116,1281,2026-06-10T23:04:09.794499Z
2026-03-29T05:14:09.560000+00:00,11253,18,2.77,0.328,1281,2026-06-10T23:04:09.794499Z
