date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-03T17:04:19.445000+00:00,11280,1284,3.043,0.058,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.662000+00:00,11280,1284,3.251,0.208,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:19.717000+00:00,11280,1284,3.305,0.054,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:20.038000+00:00,11280,1284,3.636,0.331,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:20.586000+00:00,11280,1284,4.951,1.315,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:21.100000+00:00,11280,1284,1.544,1.544,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:21.519000+00:00,11280,1284,1.956,0.412,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:21.801000+00:00,11280,1284,2.235,0.279,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.286000+00:00,11280,1284,2.692,0.457,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.461000+00:00,11280,1284,2.859,0.167,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.562000+00:00,11280,1284,2.948,0.089,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.889000+00:00,11280,1284,3.143,0.195,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.910000+00:00,11280,1284,3.236,0.093,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:22.954000+00:00,11280,1284,3.273,0.037,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.001000+00:00,11280,1284,3.328,0.055,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.144000+00:00,11280,1284,3.584,0.256,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.471000+00:00,11280,1284,3.903,0.319,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:23.587000+00:00,11280,1284,4.037,0.134,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.144000+00:00,11280,1284,4.561,0.524,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.183000+00:00,11280,1284,4.611,0.05,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.206000+00:00,11280,1284,4.635,0.024,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.357000+00:00,11280,1284,4.763,0.128,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.502000+00:00,11280,1284,4.897,0.134,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.587000+00:00,11280,1284,5.011,0.114,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:24.667000+00:00,11280,1284,4.836,0.073,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.117000+00:00,11280,1284,1.548,1.548,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.117000+00:00,11280,1284,5.577,0.566,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.555000+00:00,11280,1284,2.001,0.453,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:25.852000+00:00,11280,1284,2.252,0.251,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:26.336000+00:00,11280,1284,2.786,0.534,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:26.633000+00:00,11280,1284,3.06,0.274,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:26.711000+00:00,11280,1284,3.147,0.087,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.008000+00:00,11280,1284,3.434,0.287,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.102000+00:00,11280,1284,3.515,0.081,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.242000+00:00,11280,1284,3.686,0.171,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.352000+00:00,11280,1284,3.793,,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.430000+00:00,11280,1284,3.791,0.105,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.602000+00:00,11280,1284,4.04,0.247,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:27.992000+00:00,11280,1284,4.346,0.306,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.555000+00:00,11280,1284,1.578,1.578,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.617000+00:00,11280,1284,4.917,0.571,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.649000+00:00,11280,1284,4.967,,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.695000+00:00,11280,1284,5.086,0.119,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.762000+00:00,11280,1284,5.112,0.026,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.805000+00:00,11280,1284,5.15,0.038,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:28.954000+00:00,11280,1284,5.359,0.209,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:29.036000+00:00,11280,1284,5.452,0.093,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:29.053000+00:00,11280,1284,2.118,0.54,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:29.252000+00:00,11280,1284,5.647,0.195,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:29.422000+00:00,11280,1284,2.505,0.387,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:29.928000+00:00,11280,1284,2.994,0.489,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:30.210000+00:00,11280,1284,3.275,0.281,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:30.527000+00:00,11280,1284,3.601,0.326,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:30.971000+00:00,11280,1284,1.589,1.589,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.283000+00:00,11280,1284,4.308,0.707,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.364000+00:00,11280,1284,4.398,0.09,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.451000+00:00,11280,1284,4.478,0.08,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.528000+00:00,11280,1284,2.194,0.605,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.667000+00:00,11280,1284,4.711,0.233,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.757000+00:00,11280,1284,4.79,0.079,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:31.984000+00:00,11280,1284,2.598,0.404,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:32.039000+00:00,11280,1284,5.098,0.308,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:32.251000+00:00,11280,1284,5.325,0.227,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:32.520000+00:00,11280,1284,3.127,0.529,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:32.595000+00:00,11280,1284,5.653,0.328,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:32.867000+00:00,11280,1284,5.901,0.248,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:32.883000+00:00,11280,1284,3.483,0.356,43,2026-09-05T22:12:12.772471Z
