date,session_key,air_temperature,humidity,track_temperature,wind_direction,wind_speed,pressure,meeting_key,rainfall
2026-09-11T14:45:28.427000+00:00,11363,29.6,12.5,52.2,323,1.1,942.1,1294,0
2026-09-11T14:46:28.435000+00:00,11363,29.6,12.3,52.4,287,2.2,942.0,1294,0
2026-09-11T14:47:28.431000+00:00,11363,29.5,12.0,52.2,242,0.5,942.1,1294,0
2026-09-11T14:48:28.429000+00:00,11363,29.5,12.4,52.2,20,0.7,942.1,1294,0
2026-09-11T14:49:28.425000+00:00,11363,29.5,12.4,52.1,288,0.4,942.1,1294,0
2026-09-11T14:50:28.462000+00:00,11363,29.4,12.2,52.3,0,0.0,942.1,1294,0
2026-09-11T14:51:28.436000+00:00,11363,29.5,12.2,52.7,89,0.9,942.0,1294,0
2026-09-11T14:52:28.466000+00:00,11363,29.6,12.1,52.7,79,0.3,942.0,1294,0
2026-09-11T14:53:28.475000+00:00,11363,29.6,12.2,53.1,0,0.0,942.0,1294,0
2026-09-11T14:54:28.467000+00:00,11363,29.6,12.4,53.0,304,0.7,942.1,1294,0
2026-09-11T14:55:28.465000+00:00,11363,29.8,12.1,52.3,299,3.3,942.0,1294,0
2026-09-11T14:56:28.467000+00:00,11363,29.8,11.9,52.3,290,1.5,942.0,1294,0
2026-09-11T14:57:28.467000+00:00,11363,29.9,12.2,52.5,308,0.4,942.0,1294,0
2026-09-11T14:58:28.485000+00:00,11363,30.0,12.1,52.5,0,0.0,942.1,1294,0
2026-09-11T14:59:28.480000+00:00,11363,30.1,12.0,52.7,327,1.3,942.0,1294,0
2026-09-11T15:00:28.499000+00:00,11363,30.1,11.7,52.8,85,0.6,942.0,1294,0
2026-09-11T15:01:28.510000+00:00,11363,30.1,11.8,52.6,182,0.6,941.9,1294,0
2026-09-11T15:02:28.535000+00:00,11363,30.1,12.2,52.8,0,0.0,942.0,1294,0
2026-09-11T15:03:28.558000+00:00,11363,30.2,12.1,51.8,192,0.5,941.9,1294,0
2026-09-11T15:04:28.570000+00:00,11363,30.4,12.0,52.8,266,1.3,942.0,1294,0
2026-09-11T15:05:28.582000+00:00,11363,30.5,12.1,52.7,322,1.1,941.8,1294,0
2026-09-11T15:06:28.598000+00:00,11363,30.5,11.7,52.6,291,1.0,941.9,1294,0
2026-09-11T15:07:28.606000+00:00,11363,30.6,11.2,52.3,107,1.1,941.9,1294,0
2026-09-11T15:08:28.606000+00:00,11363,30.4,11.3,52.0,120,0.8,941.9,1294,0
2026-09-11T15:09:28.603000+00:00,11363,30.2,11.4,51.7,54,1.9,941.9,1294,0
2026-09-11T15:10:28.624000+00:00,11363,30.3,11.2,51.6,60,1.8,941.9,1294,0
2026-09-11T15:11:28.599000+00:00,11363,30.3,11.2,51.3,58,1.1,941.9,1294,0
2026-09-11T15:12:28.619000+00:00,11363,30.2,11.4,51.7,30,0.9,941.9,1294,0
2026-09-11T15:13:28.650000+00:00,11363,30.2,11.4,52.0,68,1.8,941.8,1294,0
2026-09-11T15:14:28.638000+00:00,11363,30.1,11.4,51.6,64,2.7,941.9,1294,0
2026-09-11T15:15:28.645000+00:00,11363,30.0,11.2,51.3,222,0.9,941.9,1294,0
2026-09-11T15:16:28.656000+00:00,11363,30.2,11.1,51.7,289,1.5,942.0,1294,0
