date,session_key,pressure,rainfall,wind_direction,wind_speed,track_temperature,air_temperature,humidity,meeting_key
2026-08-22T14:30:58.713000+00:00,11349,1021.0,0,19,1.8,32.1,18.2,56.5,1292
2026-08-22T14:31:58.723000+00:00,11349,1020.9,0,61,2.8,33.5,18.3,55.6,1292
2026-08-22T14:32:59.761000+00:00,11349,1021.0,0,49,3.2,32.9,18.3,55.9,1292
2026-08-22T14:33:58.719000+00:00,11349,1021.0,0,26,2.5,32.7,18.4,56.2,1292
2026-08-22T14:34:59.399000+00:00,11349,1021.1,0,107,3.1,32.2,18.4,56.2,1292
2026-08-22T14:35:58.973000+00:00,11349,1021.0,0,11,1.3,32.6,18.3,57.3,1292
2026-08-22T14:36:58.722000+00:00,11349,1020.9,0,51,1.4,32.5,18.2,59.0,1292
2026-08-22T14:37:58.721000+00:00,11349,1021.0,1,37,3.6,31.6,18.1,61.1,1292
2026-08-22T14:38:59.618000+00:00,11349,1021.1,0,48,2.8,31.4,18.0,60.2,1292
2026-08-22T14:39:59.680000+00:00,11349,1021.1,0,38,2.6,31.5,18.0,60.7,1292
2026-08-22T14:40:58.741000+00:00,11349,1021.1,0,34,2.5,31.4,17.9,61.1,1292
2026-08-22T14:41:58.731000+00:00,11349,1021.1,0,64,2.2,31.5,17.8,60.6,1292
2026-08-22T14:42:58.722000+00:00,11349,1021.2,0,38,2.5,31.6,17.7,61.3,1292
2026-08-22T14:43:58.917000+00:00,11349,1021.2,0,29,2.1,31.1,17.7,61.6,1292
2026-08-22T14:44:58.729000+00:00,11349,1021.1,0,13,2.6,31.2,17.7,60.6,1292
2026-08-22T14:45:59.022000+00:00,11349,1021.1,0,29,3.9,30.5,17.7,61.7,1292
2026-08-22T14:46:58.728000+00:00,11349,1021.2,0,45,3.5,30.5,17.7,60.6,1292
2026-08-22T14:47:58.720000+00:00,11349,1021.2,0,50,2.5,30.5,17.7,60.5,1292
2026-08-22T14:48:58.736000+00:00,11349,1021.2,0,91,1.5,30.9,17.6,61.0,1292
2026-08-22T14:49:58.805000+00:00,11349,1021.2,0,37,1.6,30.5,17.6,60.8,1292
2026-08-22T14:50:59.428000+00:00,11349,1021.2,0,43,4.0,30.9,17.6,60.7,1292
2026-08-22T14:51:58.722000+00:00,11349,1021.0,0,41,3.5,30.9,17.7,61.7,1292
2026-08-22T14:52:58.722000+00:00,11349,1021.2,0,31,1.7,30.7,17.7,61.3,1292
2026-08-22T14:53:59.618000+00:00,11349,1021.2,0,45,3.5,30.5,17.7,61.5,1292
2026-08-22T14:54:58.740000+00:00,11349,1021.1,0,32,2.2,30.4,17.7,60.9,1292
2026-08-22T14:55:58.770000+00:00,11349,1021.1,0,40,2.3,29.9,17.7,60.5,1292
2026-08-22T14:56:59.429000+00:00,11349,1021.1,0,20,2.6,29.8,17.6,60.2,1292
2026-08-22T14:57:58.782000+00:00,11349,1021.2,0,46,2.8,29.8,17.6,59.7,1292
2026-08-22T14:58:58.782000+00:00,11349,1021.1,0,52,4.1,29.7,17.6,60.5,1292
2026-08-22T14:59:59.056000+00:00,11349,1021.2,0,34,2.6,29.9,17.6,61.0,1292
2026-08-22T15:00:58.818000+00:00,11349,1021.2,0,43,2.5,29.9,17.5,61.6,1292
2026-08-22T15:01:58.787000+00:00,11349,1021.2,0,124,0.6,29.7,17.5,60.6,1292
2026-08-22T15:02:59.740000+00:00,11349,1021.2,0,69,1.8,29.9,17.5,59.7,1292
