date,session_key,pressure,rainfall,wind_direction,wind_speed,track_temperature,air_temperature,humidity,meeting_key
2026-08-22T13:46:58.684000+00:00,11349,1020.6,0,77,1.9,34.3,18.2,56.3,1292
2026-08-22T13:47:58.895000+00:00,11349,1020.6,0,50,1.3,34.5,18.3,55.7,1292
2026-08-22T13:48:58.950000+00:00,11349,1020.6,1,63,3.1,33.3,18.3,55.4,1292
2026-08-22T13:49:58.692000+00:00,11349,1020.6,0,24,2.7,32.0,18.4,56.4,1292
2026-08-22T13:50:59.566000+00:00,11349,1020.7,0,76,2.5,31.9,18.4,56.0,1292
2026-08-22T13:51:58.692000+00:00,11349,1020.6,0,6,2.8,32.6,18.1,57.0,1292
2026-08-22T13:52:58.695000+00:00,11349,1020.6,0,59,2.0,33.6,18.0,57.8,1292
2026-08-22T13:53:58.729000+00:00,11349,1020.6,0,77,3.7,34.1,18.1,56.3,1292
2026-08-22T13:54:58.796000+00:00,11349,1020.6,0,49,3.9,33.3,18.3,56.1,1292
2026-08-22T13:55:58.693000+00:00,11349,1020.6,0,18,4.8,34.1,18.3,57.3,1292
2026-08-22T13:56:58.698000+00:00,11349,1020.6,1,29,1.2,34.6,18.4,57.0,1292
2026-08-22T13:57:58.688000+00:00,11349,1020.7,0,31,1.9,34.3,18.5,57.0,1292
2026-08-22T13:58:59.551000+00:00,11349,1020.7,0,57,2.4,33.5,18.6,55.7,1292
2026-08-22T13:59:58.685000+00:00,11349,1020.8,0,19,2.6,32.3,18.5,54.6,1292
2026-08-22T14:00:58.688000+00:00,11349,1020.7,0,22,2.9,32.7,18.4,55.1,1292
2026-08-22T14:01:58.802000+00:00,11349,1020.8,0,102,2.4,32.0,18.3,54.2,1292
2026-08-22T14:02:59.464000+00:00,11349,1020.8,0,37,3.4,32.2,18.2,55.0,1292
2026-08-22T14:03:59.536000+00:00,11349,1020.8,0,35,1.5,32.9,18.2,56.0,1292
2026-08-22T14:04:58.708000+00:00,11349,1020.9,0,65,2.0,34.1,18.2,55.5,1292
2026-08-22T14:05:59.701000+00:00,11349,1020.8,0,97,1.5,34.1,18.1,55.8,1292
2026-08-22T14:06:58.702000+00:00,11349,1020.8,0,8,1.7,34.3,18.3,55.4,1292
2026-08-22T14:07:58.699000+00:00,11349,1020.9,0,4,2.9,34.3,18.5,55.4,1292
2026-08-22T14:08:58.978000+00:00,11349,1020.8,0,73,1.9,34.7,18.5,54.8,1292
2026-08-22T14:09:58.699000+00:00,11349,1020.9,0,44,1.8,34.7,18.4,55.0,1292
2026-08-22T14:10:58.697000+00:00,11349,1020.8,0,4,2.3,34.6,18.4,56.0,1292
2026-08-22T14:11:58.819000+00:00,11349,1020.8,1,54,1.1,34.8,18.5,56.3,1292
2026-08-22T14:12:58.697000+00:00,11349,1020.7,0,48,1.8,34.6,18.6,54.7,1292
2026-08-22T14:13:58.701000+00:00,11349,1020.8,0,48,1.7,35.1,18.6,53.3,1292
2026-08-22T14:14:58.700000+00:00,11349,1020.7,0,66,2.0,35.7,18.6,54.0,1292
2026-08-22T14:15:58.703000+00:00,11349,1020.9,0,49,2.7,35.9,18.6,55.1,1292
2026-08-22T14:16:58.756000+00:00,11349,1020.7,0,41,3.4,34.6,18.7,55.7,1292
2026-08-22T14:17:59.790000+00:00,11349,1020.8,1,43,1.6,34.9,18.5,56.3,1292
2026-08-22T14:18:59.338000+00:00,11349,1020.8,0,36,3.0,33.7,18.5,56.1,1292
2026-08-22T14:19:58.712000+00:00,11349,1020.8,0,18,2.5,33.5,18.5,56.8,1292
2026-08-22T14:20:58.968000+00:00,11349,1020.9,0,54,2.7,33.7,18.6,56.4,1292
2026-08-22T14:21:58.711000+00:00,11349,1020.8,0,36,2.4,33.3,18.6,55.9,1292
2026-08-22T14:22:58.702000+00:00,11349,1020.8,0,43,2.2,32.5,18.5,55.2,1292
2026-08-22T14:23:58.702000+00:00,11349,1020.8,0,36,3.3,31.7,18.4,55.8,1292
2026-08-22T14:24:58.710000+00:00,11349,1021.0,0,33,2.9,32.2,18.3,56.7,1292
2026-08-22T14:25:58.800000+00:00,11349,1020.9,0,60,2.5,31.3,18.2,55.9,1292
2026-08-22T14:26:59.353000+00:00,11349,1021.0,0,46,0.9,32.5,18.1,56.7,1292
2026-08-22T14:27:59.438000+00:00,11349,1021.0,0,61,2.6,32.4,18.0,57.0,1292
2026-08-22T14:28:59+00:00,11349,1021.0,0,43,2.5,33.8,18.0,56.9,1292
2026-08-22T14:29:58.713000+00:00,11349,1020.9,0,27,2.2,34.3,18.0,58.1,1292
