date,session_key,meeting_key,pressure,track_temperature,humidity,rainfall,air_temperature,wind_direction,wind_speed
2026-09-12T14:49:34.814000+00:00,11365,1294,942.7,53.5,18.3,0,31.2,90,1.1
2026-09-12T14:50:34.817000+00:00,11365,1294,942.8,53.8,18.0,0,31.1,106,1.7
2026-09-12T14:51:34.827000+00:00,11365,1294,942.9,53.4,17.9,0,31.1,102,1.7
2026-09-12T14:52:34.830000+00:00,11365,1294,942.8,53.3,18.0,0,31.1,114,1.2
2026-09-12T14:53:34.852000+00:00,11365,1294,942.7,53.5,18.0,0,31.0,92,1.0
2026-09-12T14:54:34.849000+00:00,11365,1294,942.8,53.7,17.9,0,30.9,117,1.0
2026-09-12T14:55:34.889000+00:00,11365,1294,942.8,53.8,18.0,0,30.9,76,1.2
2026-09-12T14:56:34.878000+00:00,11365,1294,942.8,52.8,17.8,0,31.0,0,0.0
2026-09-12T14:57:34.877000+00:00,11365,1294,942.7,53.1,17.9,0,30.9,18,1.0
2026-09-12T14:58:34.879000+00:00,11365,1294,942.7,53.6,18.1,0,30.9,244,0.4
2026-09-12T14:59:34.878000+00:00,11365,1294,942.8,53.4,17.8,0,30.9,100,1.7
2026-09-12T15:00:34.882000+00:00,11365,1294,942.7,53.6,17.9,0,31.0,83,0.8
2026-09-12T15:01:34.876000+00:00,11365,1294,942.7,53.1,17.5,0,31.3,123,1.0
2026-09-12T15:02:34.880000+00:00,11365,1294,942.7,52.4,17.7,0,31.3,189,0.9
2026-09-12T15:03:34.883000+00:00,11365,1294,942.7,53.8,17.7,0,31.4,336,0.3
