date,session_key,meeting_key,gap_to_leader,interval,driver_number
2026-06-14T13:03:59.058000+00:00,11307,1287,3.673,0.198,23
2026-06-14T13:03:59.360000+00:00,11307,1287,3.918,0.245,5
2026-06-14T13:03:59.663000+00:00,11307,1287,4.292,0.374,31
2026-06-14T13:03:59.799000+00:00,11307,1287,0.521,0.521,44
2026-06-14T13:03:59.879000+00:00,11307,1287,4.529,0.237,11
2026-06-14T13:04:00.043000+00:00,11307,1287,4.651,0.122,77
2026-06-14T13:04:00.453000+00:00,11307,1287,1.061,0.54,12
2026-06-14T13:04:00.529000+00:00,11307,1287,1.293,0.232,1
2026-06-14T13:04:00.586000+00:00,11307,1287,5.163,0.512,18
2026-06-14T13:04:00.818000+00:00,11307,1287,1.506,0.213,3
2026-06-14T13:04:01.009000+00:00,11307,1287,1.716,0.21,81
2026-06-14T13:04:01.109000+00:00,11307,1287,8.538,3.533,14
2026-06-14T13:04:01.701000+00:00,11307,1287,2.393,0.677,16
2026-06-14T13:04:01.988000+00:00,11307,1287,2.698,0.305,30
2026-06-14T13:04:02.319000+00:00,11307,1287,2.901,0.203,41
2026-06-14T13:04:02.372000+00:00,11307,1287,2.974,0.073,27
2026-06-14T13:04:02.558000+00:00,11307,1287,3.261,0.287,43
2026-06-14T13:04:02.807000+00:00,11307,1287,3.466,0.205,55
2026-06-14T13:04:03.619000+00:00,11307,1287,3.839,0.373,10
2026-06-14T13:04:04.041000+00:00,11307,1287,4.051,0.212,87
2026-06-14T13:04:04.119000+00:00,11307,1287,4.194,0.143,6
2026-06-14T13:04:04.135000+00:00,11307,1287,4.462,0.268,23
2026-06-14T13:04:04.135000+00:00,11307,1287,4.584,0.122,5
2026-06-14T13:04:04.135000+00:00,11307,1287,8.589,3.426,14
2026-06-14T13:04:04.151000+00:00,11307,1287,4.905,0.321,31
2026-06-14T13:04:04.510000+00:00,11307,1287,5.194,0.289,11
2026-06-14T13:04:04.807000+00:00,11307,1287,5.511,0.317,77
2026-06-14T13:04:05.119000+00:00,11307,1287,5.878,0.367,18
2026-06-14T13:04:05.682000+00:00,11307,1287,0.741,0.741,44
2026-06-14T13:04:06.088000+00:00,11307,1287,1.168,0.427,12
2026-06-14T13:04:06.385000+00:00,11307,1287,1.324,0.156,1
2026-06-14T13:04:06.447000+00:00,11307,1287,1.552,0.228,3
2026-06-14T13:04:06.932000+00:00,11307,1287,1.974,0.422,81
2026-06-14T13:04:07.699000+00:00,11307,1287,2.691,0.717,16
2026-06-14T13:04:07.953000+00:00,11307,1287,3.012,0.321,30
2026-06-14T13:04:08.133000+00:00,11307,1287,3.036,0.024,41
2026-06-14T13:04:08.201000+00:00,11307,1287,8.836,2.958,14
2026-06-14T13:04:08.290000+00:00,11307,1287,3.37,0.334,27
2026-06-14T13:04:08.647000+00:00,11307,1287,3.71,0.34,43
2026-06-14T13:04:08.784000+00:00,11307,1287,3.829,0.119,55
2026-06-14T13:04:09.180000+00:00,11307,1287,4.26,0.431,10
2026-06-14T13:04:09.437000+00:00,11307,1287,4.43,0.17,6
2026-06-14T13:04:09.647000+00:00,11307,1287,4.467,0.037,87
2026-06-14T13:04:09.815000+00:00,11307,1287,4.878,0.411,23
2026-06-14T13:04:09.932000+00:00,11307,1287,4.985,0.107,5
2026-06-14T13:04:10.253000+00:00,11307,1287,5.334,0.349,31
2026-06-14T13:04:10.660000+00:00,11307,1287,5.725,0.391,11
2026-06-14T13:04:10.960000+00:00,11307,1287,6.043,0.318,77
2026-06-14T13:04:11.190000+00:00,11307,1287,0.818,0.818,44
2026-06-14T13:04:11.480000+00:00,11307,1287,6.592,0.549,18
2026-06-14T13:04:11.733000+00:00,11307,1287,1.356,0.538,12
2026-06-14T13:04:11.861000+00:00,11307,1287,1.518,0.162,1
2026-06-14T13:04:12.123000+00:00,11307,1287,1.788,0.27,3
2026-06-14T13:04:12.609000+00:00,11307,1287,2.263,0.475,81
2026-06-14T13:04:13.409000+00:00,11307,1287,3.065,0.802,16
2026-06-14T13:04:13.694000+00:00,11307,1287,3.319,0.254,30
2026-06-14T13:04:14.071000+00:00,11307,1287,3.565,0.246,41
2026-06-14T13:04:14.081000+00:00,11307,1287,9.117,2.525,14
2026-06-14T13:04:14.081000+00:00,11307,1287,3.671,0.106,27
2026-06-14T13:04:14.564000+00:00,11307,1287,4.137,0.466,43
2026-06-14T13:04:14.936000+00:00,11307,1287,4.599,0.462,10
2026-06-14T13:04:15.118000+00:00,11307,1287,4.742,0.143,55
2026-06-14T13:04:15.361000+00:00,11307,1287,0.893,0.893,44
2026-06-14T13:04:15.419000+00:00,11307,1287,5.053,0.311,87
2026-06-14T13:04:15.580000+00:00,11307,1287,5.222,0.169,6
2026-06-14T13:04:15.797000+00:00,11307,1287,5.414,0.192,5
2026-06-14T13:04:15.921000+00:00,11307,1287,5.515,0.101,23
2026-06-14T13:04:15.971000+00:00,11307,1287,1.46,0.567,12
2026-06-14T13:04:16.009000+00:00,11307,1287,5.659,0.144,31
2026-06-14T13:04:16.184000+00:00,11307,1287,1.716,0.256,1
2026-06-14T13:04:16.538000+00:00,11307,1287,6.153,0.494,11
2026-06-14T13:04:16.564000+00:00,11307,1287,2.033,0.317,3
2026-06-14T13:04:16.853000+00:00,11307,1287,2.381,0.348,81
2026-06-14T13:04:16.953000+00:00,11307,1287,6.58,0.427,77
2026-06-14T13:04:17.536000+00:00,11307,1287,7.156,0.576,18
2026-06-14T13:04:17.708000+00:00,11307,1287,3.236,0.855,16
2026-06-14T13:04:18.114000+00:00,11307,1287,3.63,0.394,30
2026-06-14T13:04:18.364000+00:00,11307,1287,3.842,0.212,41
2026-06-14T13:04:18.567000+00:00,11307,1287,4.087,0.245,27
2026-06-14T13:04:19.004000+00:00,11307,1287,4.507,0.42,43
2026-06-14T13:04:19.333000+00:00,11307,1287,4.831,0.324,10
2026-06-14T13:04:19.645000+00:00,11307,1287,5.149,0.318,55
