date,session_key,meeting_key,track_temperature,pressure,wind_direction,wind_speed,air_temperature,rainfall,humidity
2026-07-19T12:08:37.363000+00:00,11334,1290,35.9,972.7,287,1.6,18.1,0,50.2
2026-07-19T12:09:37.374000+00:00,11334,1290,37.0,972.7,297,2.3,18.2,0,49.3
2026-07-19T12:10:37.418000+00:00,11334,1290,37.0,972.7,297,2.3,18.9,0,49.3
2026-07-19T12:11:37.389000+00:00,11334,1290,36.5,972.8,344,3.1,18.4,0,48.8
2026-07-19T12:12:37.388000+00:00,11334,1290,36.7,972.6,5,1.4,18.2,0,48.9
2026-07-19T12:13:37.391000+00:00,11334,1290,36.5,972.7,310,1.8,18.1,0,49.8
2026-07-19T12:14:37.390000+00:00,11334,1290,35.9,972.7,319,3.7,18.1,0,50.4
2026-07-19T12:15:37.377000+00:00,11334,1290,36.1,972.8,349,1.5,18.3,0,48.2
2026-07-19T12:16:37.392000+00:00,11334,1290,35.4,972.8,334,3.6,18.4,0,49.3
2026-07-19T12:17:37.388000+00:00,11334,1290,35.2,972.6,304,1.8,18.4,0,50.0
2026-07-19T12:18:37.388000+00:00,11334,1290,35.2,972.6,304,1.8,18.7,0,50.0
2026-07-19T12:19:37.395000+00:00,11334,1290,35.1,972.7,347,3.3,18.6,0,48.4
2026-07-19T12:20:37.394000+00:00,11334,1290,36.3,972.7,330,2.5,18.5,0,47.9
2026-07-19T12:21:37.395000+00:00,11334,1290,36.2,972.7,352,1.2,18.3,0,49.6
2026-07-19T12:22:37.399000+00:00,11334,1290,34.4,972.8,14,0.5,18.1,0,49.2
2026-07-19T12:23:37.395000+00:00,11334,1290,34.4,972.7,80,3.2,18.2,0,48.2
2026-07-19T12:24:37.399000+00:00,11334,1290,34.3,972.7,77,2.7,18.2,0,47.8
2026-07-19T12:25:37.398000+00:00,11334,1290,33.9,972.7,312,2.9,18.3,0,48.0
2026-07-19T12:26:37.398000+00:00,11334,1290,33.3,972.7,357,2.7,18.4,0,48.3
2026-07-19T12:27:37.394000+00:00,11334,1290,31.9,972.8,278,0.3,18.5,0,48.3
2026-07-19T12:28:37.409000+00:00,11334,1290,33.2,972.7,351,0.8,18.4,0,49.7
2026-07-19T12:29:37.424000+00:00,11334,1290,31.2,972.8,287,2.5,18.2,0,49.7
2026-07-19T12:30:37.446000+00:00,11334,1290,31.8,972.7,269,1.5,18.5,0,49.3
2026-07-19T12:31:37.434000+00:00,11334,1290,31.8,972.8,278,2.8,18.5,0,49.0
2026-07-19T12:32:37.431000+00:00,11334,1290,31.4,972.8,255,1.2,18.0,0,49.3
2026-07-19T12:33:37.431000+00:00,11334,1290,31.7,972.7,317,3.9,18.2,0,49.8
2026-07-19T12:34:37.432000+00:00,11334,1290,31.7,972.7,317,3.9,17.8,0,49.8
2026-07-19T12:35:37.436000+00:00,11334,1290,27.1,972.8,300,2.8,17.9,0,50.0
2026-07-19T12:36:37.433000+00:00,11334,1290,26.8,972.8,293,3.6,17.8,0,51.0
2026-07-19T12:37:37.436000+00:00,11334,1290,27.2,972.9,298,2.1,17.7,0,51.8
