date,session_key,lane_duration,meeting_key,pit_duration,lap_number,driver_number,stop_duration
2026-07-25T14:00:02.554000+00:00,11338,,1291,,1,77,
2026-07-25T14:00:09.841000+00:00,11338,,1291,,1,55,
2026-07-25T14:00:17.668000+00:00,11338,,1291,,1,23,
2026-07-25T14:00:31.601000+00:00,11338,,1291,,1,18,
2026-07-25T14:00:44.051000+00:00,11338,,1291,,1,14,
2026-07-25T14:01:41.635000+00:00,11338,,1291,,1,11,
2026-07-25T14:02:14.939000+00:00,11338,,1291,,1,44,
2026-07-25T14:02:21.947000+00:00,11338,,1291,,1,16,
2026-07-25T14:04:10.123000+00:00,11338,,1291,,1,12,
2026-07-25T14:04:15.701000+00:00,11338,,1291,,1,63,
2026-07-25T14:04:32.342000+00:00,11338,,1291,,1,3,
2026-07-25T14:04:35.717000+00:00,11338,,1291,,1,6,
2026-07-25T14:05:00.695000+00:00,11338,,1291,,1,81,
2026-07-25T14:05:14.195000+00:00,11338,,1291,,1,10,
2026-07-25T14:05:16.234000+00:00,11338,,1291,,1,43,
2026-07-25T14:05:24.931000+00:00,11338,,1291,,1,1,
2026-07-25T14:05:42.947000+00:00,11338,51.3,1291,51.3,4,55,
2026-07-25T14:05:50.757000+00:00,11338,50.8,1291,50.8,4,23,
2026-07-25T14:06:18.089000+00:00,11338,,1291,,1,27,
2026-07-25T14:06:20.161000+00:00,11338,,1291,,1,31,
2026-07-25T14:06:23.364000+00:00,11338,,1291,,1,87,
2026-07-25T14:06:29.614000+00:00,11338,,1291,,1,5,
2026-07-25T14:06:37.177000+00:00,11338,,1291,,1,41,
2026-07-25T14:06:43.927000+00:00,11338,,1291,,1,30,
2026-07-25T14:07:46.149000+00:00,11338,158.6,1291,158.6,4,14,
2026-07-25T14:07:49.186000+00:00,11338,166.6,1291,166.6,4,18,
2026-07-25T14:08:18.583000+00:00,11338,128.7,1291,128.7,5,77,
2026-07-25T14:08:24.899000+00:00,11338,127.4,1291,127.4,4,11,
2026-07-25T14:13:00.976000+00:00,11338,233.2,1291,233.2,4,3,
2026-07-25T14:13:06.404000+00:00,11338,170.3,1291,170.3,5,12,
2026-07-25T14:13:14.096000+00:00,11338,141.8,1291,141.8,5,63,
2026-07-25T14:13:21.311000+00:00,11338,177.3,1291,177.3,7,55,
2026-07-25T14:13:27.228000+00:00,11338,179.9,1291,179.9,7,23,
2026-07-25T14:13:40.833000+00:00,11338,218.8,1291,218.8,6,16,
2026-07-25T14:13:43.803000+00:00,11338,158.7,1291,158.7,4,5,
2026-07-25T14:13:48.052000+00:00,11338,168.0,1291,168.0,4,31,
2026-07-25T14:13:51.724000+00:00,11338,167.6,1291,167.6,4,87,
2026-07-25T14:14:00.849000+00:00,11338,153.8,1291,153.8,4,41,
2026-07-25T14:14:06.020000+00:00,11338,153.2,1291,153.2,4,30,
2026-07-25T14:14:22.364000+00:00,11338,207.6,1291,207.6,4,27,
2026-07-25T14:14:26.208000+00:00,11338,128.9,1291,128.9,7,18,
2026-07-25T14:14:29.380000+00:00,11338,98.1,1291,98.1,8,77,
2026-07-25T14:14:38.786000+00:00,11338,101.7,1291,101.7,7,11,
2026-07-25T14:14:45.181000+00:00,11338,152.2,1291,152.2,7,14,
2026-07-25T14:15:32.026000+00:00,11338,335.2,1291,335.2,4,10,
2026-07-25T14:15:35.413000+00:00,11338,320.4,1291,320.4,4,43,
2026-07-25T14:25:23.608000+00:00,11338,358.6,1291,358.6,10,14,
2026-07-25T14:26:58.463000+00:00,11338,572.0,1291,572.0,7,3,
2026-07-25T14:27:02.941000+00:00,11338,552.9,1291,552.9,8,12,
2026-07-25T14:27:07.189000+00:00,11338,547.0,1291,547.0,8,63,
2026-07-25T14:27:21.526000+00:00,11338,494.4,1291,494.4,7,27,
2026-07-25T14:27:30.445000+00:00,11338,1097.5,1291,1097.5,4,6,
2026-07-25T14:27:35.411000+00:00,11338,543.4,1291,543.4,7,5,
2026-07-25T14:27:39.333000+00:00,11338,562.7,1291,562.7,9,16,
2026-07-25T14:27:46.325000+00:00,11338,961.7,1291,961.7,5,1,
2026-07-25T14:27:51.382000+00:00,11338,530.5,1291,530.5,7,30,
2026-07-25T14:27:55.683000+00:00,11338,549.2,1291,549.2,7,41,
2026-07-25T14:28:03.989000+00:00,11338,1004.5,1291,1004.5,5,81,
2026-07-25T14:28:15.946000+00:00,11338,575.4,1291,575.4,7,31,
2026-07-25T14:28:28.712000+00:00,11338,498.0,1291,498.0,7,10,
2026-07-25T14:28:33.414000+00:00,11338,492.4,1291,492.4,7,43,
2026-07-25T14:29:08.896000+00:00,11338,1333.4,1291,1333.4,4,44,
2026-07-25T14:32:46.153000+00:00,11338,182.6,1291,182.6,13,14,
2026-07-25T14:34:16.853000+00:00,11338,210.5,1291,210.5,6,6,
2026-07-25T14:35:24.977000+00:00,11338,234.6,1291,234.6,10,3,
2026-07-25T14:35:35.791000+00:00,11338,116.5,1291,116.5,12,63,
2026-07-25T14:35:41.967000+00:00,11338,172.8,1291,172.8,8,81,
2026-07-25T14:35:45.372000+00:00,11338,308.2,1291,308.2,9,5,
2026-07-25T14:35:57.098000+00:00,11338,247.5,1291,247.5,10,27,
2026-07-25T14:36:02.145000+00:00,11338,211.5,1291,211.5,10,30,
2026-07-25T14:36:08.620000+00:00,11338,224.2,1291,224.2,8,1,
2026-07-25T14:36:13.151000+00:00,11338,178.3,1291,178.3,12,12,
2026-07-25T14:36:18.737000+00:00,11338,216.6,1291,216.6,10,41,
2026-07-25T14:36:31.847000+00:00,11338,215.3,1291,215.3,10,31,
2026-07-25T14:36:43.084000+00:00,11338,212.0,1291,212.0,10,10,
2026-07-25T14:36:48.514000+00:00,11338,197.4,1291,197.4,10,43,
2026-07-25T14:36:57.520000+00:00,11338,278.4,1291,278.4,12,16,
2026-07-25T14:37:05.895000+00:00,11338,193.6,1291,193.6,7,44,
2026-07-25T14:49:20.012000+00:00,11338,571.6,1291,571.6,13,3,
2026-07-25T14:49:24.144000+00:00,11338,542.6,1291,542.6,11,81,
2026-07-25T14:49:29.177000+00:00,11338,518.6,1291,518.6,11,1,
2026-07-25T14:49:33.021000+00:00,11338,643.7,1291,643.7,9,6,
2026-07-25T14:49:36.726000+00:00,11338,516.1,1291,516.1,13,41,
2026-07-25T14:49:56.381000+00:00,11338,556.6,1291,556.6,13,27,
2026-07-25T14:50:02.974000+00:00,11338,505.8,1291,505.8,10,44,
2026-07-25T14:50:06.647000+00:00,11338,514.0,1291,514.0,15,16,
2026-07-25T14:50:26.417000+00:00,11338,574.2,1291,574.2,15,12,
2026-07-25T14:50:32.653000+00:00,11338,619.1,1291,619.1,15,63,
2026-07-25T14:56:50.498000+00:00,11338,138.1,1291,138.1,13,44,
2026-07-25T14:56:54.773000+00:00,11338,125.3,1291,125.3,18,16,
2026-07-25T14:57:00.169000+00:00,11338,202.6,1291,202.6,16,3,
2026-07-25T14:57:05.192000+00:00,11338,133.9,1291,133.9,18,12,
2026-07-25T14:57:20.961000+00:00,11338,142.2,1291,142.2,18,63,
2026-07-25T14:57:24.970000+00:00,11338,187.1,1291,187.1,16,41,
2026-07-25T14:57:34.253000+00:00,11338,209.8,1291,209.8,12,6,
2026-07-25T14:57:47.314000+00:00,11338,196.2,1291,196.2,16,27,
2026-07-25T14:57:53.726000+00:00,11338,232.6,1291,232.6,14,1,
2026-07-25T14:58:02.847000+00:00,11338,250.9,1291,250.9,14,81,
