date,session_key,meeting_key,driver_number,position
2026-06-13T10:16:00.840000+00:00,11302,1287,1,1
2026-06-13T10:16:00.840000+00:00,11302,1287,3,2
2026-06-13T10:16:00.840000+00:00,11302,1287,5,3
2026-06-13T10:16:00.840000+00:00,11302,1287,6,4
2026-06-13T10:16:00.840000+00:00,11302,1287,10,5
2026-06-13T10:16:00.840000+00:00,11302,1287,11,6
2026-06-13T10:16:00.840000+00:00,11302,1287,12,7
2026-06-13T10:16:00.840000+00:00,11302,1287,14,8
2026-06-13T10:16:00.840000+00:00,11302,1287,16,9
2026-06-13T10:16:00.840000+00:00,11302,1287,18,10
2026-06-13T10:16:00.840000+00:00,11302,1287,23,11
2026-06-13T10:16:00.840000+00:00,11302,1287,27,12
2026-06-13T10:16:00.840000+00:00,11302,1287,30,13
2026-06-13T10:16:00.840000+00:00,11302,1287,31,14
2026-06-13T10:16:00.840000+00:00,11302,1287,41,15
2026-06-13T10:16:00.840000+00:00,11302,1287,43,16
2026-06-13T10:16:00.840000+00:00,11302,1287,44,17
2026-06-13T10:16:00.840000+00:00,11302,1287,55,18
2026-06-13T10:16:00.840000+00:00,11302,1287,63,19
2026-06-13T10:16:00.840000+00:00,11302,1287,77,20
2026-06-13T10:16:00.840000+00:00,11302,1287,81,21
2026-06-13T10:16:00.840000+00:00,11302,1287,87,22
2026-06-13T10:30:02.940000+00:00,11302,1287,1,2
2026-06-13T10:30:02.940000+00:00,11302,1287,3,3
2026-06-13T10:30:02.940000+00:00,11302,1287,5,4
2026-06-13T10:30:02.940000+00:00,11302,1287,6,5
2026-06-13T10:30:02.940000+00:00,11302,1287,10,6
2026-06-13T10:30:02.940000+00:00,11302,1287,11,7
2026-06-13T10:30:02.940000+00:00,11302,1287,12,8
2026-06-13T10:30:02.940000+00:00,11302,1287,14,9
2026-06-13T10:30:02.940000+00:00,11302,1287,16,10
2026-06-13T10:30:02.940000+00:00,11302,1287,18,11
2026-06-13T10:30:02.940000+00:00,11302,1287,23,12
2026-06-13T10:30:02.940000+00:00,11302,1287,27,13
2026-06-13T10:30:02.940000+00:00,11302,1287,30,14
2026-06-13T10:30:02.940000+00:00,11302,1287,31,15
2026-06-13T10:30:02.940000+00:00,11302,1287,41,16
2026-06-13T10:30:02.940000+00:00,11302,1287,43,17
2026-06-13T10:30:02.940000+00:00,11302,1287,44,18
2026-06-13T10:30:02.940000+00:00,11302,1287,55,19
2026-06-13T10:30:02.940000+00:00,11302,1287,63,20
2026-06-13T10:30:02.940000+00:00,11302,1287,77,1
2026-06-13T10:30:07.596000+00:00,11302,1287,1,3
2026-06-13T10:30:07.596000+00:00,11302,1287,3,4
2026-06-13T10:30:07.596000+00:00,11302,1287,5,5
2026-06-13T10:30:07.596000+00:00,11302,1287,6,6
2026-06-13T10:30:07.596000+00:00,11302,1287,10,7
2026-06-13T10:30:07.596000+00:00,11302,1287,11,2
2026-06-13T10:40:03.788000+00:00,11302,1287,1,4
2026-06-13T10:40:03.788000+00:00,11302,1287,3,5
2026-06-13T10:40:03.788000+00:00,11302,1287,5,6
2026-06-13T10:40:03.788000+00:00,11302,1287,6,7
2026-06-13T10:40:03.788000+00:00,11302,1287,10,8
2026-06-13T10:40:03.788000+00:00,11302,1287,12,9
2026-06-13T10:40:03.788000+00:00,11302,1287,14,10
2026-06-13T10:40:03.788000+00:00,11302,1287,16,11
2026-06-13T10:40:03.788000+00:00,11302,1287,18,12
2026-06-13T10:40:03.788000+00:00,11302,1287,23,13
2026-06-13T10:40:03.788000+00:00,11302,1287,27,3
2026-06-13T10:43:00.318000+00:00,11302,1287,11,3
2026-06-13T10:43:00.318000+00:00,11302,1287,27,1
2026-06-13T10:43:00.318000+00:00,11302,1287,77,2
2026-06-13T10:47:48.340000+00:00,11302,1287,1,5
2026-06-13T10:47:48.340000+00:00,11302,1287,3,6
2026-06-13T10:47:48.340000+00:00,11302,1287,5,7
2026-06-13T10:47:48.340000+00:00,11302,1287,6,8
2026-06-13T10:47:48.340000+00:00,11302,1287,10,9
2026-06-13T10:47:48.340000+00:00,11302,1287,12,10
2026-06-13T10:47:48.340000+00:00,11302,1287,14,11
2026-06-13T10:47:48.340000+00:00,11302,1287,16,12
2026-06-13T10:47:48.340000+00:00,11302,1287,18,13
2026-06-13T10:47:48.340000+00:00,11302,1287,23,14
2026-06-13T10:47:48.340000+00:00,11302,1287,30,15
2026-06-13T10:47:48.340000+00:00,11302,1287,31,16
2026-06-13T10:47:48.340000+00:00,11302,1287,41,17
2026-06-13T10:47:48.340000+00:00,11302,1287,43,18
2026-06-13T10:47:48.340000+00:00,11302,1287,44,19
2026-06-13T10:47:48.340000+00:00,11302,1287,55,4
2026-06-13T10:48:06.477000+00:00,11302,1287,1,6
2026-06-13T10:48:06.477000+00:00,11302,1287,3,7
2026-06-13T10:48:06.477000+00:00,11302,1287,5,8
2026-06-13T10:48:06.477000+00:00,11302,1287,6,9
2026-06-13T10:48:06.477000+00:00,11302,1287,10,10
2026-06-13T10:48:06.477000+00:00,11302,1287,12,11
2026-06-13T10:48:06.477000+00:00,11302,1287,14,12
2026-06-13T10:48:06.477000+00:00,11302,1287,16,13
2026-06-13T10:48:06.477000+00:00,11302,1287,18,14
2026-06-13T10:48:06.477000+00:00,11302,1287,23,5
2026-06-13T10:48:20.099000+00:00,11302,1287,1,7
2026-06-13T10:48:20.099000+00:00,11302,1287,3,8
2026-06-13T10:48:20.099000+00:00,11302,1287,5,9
2026-06-13T10:48:20.099000+00:00,11302,1287,6,10
2026-06-13T10:48:20.099000+00:00,11302,1287,10,11
2026-06-13T10:48:20.099000+00:00,11302,1287,12,12
2026-06-13T10:48:20.099000+00:00,11302,1287,14,13
2026-06-13T10:48:20.099000+00:00,11302,1287,16,14
2026-06-13T10:48:20.099000+00:00,11302,1287,18,15
2026-06-13T10:48:20.099000+00:00,11302,1287,30,16
