position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,11,False,False,False,75.679,0,1287,11302
2,81,12,False,False,False,75.893,0.214,1287,11302
3,16,17,False,False,False,75.922,0.243,1287,11302
4,1,15,False,False,False,75.925,0.246,1287,11302
5,44,16,False,False,False,76.381,0.702,1287,11302
6,3,12,False,False,False,76.434,0.755,1287,11302
7,12,12,False,False,False,76.5,0.821,1287,11302
8,6,15,False,False,False,76.684,1.005,1287,11302
9,27,22,False,False,False,76.961,1.282,1287,11302
10,41,16,False,False,False,77.02,1.341,1287,11302
11,5,13,False,False,False,77.027,1.348,1287,11302
12,30,15,False,False,False,77.324,1.645,1287,11302
13,10,15,False,False,False,77.583,1.904,1287,11302
14,43,14,False,False,False,77.625,1.946,1287,11302
15,55,19,False,False,False,77.73,2.051,1287,11302
16,31,15,False,False,False,78.04,2.361,1287,11302
17,87,13,False,False,False,78.391,2.712,1287,11302
18,23,15,False,False,False,78.412,2.733,1287,11302
19,11,21,False,False,False,78.691,3.012,1287,11302
20,14,18,False,False,False,79.496,3.817,1287,11302
21,77,14,False,False,False,79.962,4.283,1287,11302
22,18,17,False,False,False,80.103,4.424,1287,11302
