date,session_key,rainfall,meeting_key,humidity,pressure,wind_direction,air_temperature,track_temperature,wind_speed
2026-06-14T12:10:26.405000+00:00,11307,0,1287,30.2,1001.0,116,30.7,50.4,4.0
2026-06-14T12:11:26.410000+00:00,11307,0,1287,30.3,1000.9,102,30.7,50.7,2.1
2026-06-14T12:12:26.411000+00:00,11307,0,1287,30.7,1001.0,93,30.6,51.3,2.9
2026-06-14T12:13:26.410000+00:00,11307,0,1287,30.3,1000.9,145,30.7,50.5,4.3
2026-06-14T12:14:26.410000+00:00,11307,0,1287,30.0,1000.9,122,30.7,50.3,2.9
2026-06-14T12:15:26.423000+00:00,11307,0,1287,30.5,1001.0,181,30.6,50.3,2.9
2026-06-14T12:16:26.406000+00:00,11307,0,1287,30.4,1000.9,144,30.6,51.9,2.0
2026-06-14T12:17:26.415000+00:00,11307,0,1287,30.1,1000.9,144,30.6,50.3,3.4
2026-06-14T12:18:26.406000+00:00,11307,0,1287,30.0,1000.8,87,30.5,50.7,2.9
2026-06-14T12:19:26.407000+00:00,11307,0,1287,30.3,1000.9,167,30.4,50.8,2.1
2026-06-14T12:20:26.419000+00:00,11307,0,1287,30.9,1000.8,168,30.5,51.8,1.4
2026-06-14T12:21:26.411000+00:00,11307,0,1287,30.5,1000.8,149,30.6,51.4,1.9
2026-06-14T12:22:26.420000+00:00,11307,0,1287,30.1,1000.8,163,30.6,51.6,3.3
2026-06-14T12:23:26.426000+00:00,11307,0,1287,29.7,1000.8,156,30.6,50.7,2.2
2026-06-14T12:24:26.427000+00:00,11307,0,1287,30.2,1000.9,169,30.6,51.4,0.8
2026-06-14T12:25:26.427000+00:00,11307,0,1287,30.3,1000.9,88,30.6,51.7,1.6
2026-06-14T12:26:26.424000+00:00,11307,0,1287,30.0,1000.9,99,30.6,50.2,4.5
2026-06-14T12:27:26.425000+00:00,11307,0,1287,30.0,1000.8,132,30.6,51.4,1.1
2026-06-14T12:28:26.429000+00:00,11307,0,1287,29.6,1000.8,129,30.6,50.8,2.5
2026-06-14T12:29:26.430000+00:00,11307,0,1287,29.7,1000.8,92,30.5,50.8,4.1
2026-06-14T12:30:26.436000+00:00,11307,0,1287,29.4,1000.7,102,30.5,49.8,3.7
2026-06-14T12:31:26.426000+00:00,11307,0,1287,30.0,1000.7,85,30.5,51.4,1.0
2026-06-14T12:32:26.429000+00:00,11307,0,1287,30.6,1000.7,118,30.5,52.1,1.5
2026-06-14T12:33:26.431000+00:00,11307,0,1287,29.2,1000.7,84,30.5,49.7,5.2
2026-06-14T12:34:26.420000+00:00,11307,0,1287,30.0,1000.7,128,30.5,50.7,4.1
2026-06-14T12:35:26.423000+00:00,11307,0,1287,30.3,1000.7,155,30.6,50.6,4.0
2026-06-14T12:36:26.426000+00:00,11307,0,1287,29.6,1000.7,135,30.6,50.7,2.6
2026-06-14T12:37:26.435000+00:00,11307,0,1287,30.5,1000.7,141,30.7,51.4,2.9
2026-06-14T12:38:26.433000+00:00,11307,0,1287,29.9,1000.7,106,30.7,51.3,3.4
2026-06-14T12:39:26.435000+00:00,11307,0,1287,29.4,1000.7,96,30.8,51.9,1.1
2026-06-14T12:40:26.436000+00:00,11307,0,1287,29.0,1000.7,156,30.8,51.2,3.3
2026-06-14T12:41:26.433000+00:00,11307,0,1287,29.3,1000.7,140,30.8,51.1,2.7
2026-06-14T12:42:26.439000+00:00,11307,0,1287,29.6,1000.7,128,30.7,51.3,1.2
2026-06-14T12:43:26.452000+00:00,11307,0,1287,29.7,1000.7,123,30.7,50.6,3.6
2026-06-14T12:44:26.429000+00:00,11307,0,1287,29.7,1000.7,115,30.6,50.0,3.5
2026-06-14T12:45:26.448000+00:00,11307,0,1287,29.8,1000.7,160,30.7,50.7,4.6
2026-06-14T12:46:26.433000+00:00,11307,0,1287,30.2,1000.6,101,30.7,50.5,3.3
2026-06-14T12:47:26.439000+00:00,11307,0,1287,29.8,1000.6,146,30.8,49.7,2.8
2026-06-14T12:48:26.459000+00:00,11307,0,1287,30.3,1000.7,148,30.8,51.6,2.7
2026-06-14T12:49:26.459000+00:00,11307,0,1287,29.8,1000.6,194,30.7,51.0,1.1
2026-06-14T12:50:26.463000+00:00,11307,0,1287,29.7,1000.5,157,30.7,50.4,3.0
2026-06-14T12:51:26.503000+00:00,11307,0,1287,30.0,1000.7,152,30.7,50.7,3.8
2026-06-14T12:52:26.479000+00:00,11307,0,1287,29.7,1000.6,121,30.6,49.8,4.0
2026-06-14T12:53:26.474000+00:00,11307,0,1287,29.9,1000.7,137,30.6,49.9,3.6
2026-06-14T12:54:26.492000+00:00,11307,0,1287,29.9,1000.6,151,30.5,50.9,3.6
2026-06-14T12:55:26.493000+00:00,11307,0,1287,29.9,1000.6,129,30.7,50.9,2.8
2026-06-14T12:56:26.500000+00:00,11307,0,1287,29.8,1000.6,151,30.7,51.1,2.6
