date,session_key,meeting_key,gap_to_leader,interval,driver_number
2026-09-26T10:07:03.334000+00:00,11377,1295,0.0,0.0,63
2026-09-26T10:08:23.031000+00:00,11377,1295,0.0,0.0,63
2026-09-26T10:08:26.648000+00:00,11377,1295,0.0,0.0,63
2026-09-26T11:03:58.248000+00:00,11377,1295,0.272,,81
2026-09-26T11:03:58.319000+00:00,11377,1295,0.398,0.398,16
2026-09-26T11:03:58.619000+00:00,11377,1295,0.712,,1
2026-09-26T11:03:58.745000+00:00,11377,1295,0.811,0.539,6
2026-09-26T11:03:59.075000+00:00,11377,1295,1.149,,10
2026-09-26T11:03:59.166000+00:00,11377,1295,1.227,0.515,44
2026-09-26T11:03:59.403000+00:00,11377,1295,1.424,,43
2026-09-26T11:03:59.545000+00:00,11377,1295,1.598,0.449,3
2026-09-26T11:03:59.600000+00:00,11377,1295,1.679,,30
2026-09-26T11:03:59.752000+00:00,11377,1295,1.785,0.361,87
2026-09-26T11:03:59.996000+00:00,11377,1295,2.027,0.348,23
2026-09-26T11:04:00.101000+00:00,11377,1295,2.18,0.153,31
2026-09-26T11:04:00.404000+00:00,11377,1295,2.477,,41
2026-09-26T11:04:00.518000+00:00,11377,1295,2.596,0.416,55
2026-09-26T11:04:00.785000+00:00,11377,1295,2.876,0.399,12
2026-09-26T11:04:00.819000+00:00,11377,1295,2.916,,27
2026-09-26T11:04:00.892000+00:00,11377,1295,2.976,0.1,5
2026-09-26T11:04:01.205000+00:00,11377,1295,3.293,0.377,77
2026-09-26T11:04:01.269000+00:00,11377,1295,3.367,0.074,11
2026-09-26T11:04:01.520000+00:00,11377,1295,3.617,0.25,14
2026-09-26T11:04:02.032000+00:00,11377,1295,4.117,0.5,18
2026-09-26T11:04:04.251000+00:00,11377,1295,0.541,0.541,81
2026-09-26T11:04:04.500000+00:00,11377,1295,0.765,0.224,16
2026-09-26T11:04:04.647000+00:00,11377,1295,0.921,0.156,1
2026-09-26T11:04:04.763000+00:00,11377,1295,1.039,0.118,6
2026-09-26T11:04:05.500000+00:00,11377,1295,1.77,0.731,10
2026-09-26T11:04:05.567000+00:00,11377,1295,1.84,0.07,44
2026-09-26T11:04:05.693000+00:00,11377,1295,1.955,0.115,3
2026-09-26T11:04:05.803000+00:00,11377,1295,2.072,0.117,43
2026-09-26T11:04:06.019000+00:00,11377,1295,2.303,0.231,30
2026-09-26T11:04:06.290000+00:00,11377,1295,2.567,0.264,87
2026-09-26T11:04:06.354000+00:00,11377,1295,2.641,0.074,23
2026-09-26T11:04:06.690000+00:00,11377,1295,2.973,0.332,31
2026-09-26T11:04:06.913000+00:00,11377,1295,3.195,,55
2026-09-26T11:04:06.932000+00:00,11377,1295,3.194,0.221,41
2026-09-26T11:04:07.205000+00:00,11377,1295,3.479,0.284,27
2026-09-26T11:04:07.366000+00:00,11377,1295,3.657,0.178,12
2026-09-26T11:04:07.668000+00:00,11377,1295,3.944,0.287,5
2026-09-26T11:04:07.832000+00:00,11377,1295,4.11,0.166,11
2026-09-26T11:04:08.142000+00:00,11377,1295,4.413,,77
