date,session_key,driver_number,meeting_key,position
2026-07-18T13:45:50.651000+00:00,11330,12,1290,1
2026-07-18T13:45:50.651000+00:00,11330,1,1290,2
2026-07-18T13:45:50.651000+00:00,11330,3,1290,3
2026-07-18T13:45:50.651000+00:00,11330,63,1290,4
2026-07-18T13:45:50.651000+00:00,11330,44,1290,5
2026-07-18T13:45:50.651000+00:00,11330,16,1290,6
2026-07-18T13:45:50.651000+00:00,11330,81,1290,7
2026-07-18T13:45:50.651000+00:00,11330,27,1290,8
2026-07-18T13:45:50.651000+00:00,11330,5,1290,9
2026-07-18T13:45:50.651000+00:00,11330,6,1290,10
2026-07-18T13:45:50.651000+00:00,11330,41,1290,11
2026-07-18T13:45:50.651000+00:00,11330,30,1290,12
2026-07-18T13:45:50.651000+00:00,11330,43,1290,13
2026-07-18T13:45:50.651000+00:00,11330,87,1290,14
2026-07-18T13:45:50.651000+00:00,11330,10,1290,15
2026-07-18T13:45:50.651000+00:00,11330,23,1290,16
2026-07-18T13:45:50.651000+00:00,11330,77,1290,17
2026-07-18T13:45:50.651000+00:00,11330,55,1290,18
2026-07-18T13:45:50.651000+00:00,11330,31,1290,19
2026-07-18T13:45:50.651000+00:00,11330,11,1290,20
2026-07-18T13:45:50.651000+00:00,11330,14,1290,21
2026-07-18T13:45:50.651000+00:00,11330,18,1290,22
2026-07-18T14:04:23.896000+00:00,11330,12,1290,2
2026-07-18T14:04:23.896000+00:00,11330,1,1290,3
2026-07-18T14:04:23.896000+00:00,11330,3,1290,4
2026-07-18T14:04:23.896000+00:00,11330,63,1290,5
2026-07-18T14:04:23.896000+00:00,11330,44,1290,6
2026-07-18T14:04:23.896000+00:00,11330,16,1290,7
2026-07-18T14:04:23.896000+00:00,11330,81,1290,8
2026-07-18T14:04:23.896000+00:00,11330,27,1290,9
2026-07-18T14:04:23.896000+00:00,11330,5,1290,10
2026-07-18T14:04:23.896000+00:00,11330,6,1290,11
2026-07-18T14:04:23.896000+00:00,11330,41,1290,12
2026-07-18T14:04:23.896000+00:00,11330,30,1290,13
2026-07-18T14:04:23.896000+00:00,11330,43,1290,14
2026-07-18T14:04:23.896000+00:00,11330,87,1290,15
2026-07-18T14:04:23.896000+00:00,11330,10,1290,16
2026-07-18T14:04:23.896000+00:00,11330,23,1290,17
2026-07-18T14:04:23.896000+00:00,11330,77,1290,1
2026-07-18T14:04:25.012000+00:00,11330,12,1290,3
2026-07-18T14:04:25.012000+00:00,11330,1,1290,4
2026-07-18T14:04:25.012000+00:00,11330,3,1290,5
2026-07-18T14:04:25.012000+00:00,11330,63,1290,6
2026-07-18T14:04:25.012000+00:00,11330,44,1290,7
2026-07-18T14:04:25.012000+00:00,11330,16,1290,8
2026-07-18T14:04:25.012000+00:00,11330,81,1290,9
2026-07-18T14:04:25.012000+00:00,11330,27,1290,10
2026-07-18T14:04:25.012000+00:00,11330,5,1290,11
2026-07-18T14:04:25.012000+00:00,11330,6,1290,12
2026-07-18T14:04:25.012000+00:00,11330,41,1290,13
2026-07-18T14:04:25.012000+00:00,11330,30,1290,14
2026-07-18T14:04:25.012000+00:00,11330,43,1290,15
2026-07-18T14:04:25.012000+00:00,11330,87,1290,16
2026-07-18T14:04:25.012000+00:00,11330,10,1290,17
2026-07-18T14:04:25.012000+00:00,11330,23,1290,18
2026-07-18T14:04:25.012000+00:00,11330,77,1290,2
2026-07-18T14:04:25.012000+00:00,11330,55,1290,19
2026-07-18T14:04:25.012000+00:00,11330,31,1290,20
2026-07-18T14:04:25.012000+00:00,11330,11,1290,1
2026-07-18T14:07:08.754000+00:00,11330,12,1290,4
2026-07-18T14:07:08.754000+00:00,11330,1,1290,5
2026-07-18T14:07:08.754000+00:00,11330,3,1290,6
2026-07-18T14:07:08.754000+00:00,11330,63,1290,7
2026-07-18T14:07:08.754000+00:00,11330,44,1290,8
2026-07-18T14:07:08.754000+00:00,11330,16,1290,9
2026-07-18T14:07:08.754000+00:00,11330,81,1290,10
2026-07-18T14:07:08.754000+00:00,11330,27,1290,11
2026-07-18T14:07:08.754000+00:00,11330,5,1290,12
2026-07-18T14:07:08.754000+00:00,11330,6,1290,13
2026-07-18T14:07:08.754000+00:00,11330,41,1290,14
2026-07-18T14:07:08.754000+00:00,11330,30,1290,15
2026-07-18T14:07:08.754000+00:00,11330,10,1290,1
