date,session_key,meeting_key,interval,driver_number,gap_to_leader
2026-06-14T13:03:50.209000+00:00,11307,1287,0.156,81,1.247
2026-06-14T13:03:50.717000+00:00,11307,1287,0.482,16,1.729
2026-06-14T13:03:50.880000+00:00,11307,1287,0.033,30,1.762
2026-06-14T13:03:50.887000+00:00,11307,1287,0.005,41,1.767
2026-06-14T13:03:51.018000+00:00,11307,1287,0.215,27,1.982
2026-06-14T13:03:51.146000+00:00,11307,1287,0.215,43,2.197
2026-06-14T13:03:51.518000+00:00,11307,1287,0.377,10,2.574
2026-06-14T13:03:51.548000+00:00,11307,1287,0.049,55,2.623
2026-06-14T13:03:51.804000+00:00,11307,1287,0.266,6,2.889
2026-06-14T13:03:52.023000+00:00,11307,1287,0.173,87,3.062
2026-06-14T13:03:52.123000+00:00,11307,1287,0.08,23,3.142
2026-06-14T13:03:52.363000+00:00,11307,1287,0.182,5,3.324
2026-06-14T13:03:52.609000+00:00,11307,1287,0.27,31,3.594
2026-06-14T13:03:52.787000+00:00,11307,1287,0.254,44,0.254
2026-06-14T13:03:52.791000+00:00,11307,1287,0.21,77,3.804
2026-06-14T13:03:52.871000+00:00,11307,1287,0.065,11,3.869
2026-06-14T13:03:53.292000+00:00,11307,1287,0.498,12,0.752
2026-06-14T13:03:53.381000+00:00,11307,1287,0.564,18,4.433
2026-06-14T13:03:53.617000+00:00,11307,1287,0.336,1,1.088
2026-06-14T13:03:53.812000+00:00,11307,1287,4.095,14,8.127
2026-06-14T13:03:53.947000+00:00,11307,1287,0.315,3,1.403
2026-06-14T13:03:53.964000+00:00,11307,1287,0.017,81,1.42
2026-06-14T13:03:54.539000+00:00,11307,1287,0.608,16,2.028
2026-06-14T13:03:54.574000+00:00,11307,1287,,30,2.061
2026-06-14T13:03:55.018000+00:00,11307,1287,0.337,27,2.398
2026-06-14T13:03:55.023000+00:00,11307,1287,0.036,41,2.434
2026-06-14T13:03:55.147000+00:00,11307,1287,0.191,43,2.625
2026-06-14T13:03:55.522000+00:00,11307,1287,0.381,55,3.006
2026-06-14T13:03:55.609000+00:00,11307,1287,0.08,10,3.086
2026-06-14T13:03:55.687000+00:00,11307,1287,0.313,44,0.313
2026-06-14T13:03:55.971000+00:00,11307,1287,0.343,6,3.429
2026-06-14T13:03:55.971000+00:00,11307,1287,0.04,87,3.469
2026-06-14T13:03:56.208000+00:00,11307,1287,0.41,12,0.723
2026-06-14T13:03:56.208000+00:00,11307,1287,0.131,23,3.6
2026-06-14T13:03:56.447000+00:00,11307,1287,0.315,1,1.038
2026-06-14T13:03:56.447000+00:00,11307,1287,0.301,5,3.901
2026-06-14T13:03:56.653000+00:00,11307,1287,0.239,31,4.14
2026-06-14T13:03:56.870000+00:00,11307,1287,0.306,3,1.344
2026-06-14T13:03:56.881000+00:00,11307,1287,0.052,81,1.396
2026-06-14T13:03:56.975000+00:00,11307,1287,0.306,11,4.446
2026-06-14T13:03:57.041000+00:00,11307,1287,0.053,77,4.499
2026-06-14T13:03:57.053000+00:00,11307,1287,3.714,14,8.147
2026-06-14T13:03:57.471000+00:00,11307,1287,0.647,16,2.043
2026-06-14T13:03:57.471000+00:00,11307,1287,0.023,30,2.066
2026-06-14T13:03:57.553000+00:00,11307,1287,0.506,18,5.005
2026-06-14T13:03:57.805000+00:00,11307,1287,0.341,27,2.407
2026-06-14T13:03:57.879000+00:00,11307,1287,0.047,41,2.454
2026-06-14T13:03:58.134000+00:00,11307,1287,0.221,43,2.675
2026-06-14T13:03:58.444000+00:00,11307,1287,0.34,55,3.015
2026-06-14T13:03:58.682000+00:00,11307,1287,0.184,10,3.199
2026-06-14T13:03:58.840000+00:00,11307,1287,0.24,6,3.439
2026-06-14T13:03:58.849000+00:00,11307,1287,0.036,87,3.475
2026-06-14T13:03:59.058000+00:00,11307,1287,0.198,23,3.673
2026-06-14T13:03:59.360000+00:00,11307,1287,0.245,5,3.918
2026-06-14T13:03:59.663000+00:00,11307,1287,0.374,31,4.292
2026-06-14T13:03:59.799000+00:00,11307,1287,0.521,44,0.521
2026-06-14T13:03:59.879000+00:00,11307,1287,0.237,11,4.529
2026-06-14T13:04:00.043000+00:00,11307,1287,0.122,77,4.651
2026-06-14T13:04:00.453000+00:00,11307,1287,0.54,12,1.061
2026-06-14T13:04:00.529000+00:00,11307,1287,0.232,1,1.293
2026-06-14T13:04:00.586000+00:00,11307,1287,0.512,18,5.163
2026-06-14T13:04:00.818000+00:00,11307,1287,0.213,3,1.506
