date,session_key,position,driver_number,meeting_key
2026-08-21T14:16:31.462000+00:00,11344,1,12,1292
2026-08-21T14:16:31.462000+00:00,11344,2,1,1292
2026-08-21T14:16:31.462000+00:00,11344,3,63,1292
2026-08-21T14:16:31.462000+00:00,11344,4,44,1292
2026-08-21T14:16:31.462000+00:00,11344,5,16,1292
2026-08-21T14:16:31.462000+00:00,11344,6,81,1292
2026-08-21T14:16:31.462000+00:00,11344,7,27,1292
2026-08-21T14:16:31.462000+00:00,11344,8,10,1292
2026-08-21T14:16:31.462000+00:00,11344,9,5,1292
2026-08-21T14:16:31.462000+00:00,11344,10,41,1292
2026-08-21T14:16:31.462000+00:00,11344,11,3,1292
2026-08-21T14:16:31.462000+00:00,11344,12,14,1292
2026-08-21T14:16:31.462000+00:00,11344,13,43,1292
2026-08-21T14:16:31.462000+00:00,11344,14,30,1292
2026-08-21T14:16:31.462000+00:00,11344,15,87,1292
2026-08-21T14:16:31.462000+00:00,11344,16,31,1292
2026-08-21T14:16:31.462000+00:00,11344,17,22,1292
2026-08-21T14:16:31.462000+00:00,11344,18,18,1292
2026-08-21T14:16:31.462000+00:00,11344,19,23,1292
2026-08-21T14:16:31.462000+00:00,11344,20,77,1292
2026-08-21T14:16:31.462000+00:00,11344,21,11,1292
2026-08-21T14:16:31.462000+00:00,11344,22,55,1292
2026-08-21T14:33:28.648000+00:00,11344,3,1,1292
2026-08-21T14:33:28.648000+00:00,11344,2,63,1292
2026-08-21T14:33:32.156000+00:00,11344,4,1,1292
2026-08-21T14:33:32.156000+00:00,11344,5,44,1292
2026-08-21T14:33:32.156000+00:00,11344,6,16,1292
2026-08-21T14:33:32.156000+00:00,11344,7,81,1292
2026-08-21T14:33:32.156000+00:00,11344,8,27,1292
2026-08-21T14:33:32.156000+00:00,11344,9,10,1292
2026-08-21T14:33:32.156000+00:00,11344,10,5,1292
2026-08-21T14:33:32.156000+00:00,11344,11,41,1292
2026-08-21T14:33:32.156000+00:00,11344,12,3,1292
2026-08-21T14:33:32.156000+00:00,11344,13,14,1292
2026-08-21T14:33:32.156000+00:00,11344,14,43,1292
2026-08-21T14:33:32.156000+00:00,11344,15,30,1292
2026-08-21T14:33:32.156000+00:00,11344,16,87,1292
2026-08-21T14:33:32.156000+00:00,11344,17,31,1292
2026-08-21T14:33:32.156000+00:00,11344,18,22,1292
2026-08-21T14:33:32.156000+00:00,11344,19,18,1292
2026-08-21T14:33:32.156000+00:00,11344,20,23,1292
2026-08-21T14:33:32.156000+00:00,11344,21,77,1292
2026-08-21T14:33:32.156000+00:00,11344,3,11,1292
2026-08-21T14:34:36.947000+00:00,11344,5,1,1292
