timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-06-14T15:30:09.776299Z,sessions,sessions_by_year,"{""year"": 2026}",126,pass,,0.445
2026-06-14T15:30:10.425543Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.498
2026-06-14T15:30:10.979606Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.452
2026-06-14T15:30:11.532879Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.451
2026-06-14T15:30:12.140761Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.507
2026-06-14T15:30:12.698895Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.456
2026-06-14T15:30:12.800785Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T15:30:13.255953Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.455
2026-06-14T15:30:13.813721Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.457
2026-06-14T15:30:14.317038Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.401
2026-06-14T15:30:14.839583Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.421
2026-06-14T15:30:15.351090Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.41
2026-06-14T15:30:15.926832Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.474
2026-06-14T15:30:16.486492Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.458
2026-06-14T15:30:16.993122Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.405
2026-06-14T15:30:17.094961Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-06-14T15:30:17.538350Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.443
2026-06-14T15:30:18.029272Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.39
2026-06-14T15:30:18.546842Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.416
2026-06-14T15:30:19.160919Z,weather,weather_by_session_key,"{""session_key"": 11467}",528,pass,,0.513
2026-06-14T15:30:19.669085Z,race_control,race_control_by_session_key,"{""session_key"": 11467}",109,pass,,0.406
2026-06-14T15:30:20.175684Z,intervals,intervals_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.405
2026-06-14T15:30:20.686148Z,position,position_by_session_key,"{""session_key"": 11467}",216,pass,,0.409
2026-06-14T15:30:21.224748Z,stints,stints_by_session_key,"{""session_key"": 11467}",211,pass,,0.437
2026-06-14T15:30:21.326633Z,pit,skip_non_race_like_session,"{""session_key"": 11467}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
