date,session_key,pit_duration,lap_number,driver_number,stop_duration,lane_duration,meeting_key
2026-07-26T13:15:41.346000+00:00,11342,21.7,8,18,,21.7,1291
2026-07-26T13:22:21.620000+00:00,11342,21.7,13,44,,21.7,1291
2026-07-26T13:23:46.669000+00:00,11342,21.6,14,3,,21.6,1291
2026-07-26T13:25:55.040000+00:00,11342,22.9,15,43,,22.9,1291
2026-07-26T13:26:33.852000+00:00,11342,21.7,16,81,,21.7,1291
2026-07-26T13:26:41.676000+00:00,11342,21.9,16,16,,21.9,1291
2026-07-26T13:27:14.786000+00:00,11342,21.4,16,10,,21.4,1291
2026-07-26T13:28:00.540000+00:00,11342,22.1,17,1,,22.1,1291
2026-07-26T13:28:49.903000+00:00,11342,22.5,17,31,,22.5,1291
2026-07-26T13:30:22.324000+00:00,11342,21.6,18,55,,21.6,1291
2026-07-26T13:31:16.420000+00:00,11342,21.8,19,6,,21.8,1291
2026-07-26T13:31:30.310000+00:00,11342,21.4,19,27,,21.4,1291
2026-07-26T13:32:55.402000+00:00,11342,21.3,20,41,,21.3,1291
2026-07-26T13:34:20.885000+00:00,11342,21.9,21,30,,21.9,1291
2026-07-26T13:35:15.179000+00:00,11342,23.2,21,11,,23.2,1291
2026-07-26T13:35:16.642000+00:00,11342,21.3,22,12,,21.3,1291
2026-07-26T13:36:16.382000+00:00,11342,22.5,22,87,,22.5,1291
2026-07-26T13:42:20.136000+00:00,11342,22.1,26,23,,22.1,1291
2026-07-26T13:42:56.696000+00:00,11342,22.2,27,63,,22.2,1291
2026-07-26T13:46:11.589000+00:00,11342,21.7,29,5,,21.7,1291
2026-07-26T13:46:55.302000+00:00,11342,21.6,30,44,,21.6,1291
2026-07-26T13:51:04.546000+00:00,11342,21.7,33,81,,21.7,1291
2026-07-26T13:53:49.332000+00:00,11342,22.1,34,14,,22.1,1291
2026-07-26T13:55:29.069000+00:00,11342,22.3,35,31,,22.3,1291
2026-07-26T13:55:31.438000+00:00,11342,21.7,36,16,,21.7,1291
2026-07-26T13:58:17.740000+00:00,11342,24.2,37,18,,24.2,1291
2026-07-26T13:58:20.671000+00:00,11342,22.2,37,43,,22.2,1291
2026-07-26T14:00:41.461000+00:00,11342,22.1,39,27,,22.1,1291
2026-07-26T14:00:56.586000+00:00,11342,21.5,39,10,,21.5,1291
2026-07-26T14:02:34.058000+00:00,11342,22.0,41,3,,22.0,1291
2026-07-26T14:04:31.983000+00:00,11342,22.2,42,6,,22.2,1291
2026-07-26T14:04:54.514000+00:00,11342,21.5,42,30,,21.5,1291
2026-07-26T14:06:05.054000+00:00,11342,22.3,42,87,,22.3,1291
2026-07-26T14:07:30.243000+00:00,11342,28.6,43,55,,28.6,1291
2026-07-26T14:12:30.716000+00:00,11342,24.2,46,11,,24.2,1291
2026-07-26T14:19:33.974000+00:00,11342,21.3,53,12,,21.3,1291
2026-07-26T14:21:36.025000+00:00,11342,22.0,54,63,,22.0,1291
2026-07-26T14:23:39.271000+00:00,11342,22.7,54,23,,22.7,1291
2026-07-26T14:23:44.520000+00:00,11342,21.8,56,1,,21.8,1291
2026-07-26T14:23:47.468000+00:00,11342,22.0,54,55,,22.0,1291
2026-07-26T14:24:03.700000+00:00,11342,22.4,56,44,,22.4,1291
2026-07-26T14:24:17.788000+00:00,11342,21.9,56,16,,21.9,1291
2026-07-26T14:24:28.241000+00:00,11342,21.7,55,10,,21.7,1291
2026-07-26T14:24:38.573000+00:00,11342,22.6,55,14,,22.6,1291
