date,session_key,pit_duration,meeting_key,lap_number,driver_number,lane_duration,stop_duration
2026-09-04T14:00:03.904000+00:00,11355,,1293,1,5,,
2026-09-04T14:00:21.474000+00:00,11355,,1293,1,87,,
2026-09-04T14:00:22.581000+00:00,11355,,1293,1,31,,
2026-09-04T14:00:25.708000+00:00,11355,,1293,1,43,,
2026-09-04T14:00:36.388000+00:00,11355,,1293,1,77,,
2026-09-04T14:00:44.404000+00:00,11355,,1293,1,22,,
2026-09-04T14:00:48.067000+00:00,11355,,1293,1,18,,
2026-09-04T14:00:51.939000+00:00,11355,,1293,1,55,,
2026-09-04T14:00:58.254000+00:00,11355,,1293,1,30,,
2026-09-04T14:01:03.426000+00:00,11355,,1293,1,3,,
2026-09-04T14:01:23.939000+00:00,11355,,1293,1,81,,
2026-09-04T14:01:26.334000+00:00,11355,,1293,1,12,,
2026-09-04T14:01:31.031000+00:00,11355,,1293,1,1,,
2026-09-04T14:01:34.696000+00:00,11355,,1293,1,27,,
2026-09-04T14:01:35.821000+00:00,11355,,1293,1,16,,
2026-09-04T14:01:39.243000+00:00,11355,,1293,1,44,,
2026-09-04T14:01:52.370000+00:00,11355,,1293,1,41,,
2026-09-04T14:02:01.582000+00:00,11355,,1293,1,23,,
2026-09-04T14:02:46.120000+00:00,11355,,1293,1,63,,
2026-09-04T14:07:16.176000+00:00,11355,58.8,1293,4,87,58.8,
2026-09-04T14:07:18.184000+00:00,11355,58.6,1293,4,31,58.6,
2026-09-04T14:07:26.682000+00:00,11355,,1293,1,10,,
2026-09-04T14:07:37.760000+00:00,11355,36.7,1293,4,16,36.7,
2026-09-04T14:07:47.338000+00:00,11355,40.6,1293,4,44,40.6,
2026-09-04T14:10:03.223000+00:00,11355,29.1,1293,6,77,29.1,
2026-09-04T14:10:09.314000+00:00,11355,,1293,1,11,,
2026-09-04T14:10:18.887000+00:00,11355,19.0,1293,6,5,19.0,
2026-09-04T14:10:41.990000+00:00,11355,40.7,1293,6,3,40.7,
2026-09-04T14:12:33.832000+00:00,11355,26.0,1293,6,63,26.0,
2026-09-04T14:13:54.273000+00:00,11355,,1293,1,14,,
2026-09-04T14:14:04.584000+00:00,11355,72.7,1293,7,87,72.7,
2026-09-04T14:14:06.481000+00:00,11355,27.4,1293,8,55,27.4,
2026-09-04T14:14:54.795000+00:00,11355,375.8,1293,5,12,375.8,
2026-09-04T14:15:13.845000+00:00,11355,20.9,1293,8,16,20.9,
2026-09-04T14:16:19.019000+00:00,11355,19.0,1293,9,5,19.0,
2026-09-04T14:18:32.965000+00:00,11355,20.2,1293,10,31,20.2,
2026-09-04T14:19:52.624000+00:00,11355,106.7,1293,7,12,106.7,
2026-09-04T14:22:03.489000+00:00,11355,267.7,1293,9,63,267.7,
2026-09-04T14:24:17.597000+00:00,11355,430.8,1293,10,30,430.8,
2026-09-04T14:24:21.081000+00:00,11355,27.8,1293,10,63,27.8,
2026-09-04T14:26:58.471000+00:00,11355,578.9,1293,10,43,578.9,
2026-09-04T14:28:19.073000+00:00,11355,750.3,1293,9,41,750.3,
2026-09-04T14:28:22.229000+00:00,11355,436.0,1293,12,27,436.0,
2026-09-04T14:28:24.604000+00:00,11355,632.7,1293,10,22,632.7,
2026-09-04T14:28:28.798000+00:00,11355,422.7,1293,12,23,422.7,
2026-09-04T14:28:30.894000+00:00,11355,542.4,1293,11,55,542.4,
2026-09-04T14:28:33.761000+00:00,11355,433.0,1293,11,87,433.0,
2026-09-04T14:28:34.901000+00:00,11355,558.2,1293,11,18,558.2,
2026-09-04T14:28:41.058000+00:00,11355,869.5,1293,8,1,869.5,
2026-09-04T14:28:44.071000+00:00,11355,487.7,1293,11,16,487.7,
2026-09-04T14:28:47.889000+00:00,11355,898.2,1293,8,81,898.2,
2026-09-04T14:28:52.092000+00:00,11355,726.6,1293,9,44,726.6,
2026-09-04T14:28:53.373000+00:00,11355,459.0,1293,12,5,459.0,
2026-09-04T14:28:58.628000+00:00,11355,480.2,1293,12,3,480.2,
2026-09-04T14:29:22.790000+00:00,11355,848.1,1293,9,77,848.1,
2026-09-04T14:29:31.101000+00:00,11355,394.8,1293,10,10,394.8,
2026-09-04T14:29:41.709000+00:00,11355,245.6,1293,10,11,245.6,
2026-09-04T14:30:27.372000+00:00,11355,339.9,1293,10,12,339.9,
2026-09-04T14:31:21.725000+00:00,11355,432.5,1293,13,31,432.5,
2026-09-04T14:33:40.557000+00:00,11355,18.9,1293,12,41,18.9,
2026-09-04T14:33:54+00:00,11355,30.8,1293,15,27,30.8,
2026-09-04T14:34:14.138000+00:00,11355,18.9,1293,14,87,18.9,
2026-09-04T14:34:15.576000+00:00,11355,18.8,1293,14,18,18.8,
2026-09-04T14:34:24.779000+00:00,11355,33.9,1293,14,16,33.9,
2026-09-04T14:34:58.605000+00:00,11355,21.7,1293,12,44,21.7,
2026-09-04T14:36:40.431000+00:00,11355,19.0,1293,16,5,19.0,
2026-09-04T14:37:01.773000+00:00,11355,683.2,1293,8,14,683.2,
2026-09-04T14:37:20.759000+00:00,11355,49.4,1293,16,31,49.4,
2026-09-04T14:40:02.328000+00:00,11355,398.3,1293,15,23,398.3,
2026-09-04T14:40:17.094000+00:00,11355,299.5,1293,16,63,299.5,
2026-09-04T14:42:45.357000+00:00,11355,28.8,1293,22,30,28.8,
2026-09-04T14:43:19.488000+00:00,11355,374.9,1293,17,3,374.9,
2026-09-04T14:43:26.633000+00:00,11355,331.5,1293,16,16,331.5,
2026-09-04T14:44:01.880000+00:00,11355,307.3,1293,18,27,307.3,
2026-09-04T14:44:03.271000+00:00,11355,309.5,1293,17,55,309.5,
2026-09-04T14:44:17.051000+00:00,11355,466.4,1293,15,43,466.4,
2026-09-04T14:44:41.348000+00:00,11355,337.1,1293,15,41,337.1,
2026-09-04T14:44:51.409000+00:00,11355,323.3,1293,16,22,323.3,
2026-09-04T14:45:13.495000+00:00,11355,305.6,1293,18,5,305.6,
2026-09-04T14:45:43.078000+00:00,11355,240.9,1293,16,77,240.9,
2026-09-04T14:45:50.151000+00:00,11355,333.9,1293,16,11,333.9,
2026-09-04T14:46:05.718000+00:00,11355,310.6,1293,15,44,310.6,
2026-09-04T14:46:41.786000+00:00,11355,302.9,1293,18,87,302.9,
2026-09-04T14:47:04.597000+00:00,11355,345.7,1293,15,81,345.7,
2026-09-04T14:47:05.737000+00:00,11355,507.2,1293,14,1,507.2,
2026-09-04T14:47:15.106000+00:00,11355,273.6,1293,19,31,273.6,
2026-09-04T14:47:21.944000+00:00,11355,435.7,1293,16,10,435.7,
2026-09-04T14:47:24.216000+00:00,11355,420.8,1293,17,18,420.8,
2026-09-04T14:52:26.566000+00:00,11355,289.9,1293,14,14,289.9,
2026-09-04T14:54:23.756000+00:00,11355,30.7,1293,24,3,30.7,
2026-09-04T14:56:38.725000+00:00,11355,28.1,1293,21,81,28.1,
2026-09-04T14:57:57.582000+00:00,11355,27.9,1293,24,43,27.9,
2026-09-04T14:58:20.267000+00:00,11355,24.7,1293,27,23,24.7,
2026-09-04T14:58:56.044000+00:00,11355,43.7,1293,29,12,43.7,
2026-09-04T14:59:09.135000+00:00,11355,29.5,1293,28,27,29.5,
2026-09-04T14:59:30.731000+00:00,11355,24.2,1293,22,1,24.2,
2026-09-04T14:59:37.801000+00:00,11355,100.8,1293,28,63,100.8,
