position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,13,False,False,False,92.797,0,1294,11364
2,16,13,False,False,False,92.963,0.166,1294,11364
3,81,12,False,False,False,92.986,0.189,1294,11364
4,1,13,False,False,False,93.033,0.236,1294,11364
5,3,9,False,False,False,93.172,0.375,1294,11364
6,63,11,False,False,False,93.499,0.702,1294,11364
7,30,14,False,False,False,93.902,1.105,1294,11364
8,27,14,False,False,False,93.933,1.136,1294,11364
9,44,5,False,False,False,94.284,1.487,1294,11364
10,5,15,False,False,False,94.288,1.491,1294,11364
11,43,14,False,False,False,94.346,1.549,1294,11364
12,31,12,False,False,False,94.43,1.633,1294,11364
13,87,12,False,False,False,94.481,1.684,1294,11364
14,41,7,False,False,False,94.505,1.708,1294,11364
15,22,12,False,False,False,94.565,1.768,1294,11364
16,10,13,False,False,False,94.971,2.174,1294,11364
17,14,17,False,False,False,95.02,2.223,1294,11364
18,55,15,False,False,False,95.464,2.667,1294,11364
19,18,12,False,False,False,95.57,2.773,1294,11364
20,11,13,False,False,False,96.441,3.644,1294,11364
21,77,13,False,False,False,96.67,3.873,1294,11364
22,23,2,False,False,False,,,1294,11364
