date,session_key,meeting_key,position,driver_number
2026-09-12T10:16:02.622000+00:00,11364,1294,1,1
2026-09-12T10:16:02.622000+00:00,11364,1294,2,3
2026-09-12T10:16:02.622000+00:00,11364,1294,3,5
2026-09-12T10:16:02.622000+00:00,11364,1294,4,10
2026-09-12T10:16:02.622000+00:00,11364,1294,5,11
2026-09-12T10:16:02.622000+00:00,11364,1294,6,12
2026-09-12T10:16:02.622000+00:00,11364,1294,7,14
2026-09-12T10:16:02.622000+00:00,11364,1294,8,16
2026-09-12T10:16:02.622000+00:00,11364,1294,9,18
2026-09-12T10:16:02.622000+00:00,11364,1294,10,22
2026-09-12T10:16:02.622000+00:00,11364,1294,11,23
2026-09-12T10:16:02.622000+00:00,11364,1294,12,27
2026-09-12T10:16:02.622000+00:00,11364,1294,13,30
2026-09-12T10:16:02.622000+00:00,11364,1294,14,31
2026-09-12T10:16:02.622000+00:00,11364,1294,15,41
2026-09-12T10:16:02.622000+00:00,11364,1294,16,43
2026-09-12T10:16:02.622000+00:00,11364,1294,17,44
2026-09-12T10:16:02.622000+00:00,11364,1294,18,55
2026-09-12T10:16:02.622000+00:00,11364,1294,19,63
2026-09-12T10:16:02.622000+00:00,11364,1294,20,77
2026-09-12T10:16:02.622000+00:00,11364,1294,21,81
2026-09-12T10:16:02.622000+00:00,11364,1294,22,87
2026-09-12T10:35:13.907000+00:00,11364,1294,2,1
2026-09-12T10:35:13.907000+00:00,11364,1294,3,3
2026-09-12T10:35:13.907000+00:00,11364,1294,1,5
2026-09-12T10:35:58.859000+00:00,11364,1294,3,1
2026-09-12T10:35:58.859000+00:00,11364,1294,4,3
2026-09-12T10:35:58.859000+00:00,11364,1294,5,10
2026-09-12T10:35:58.859000+00:00,11364,1294,6,11
2026-09-12T10:35:58.859000+00:00,11364,1294,7,12
2026-09-12T10:35:58.859000+00:00,11364,1294,8,14
2026-09-12T10:35:58.859000+00:00,11364,1294,9,16
2026-09-12T10:35:58.859000+00:00,11364,1294,10,18
2026-09-12T10:35:58.859000+00:00,11364,1294,11,22
2026-09-12T10:35:58.859000+00:00,11364,1294,12,23
2026-09-12T10:35:58.859000+00:00,11364,1294,2,27
2026-09-12T10:36:31.658000+00:00,11364,1294,4,1
2026-09-12T10:36:31.658000+00:00,11364,1294,5,3
2026-09-12T10:36:31.658000+00:00,11364,1294,6,10
2026-09-12T10:36:31.658000+00:00,11364,1294,7,11
2026-09-12T10:36:31.658000+00:00,11364,1294,8,12
2026-09-12T10:36:31.658000+00:00,11364,1294,9,14
2026-09-12T10:36:31.658000+00:00,11364,1294,10,16
2026-09-12T10:36:31.658000+00:00,11364,1294,11,18
2026-09-12T10:36:31.658000+00:00,11364,1294,12,22
2026-09-12T10:36:31.658000+00:00,11364,1294,13,23
2026-09-12T10:36:31.658000+00:00,11364,1294,14,30
2026-09-12T10:36:31.658000+00:00,11364,1294,15,31
2026-09-12T10:36:31.658000+00:00,11364,1294,16,41
2026-09-12T10:36:31.658000+00:00,11364,1294,17,43
2026-09-12T10:36:31.658000+00:00,11364,1294,18,44
2026-09-12T10:36:31.658000+00:00,11364,1294,19,55
2026-09-12T10:36:31.658000+00:00,11364,1294,20,63
2026-09-12T10:36:31.658000+00:00,11364,1294,3,77
2026-09-12T10:36:41.123000+00:00,11364,1294,5,1
2026-09-12T10:36:41.123000+00:00,11364,1294,6,3
2026-09-12T10:36:41.123000+00:00,11364,1294,7,10
2026-09-12T10:36:41.123000+00:00,11364,1294,8,11
2026-09-12T10:36:41.123000+00:00,11364,1294,9,12
2026-09-12T10:36:41.123000+00:00,11364,1294,10,14
2026-09-12T10:36:41.123000+00:00,11364,1294,11,16
2026-09-12T10:36:41.123000+00:00,11364,1294,12,18
2026-09-12T10:36:41.123000+00:00,11364,1294,13,22
2026-09-12T10:36:41.123000+00:00,11364,1294,14,23
2026-09-12T10:36:41.123000+00:00,11364,1294,15,30
2026-09-12T10:36:41.123000+00:00,11364,1294,16,31
2026-09-12T10:36:41.123000+00:00,11364,1294,17,41
2026-09-12T10:36:41.123000+00:00,11364,1294,4,43
2026-09-12T10:37:08.765000+00:00,11364,1294,6,1
2026-09-12T10:37:08.765000+00:00,11364,1294,7,3
2026-09-12T10:37:08.765000+00:00,11364,1294,8,10
2026-09-12T10:37:08.765000+00:00,11364,1294,9,11
2026-09-12T10:37:08.765000+00:00,11364,1294,10,12
2026-09-12T10:37:08.765000+00:00,11364,1294,5,14
2026-09-12T10:37:35.073000+00:00,11364,1294,7,1
2026-09-12T10:37:35.073000+00:00,11364,1294,8,3
2026-09-12T10:37:35.073000+00:00,11364,1294,9,10
2026-09-12T10:37:35.073000+00:00,11364,1294,10,11
2026-09-12T10:37:35.073000+00:00,11364,1294,11,12
2026-09-12T10:37:35.073000+00:00,11364,1294,12,16
2026-09-12T10:37:35.073000+00:00,11364,1294,6,18
2026-09-12T10:37:53.795000+00:00,11364,1294,8,1
2026-09-12T10:37:53.795000+00:00,11364,1294,9,3
2026-09-12T10:37:53.795000+00:00,11364,1294,10,10
2026-09-12T10:37:53.795000+00:00,11364,1294,11,11
2026-09-12T10:37:53.795000+00:00,11364,1294,12,12
2026-09-12T10:37:53.795000+00:00,11364,1294,13,16
2026-09-12T10:37:53.795000+00:00,11364,1294,14,22
2026-09-12T10:37:53.795000+00:00,11364,1294,15,23
2026-09-12T10:37:53.795000+00:00,11364,1294,16,30
2026-09-12T10:37:53.795000+00:00,11364,1294,17,31
2026-09-12T10:37:53.795000+00:00,11364,1294,18,41
2026-09-12T10:37:53.795000+00:00,11364,1294,19,44
2026-09-12T10:37:53.795000+00:00,11364,1294,7,55
2026-09-12T10:38:00.581000+00:00,11364,1294,9,1
2026-09-12T10:38:00.581000+00:00,11364,1294,10,3
2026-09-12T10:38:00.581000+00:00,11364,1294,11,10
2026-09-12T10:38:00.581000+00:00,11364,1294,12,11
2026-09-12T10:38:00.581000+00:00,11364,1294,13,12
2026-09-12T10:38:00.581000+00:00,11364,1294,14,16
2026-09-12T10:38:00.581000+00:00,11364,1294,15,22
2026-09-12T10:38:00.581000+00:00,11364,1294,8,23
2026-09-12T10:39:03.130000+00:00,11364,1294,10,1
2026-09-12T10:39:03.130000+00:00,11364,1294,11,3
2026-09-12T10:39:03.130000+00:00,11364,1294,12,10
2026-09-12T10:39:03.130000+00:00,11364,1294,9,11
2026-09-12T10:39:14.261000+00:00,11364,1294,2,5
2026-09-12T10:39:14.261000+00:00,11364,1294,1,27
2026-09-12T10:40:13.824000+00:00,11364,1294,11,1
2026-09-12T10:40:13.824000+00:00,11364,1294,12,3
2026-09-12T10:40:13.824000+00:00,11364,1294,13,10
2026-09-12T10:40:13.824000+00:00,11364,1294,14,12
2026-09-12T10:40:13.824000+00:00,11364,1294,15,16
2026-09-12T10:40:13.824000+00:00,11364,1294,16,22
2026-09-12T10:40:13.824000+00:00,11364,1294,10,30
2026-09-12T10:40:15.584000+00:00,11364,1294,3,43
2026-09-12T10:40:15.584000+00:00,11364,1294,4,77
2026-09-12T10:40:25.817000+00:00,11364,1294,4,14
2026-09-12T10:40:25.817000+00:00,11364,1294,5,77
2026-09-12T10:40:53.667000+00:00,11364,1294,5,14
2026-09-12T10:40:53.667000+00:00,11364,1294,3,18
2026-09-12T10:40:53.667000+00:00,11364,1294,4,43
2026-09-12T10:40:53.667000+00:00,11364,1294,6,77
2026-09-12T10:41:10.894000+00:00,11364,1294,6,14
2026-09-12T10:41:10.894000+00:00,11364,1294,5,55
2026-09-12T10:41:10.894000+00:00,11364,1294,7,77
2026-09-12T10:42:27.740000+00:00,11364,1294,7,11
2026-09-12T10:42:27.740000+00:00,11364,1294,9,23
2026-09-12T10:42:27.740000+00:00,11364,1294,8,77
2026-09-12T10:42:37.836000+00:00,11364,1294,13,3
2026-09-12T10:42:37.836000+00:00,11364,1294,14,10
2026-09-12T10:42:37.836000+00:00,11364,1294,15,12
2026-09-12T10:42:37.836000+00:00,11364,1294,12,16
2026-09-12T10:42:51.435000+00:00,11364,1294,14,3
2026-09-12T10:42:51.435000+00:00,11364,1294,15,10
2026-09-12T10:42:51.435000+00:00,11364,1294,16,12
2026-09-12T10:42:51.435000+00:00,11364,1294,17,22
2026-09-12T10:42:51.435000+00:00,11364,1294,18,31
2026-09-12T10:42:51.435000+00:00,11364,1294,19,41
2026-09-12T10:42:51.435000+00:00,11364,1294,13,44
2026-09-12T10:42:57.308000+00:00,11364,1294,15,3
2026-09-12T10:42:57.308000+00:00,11364,1294,16,10
2026-09-12T10:42:57.308000+00:00,11364,1294,17,12
2026-09-12T10:42:57.308000+00:00,11364,1294,14,22
2026-09-12T10:43:02.490000+00:00,11364,1294,16,3
2026-09-12T10:43:02.490000+00:00,11364,1294,15,10
2026-09-12T10:43:10.673000+00:00,11364,1294,17,3
2026-09-12T10:43:10.673000+00:00,11364,1294,16,12
2026-09-12T10:43:16.082000+00:00,11364,1294,18,3
2026-09-12T10:43:16.082000+00:00,11364,1294,17,31
2026-09-12T10:43:21.127000+00:00,11364,1294,19,3
2026-09-12T10:43:21.127000+00:00,11364,1294,20,41
2026-09-12T10:43:21.127000+00:00,11364,1294,21,63
2026-09-12T10:43:21.127000+00:00,11364,1294,22,81
2026-09-12T10:43:21.127000+00:00,11364,1294,18,87
2026-09-12T10:43:35.778000+00:00,11364,1294,3,5
2026-09-12T10:43:35.778000+00:00,11364,1294,8,11
2026-09-12T10:43:35.778000+00:00,11364,1294,7,14
2026-09-12T10:43:35.778000+00:00,11364,1294,4,18
2026-09-12T10:43:35.778000+00:00,11364,1294,10,23
2026-09-12T10:43:35.778000+00:00,11364,1294,2,30
2026-09-12T10:43:35.778000+00:00,11364,1294,5,43
2026-09-12T10:43:35.778000+00:00,11364,1294,6,55
2026-09-12T10:43:35.778000+00:00,11364,1294,9,77
2026-09-12T10:44:04.270000+00:00,11364,1294,20,3
2026-09-12T10:44:04.270000+00:00,11364,1294,21,41
2026-09-12T10:44:04.270000+00:00,11364,1294,22,63
2026-09-12T10:44:04.270000+00:00,11364,1294,19,81
2026-09-12T10:44:04.771000+00:00,11364,1294,4,5
2026-09-12T10:44:04.771000+00:00,11364,1294,3,14
2026-09-12T10:44:04.771000+00:00,11364,1294,5,18
2026-09-12T10:44:04.771000+00:00,11364,1294,6,43
2026-09-12T10:44:04.771000+00:00,11364,1294,7,55
2026-09-12T10:44:17.391000+00:00,11364,1294,21,3
2026-09-12T10:44:17.391000+00:00,11364,1294,22,41
2026-09-12T10:44:17.391000+00:00,11364,1294,20,63
2026-09-12T10:44:34.541000+00:00,11364,1294,2,5
2026-09-12T10:44:34.541000+00:00,11364,1294,4,14
2026-09-12T10:44:34.541000+00:00,11364,1294,3,30
2026-09-12T10:45:50.303000+00:00,11364,1294,10,1
2026-09-12T10:45:50.303000+00:00,11364,1294,11,23
2026-09-12T10:46:00.954000+00:00,11364,1294,11,1
2026-09-12T10:46:00.954000+00:00,11364,1294,3,5
2026-09-12T10:46:00.954000+00:00,11364,1294,9,11
2026-09-12T10:46:00.954000+00:00,11364,1294,5,14
2026-09-12T10:46:00.954000+00:00,11364,1294,1,16
2026-09-12T10:46:00.954000+00:00,11364,1294,6,18
2026-09-12T10:46:00.954000+00:00,11364,1294,12,23
2026-09-12T10:46:00.954000+00:00,11364,1294,2,27
2026-09-12T10:46:00.954000+00:00,11364,1294,4,30
2026-09-12T10:46:00.954000+00:00,11364,1294,7,43
2026-09-12T10:46:00.954000+00:00,11364,1294,8,55
2026-09-12T10:46:00.954000+00:00,11364,1294,10,77
2026-09-12T10:46:16.105000+00:00,11364,1294,12,1
2026-09-12T10:46:16.105000+00:00,11364,1294,4,5
2026-09-12T10:46:16.105000+00:00,11364,1294,10,11
2026-09-12T10:46:16.105000+00:00,11364,1294,6,14
2026-09-12T10:46:16.105000+00:00,11364,1294,2,16
2026-09-12T10:46:16.105000+00:00,11364,1294,7,18
2026-09-12T10:46:16.105000+00:00,11364,1294,13,23
2026-09-12T10:46:16.105000+00:00,11364,1294,3,27
2026-09-12T10:46:16.105000+00:00,11364,1294,5,30
2026-09-12T10:46:16.105000+00:00,11364,1294,8,43
2026-09-12T10:46:16.105000+00:00,11364,1294,1,44
2026-09-12T10:46:16.105000+00:00,11364,1294,9,55
2026-09-12T10:46:16.105000+00:00,11364,1294,11,77
2026-09-12T10:46:25.398000+00:00,11364,1294,13,1
2026-09-12T10:46:25.398000+00:00,11364,1294,5,5
2026-09-12T10:46:25.398000+00:00,11364,1294,11,11
2026-09-12T10:46:25.398000+00:00,11364,1294,7,14
2026-09-12T10:46:25.398000+00:00,11364,1294,8,18
2026-09-12T10:46:25.398000+00:00,11364,1294,4,22
2026-09-12T10:46:25.398000+00:00,11364,1294,14,23
2026-09-12T10:46:25.398000+00:00,11364,1294,6,30
2026-09-12T10:46:25.398000+00:00,11364,1294,9,43
2026-09-12T10:46:25.398000+00:00,11364,1294,10,55
2026-09-12T10:46:25.398000+00:00,11364,1294,12,77
2026-09-12T10:46:39.633000+00:00,11364,1294,12,11
2026-09-12T10:46:39.633000+00:00,11364,1294,10,43
2026-09-12T10:46:39.633000+00:00,11364,1294,11,55
2026-09-12T10:46:39.633000+00:00,11364,1294,9,77
2026-09-12T10:46:50.504000+00:00,11364,1294,15,1
2026-09-12T10:46:50.504000+00:00,11364,1294,6,5
2026-09-12T10:46:50.504000+00:00,11364,1294,16,10
2026-09-12T10:46:50.504000+00:00,11364,1294,13,11
2026-09-12T10:46:50.504000+00:00,11364,1294,17,12
2026-09-12T10:46:50.504000+00:00,11364,1294,8,14
2026-09-12T10:46:50.504000+00:00,11364,1294,9,18
2026-09-12T10:46:50.504000+00:00,11364,1294,5,22
2026-09-12T10:46:50.504000+00:00,11364,1294,7,30
2026-09-12T10:46:50.504000+00:00,11364,1294,4,31
2026-09-12T10:46:50.504000+00:00,11364,1294,11,43
2026-09-12T10:46:50.504000+00:00,11364,1294,12,55
2026-09-12T10:46:50.504000+00:00,11364,1294,10,77
2026-09-12T10:46:53.898000+00:00,11364,1294,16,1
2026-09-12T10:46:53.898000+00:00,11364,1294,7,5
2026-09-12T10:46:53.898000+00:00,11364,1294,17,10
