date,session_key,meeting_key,driver_number,position
2026-07-05T13:08:23.290000+00:00,11326,1289,12,1
2026-07-05T13:08:23.290000+00:00,11326,1289,16,2
2026-07-05T13:08:23.290000+00:00,11326,1289,44,3
2026-07-05T13:08:23.290000+00:00,11326,1289,63,4
2026-07-05T13:08:23.290000+00:00,11326,1289,6,5
2026-07-05T13:08:23.290000+00:00,11326,1289,1,6
2026-07-05T13:08:23.290000+00:00,11326,1289,3,7
2026-07-05T13:08:23.290000+00:00,11326,1289,81,8
2026-07-05T13:08:23.290000+00:00,11326,1289,41,9
2026-07-05T13:08:23.290000+00:00,11326,1289,30,10
2026-07-05T13:08:23.290000+00:00,11326,1289,5,11
2026-07-05T13:08:23.290000+00:00,11326,1289,27,12
2026-07-05T13:08:23.290000+00:00,11326,1289,87,13
2026-07-05T13:08:23.290000+00:00,11326,1289,55,14
2026-07-05T13:08:23.290000+00:00,11326,1289,10,15
2026-07-05T13:08:23.290000+00:00,11326,1289,23,16
2026-07-05T13:08:23.290000+00:00,11326,1289,31,17
2026-07-05T13:08:23.290000+00:00,11326,1289,77,18
2026-07-05T13:08:23.290000+00:00,11326,1289,43,19
2026-07-05T13:08:23.290000+00:00,11326,1289,11,20
2026-07-05T13:08:23.290000+00:00,11326,1289,14,21
2026-07-05T13:08:23.290000+00:00,11326,1289,18,22
2026-07-05T14:04:05.059000+00:00,11326,1289,12,2
2026-07-05T14:04:05.059000+00:00,11326,1289,16,1
2026-07-05T14:04:05.393000+00:00,11326,1289,12,3
2026-07-05T14:04:05.393000+00:00,11326,1289,44,2
2026-07-05T14:04:06.354000+00:00,11326,1289,1,7
2026-07-05T14:04:06.354000+00:00,11326,1289,3,6
2026-07-05T14:04:06.438000+00:00,11326,1289,1,8
2026-07-05T14:04:06.438000+00:00,11326,1289,81,9
2026-07-05T14:04:06.438000+00:00,11326,1289,41,7
2026-07-05T14:04:06.874000+00:00,11326,1289,1,9
2026-07-05T14:04:06.874000+00:00,11326,1289,81,8
2026-07-05T14:04:07.268000+00:00,11326,1289,5,12
2026-07-05T14:04:07.268000+00:00,11326,1289,27,13
2026-07-05T14:04:07.268000+00:00,11326,1289,87,14
2026-07-05T14:04:07.268000+00:00,11326,1289,55,11
2026-07-05T14:04:07.425000+00:00,11326,1289,27,14
2026-07-05T14:04:07.425000+00:00,11326,1289,87,15
2026-07-05T14:04:07.425000+00:00,11326,1289,10,13
2026-07-05T14:04:07.670000+00:00,11326,1289,27,15
2026-07-05T14:04:07.670000+00:00,11326,1289,87,16
2026-07-05T14:04:07.670000+00:00,11326,1289,23,17
2026-07-05T14:04:07.670000+00:00,11326,1289,31,14
2026-07-05T14:04:07.815000+00:00,11326,1289,87,17
2026-07-05T14:04:07.815000+00:00,11326,1289,23,18
2026-07-05T14:04:07.815000+00:00,11326,1289,77,19
2026-07-05T14:04:07.815000+00:00,11326,1289,43,16
2026-07-05T14:04:08.280000+00:00,11326,1289,23,19
2026-07-05T14:04:08.280000+00:00,11326,1289,77,20
2026-07-05T14:04:08.280000+00:00,11326,1289,11,18
2026-07-05T14:04:08.794000+00:00,11326,1289,14,22
2026-07-05T14:04:08.794000+00:00,11326,1289,18,21
2026-07-05T14:04:11.220000+00:00,11326,1289,5,11
2026-07-05T14:04:11.220000+00:00,11326,1289,55,12
2026-07-05T14:04:14.548000+00:00,11326,1289,1,8
