date,session_key,driver_number,position,meeting_key
2026-06-12T15:00:23.015000+00:00,11301,16,14,1287
2026-06-12T15:00:23.015000+00:00,11301,18,15,1287
2026-06-12T15:00:23.015000+00:00,11301,23,16,1287
2026-06-12T15:00:23.015000+00:00,11301,30,17,1287
2026-06-12T15:00:23.015000+00:00,11301,41,18,1287
2026-06-12T15:00:23.015000+00:00,11301,44,8,1287
2026-06-12T15:00:28.702000+00:00,11301,1,10,1287
2026-06-12T15:00:28.702000+00:00,11301,3,11,1287
2026-06-12T15:00:28.702000+00:00,11301,6,12,1287
2026-06-12T15:00:28.702000+00:00,11301,12,13,1287
2026-06-12T15:00:28.702000+00:00,11301,14,14,1287
2026-06-12T15:00:28.702000+00:00,11301,16,15,1287
2026-06-12T15:00:28.702000+00:00,11301,18,16,1287
2026-06-12T15:00:28.702000+00:00,11301,23,9,1287
2026-06-12T15:01:13.252000+00:00,11301,1,11,1287
2026-06-12T15:01:13.252000+00:00,11301,3,12,1287
2026-06-12T15:01:13.252000+00:00,11301,6,13,1287
2026-06-12T15:01:13.252000+00:00,11301,12,14,1287
2026-06-12T15:01:13.252000+00:00,11301,14,15,1287
2026-06-12T15:01:13.252000+00:00,11301,16,10,1287
2026-06-12T15:01:19.627000+00:00,11301,1,12,1287
2026-06-12T15:01:19.627000+00:00,11301,3,11,1287
2026-06-12T15:01:27.377000+00:00,11301,1,13,1287
2026-06-12T15:01:27.377000+00:00,11301,6,12,1287
2026-06-12T15:01:52.939000+00:00,11301,1,14,1287
2026-06-12T15:01:52.939000+00:00,11301,12,13,1287
2026-06-12T15:03:13.538000+00:00,11301,11,2,1287
2026-06-12T15:03:13.538000+00:00,11301,27,3,1287
2026-06-12T15:03:13.538000+00:00,11301,87,1,1287
2026-06-12T15:03:24.221000+00:00,11301,5,5,1287
2026-06-12T15:03:24.221000+00:00,11301,10,2,1287
2026-06-12T15:03:24.221000+00:00,11301,11,3,1287
2026-06-12T15:03:24.221000+00:00,11301,27,4,1287
2026-06-12T15:03:27.483000+00:00,11301,5,6,1287
2026-06-12T15:03:27.483000+00:00,11301,10,3,1287
2026-06-12T15:03:27.483000+00:00,11301,11,4,1287
2026-06-12T15:03:27.483000+00:00,11301,27,5,1287
2026-06-12T15:03:27.483000+00:00,11301,31,1,1287
2026-06-12T15:03:27.483000+00:00,11301,87,2,1287
2026-06-12T15:03:33.505000+00:00,11301,11,5,1287
2026-06-12T15:03:33.505000+00:00,11301,27,4,1287
2026-06-12T15:03:41.113000+00:00,11301,5,7,1287
2026-06-12T15:03:41.113000+00:00,11301,10,4,1287
2026-06-12T15:03:41.113000+00:00,11301,11,6,1287
2026-06-12T15:03:41.113000+00:00,11301,27,5,1287
2026-06-12T15:03:41.113000+00:00,11301,31,2,1287
2026-06-12T15:03:41.113000+00:00,11301,43,1,1287
2026-06-12T15:03:41.113000+00:00,11301,87,3,1287
2026-06-12T15:03:46.177000+00:00,11301,5,8,1287
2026-06-12T15:03:46.177000+00:00,11301,10,5,1287
2026-06-12T15:03:46.177000+00:00,11301,11,7,1287
2026-06-12T15:03:46.177000+00:00,11301,27,6,1287
2026-06-12T15:03:46.177000+00:00,11301,31,3,1287
2026-06-12T15:03:46.177000+00:00,11301,44,2,1287
2026-06-12T15:03:46.177000+00:00,11301,87,4,1287
2026-06-12T15:03:53.820000+00:00,11301,5,2,1287
2026-06-12T15:03:53.820000+00:00,11301,10,6,1287
2026-06-12T15:03:53.820000+00:00,11301,11,8,1287
2026-06-12T15:03:53.820000+00:00,11301,27,7,1287
2026-06-12T15:03:53.820000+00:00,11301,31,4,1287
2026-06-12T15:03:53.820000+00:00,11301,44,3,1287
2026-06-12T15:03:53.820000+00:00,11301,87,5,1287
2026-06-12T15:03:59.255000+00:00,11301,11,9,1287
2026-06-12T15:03:59.255000+00:00,11301,23,8,1287
2026-06-12T15:04:08.340000+00:00,11301,3,1,1287
2026-06-12T15:04:08.340000+00:00,11301,5,3,1287
2026-06-12T15:04:08.340000+00:00,11301,10,7,1287
2026-06-12T15:04:08.340000+00:00,11301,11,10,1287
2026-06-12T15:04:08.340000+00:00,11301,16,11,1287
2026-06-12T15:04:08.340000+00:00,11301,23,9,1287
2026-06-12T15:04:08.340000+00:00,11301,27,8,1287
2026-06-12T15:04:08.340000+00:00,11301,31,5,1287
2026-06-12T15:04:08.340000+00:00,11301,43,2,1287
2026-06-12T15:04:08.340000+00:00,11301,44,4,1287
2026-06-12T15:04:08.340000+00:00,11301,87,6,1287
2026-06-12T15:04:15.349000+00:00,11301,5,4,1287
2026-06-12T15:04:15.349000+00:00,11301,10,8,1287
2026-06-12T15:04:15.349000+00:00,11301,11,11,1287
2026-06-12T15:04:15.349000+00:00,11301,16,2,1287
2026-06-12T15:04:15.349000+00:00,11301,23,10,1287
2026-06-12T15:04:15.349000+00:00,11301,27,9,1287
2026-06-12T15:04:15.349000+00:00,11301,31,6,1287
2026-06-12T15:04:15.349000+00:00,11301,43,3,1287
2026-06-12T15:04:15.349000+00:00,11301,44,5,1287
2026-06-12T15:04:15.349000+00:00,11301,87,7,1287
2026-06-12T15:04:17.388000+00:00,11301,30,18,1287
2026-06-12T15:04:17.388000+00:00,11301,41,19,1287
2026-06-12T15:04:17.388000+00:00,11301,55,20,1287
2026-06-12T15:04:17.388000+00:00,11301,63,21,1287
2026-06-12T15:04:17.388000+00:00,11301,77,22,1287
2026-06-12T15:04:17.388000+00:00,11301,81,17,1287
2026-06-12T15:04:25.791000+00:00,11301,6,9,1287
2026-06-12T15:04:25.791000+00:00,11301,11,12,1287
2026-06-12T15:04:25.791000+00:00,11301,23,11,1287
2026-06-12T15:04:25.791000+00:00,11301,27,10,1287
2026-06-12T15:04:34.179000+00:00,11301,30,19,1287
2026-06-12T15:04:34.179000+00:00,11301,41,18,1287
2026-06-12T15:05:19.892000+00:00,11301,5,5,1287
2026-06-12T15:05:19.892000+00:00,11301,6,10,1287
2026-06-12T15:05:19.892000+00:00,11301,10,9,1287
2026-06-12T15:05:19.892000+00:00,11301,11,13,1287
2026-06-12T15:05:19.892000+00:00,11301,12,3,1287
2026-06-12T15:05:19.892000+00:00,11301,23,12,1287
2026-06-12T15:05:19.892000+00:00,11301,27,11,1287
2026-06-12T15:05:19.892000+00:00,11301,31,7,1287
2026-06-12T15:05:19.892000+00:00,11301,43,4,1287
2026-06-12T15:05:19.892000+00:00,11301,44,6,1287
2026-06-12T15:05:19.892000+00:00,11301,87,8,1287
2026-06-12T15:05:28.627000+00:00,11301,1,3,1287
2026-06-12T15:05:28.627000+00:00,11301,5,6,1287
2026-06-12T15:05:28.627000+00:00,11301,6,11,1287
2026-06-12T15:05:28.627000+00:00,11301,10,10,1287
2026-06-12T15:05:28.627000+00:00,11301,11,14,1287
2026-06-12T15:05:28.627000+00:00,11301,12,4,1287
2026-06-12T15:05:28.627000+00:00,11301,23,13,1287
2026-06-12T15:05:28.627000+00:00,11301,27,12,1287
2026-06-12T15:05:28.627000+00:00,11301,31,8,1287
