position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,30,False,False,False,75.426,0,1287,11301
2,63,28,False,False,False,75.435,0.009,1287,11301
3,81,24,False,False,False,75.483,0.057,1287,11301
4,16,29,False,False,False,75.799,0.373,1287,11301
5,12,31,False,False,False,76.015,0.589,1287,11301
6,3,33,False,False,False,76.321,0.895,1287,11301
7,41,29,False,False,False,76.411,0.985,1287,11301
8,5,27,False,False,False,76.611,1.185,1287,11301
9,44,28,False,False,False,76.631,1.205,1287,11301
10,6,30,False,False,False,76.674,1.248,1287,11301
11,27,31,False,False,False,76.934,1.508,1287,11301
12,87,31,False,False,False,76.945,1.519,1287,11301
13,30,8,False,False,False,76.967,1.541,1287,11301
14,55,29,False,False,False,77.02,1.594,1287,11301
15,43,30,False,False,False,77.051,1.625,1287,11301
16,10,29,False,False,False,77.26,1.834,1287,11301
17,31,29,False,False,False,77.538,2.112,1287,11301
18,77,6,False,False,False,78.225,2.799,1287,11301
19,23,29,False,False,False,78.79,3.364,1287,11301
20,11,34,False,False,False,79.261,3.835,1287,11301
21,14,21,False,False,False,79.286,3.86,1287,11301
22,18,20,False,False,False,79.459,4.033,1287,11301
