date,session_key,pressure,wind_direction,air_temperature,track_temperature,wind_speed,rainfall,meeting_key,humidity
2026-06-12T15:47:16.052000+00:00,11301,1009.1,112,29.1,45.4,2.1,0,1287,33.9
2026-06-12T15:48:16.063000+00:00,11301,1009.1,85,29.1,45.1,3.3,0,1287,34.1
2026-06-12T15:49:16.066000+00:00,11301,1009.1,103,29.1,45.8,1.8,0,1287,34.0
2026-06-12T15:50:16.066000+00:00,11301,1009.2,59,29.1,46.3,1.5,0,1287,34.1
2026-06-12T15:51:16.075000+00:00,11301,1009.2,59,29.5,46.3,1.5,0,1287,34.1
2026-06-12T15:52:16.065000+00:00,11301,1009.2,105,29.1,45.3,2.0,0,1287,34.1
2026-06-12T15:53:16.080000+00:00,11301,1009.2,98,29.1,45.9,1.5,0,1287,34.2
2026-06-12T15:54:16.071000+00:00,11301,1009.2,98,30.4,45.9,1.5,0,1287,34.2
2026-06-12T15:55:16.093000+00:00,11301,1009.3,92,29.2,45.7,1.6,0,1287,34.0
2026-06-12T15:56:16.103000+00:00,11301,1009.2,244,29.2,46.3,0.4,0,1287,33.8
2026-06-12T15:57:16.130000+00:00,11301,1009.2,149,29.1,44.6,2.9,0,1287,34.0
2026-06-12T15:58:16.122000+00:00,11301,1009.1,88,29.0,45.7,1.1,0,1287,34.3
2026-06-12T15:59:16.119000+00:00,11301,1009.2,94,28.9,44.4,2.4,0,1287,33.4
2026-06-12T16:00:16.136000+00:00,11301,1009.2,111,28.8,44.9,1.7,0,1287,33.8
2026-06-12T16:01:16.133000+00:00,11301,1009.1,100,28.8,45.3,1.9,0,1287,34.2
2026-06-12T16:02:16.131000+00:00,11301,1009.2,125,29.0,44.7,2.0,0,1287,33.7
2026-06-12T16:03:16.135000+00:00,11301,1009.2,125,29.0,45.3,2.7,0,1287,33.8
2026-06-12T16:04:16.123000+00:00,11301,1009.2,125,28.9,44.7,2.1,0,1287,34.1
2026-06-12T16:05:16.146000+00:00,11301,1009.2,160,28.7,44.3,3.1,0,1287,34.0
2026-06-12T16:06:16.124000+00:00,11301,1009.2,70,28.7,45.5,1.2,0,1287,34.3
2026-06-12T16:07:16.134000+00:00,11301,1009.3,114,28.7,45.5,1.3,0,1287,34.1
2026-06-12T16:08:16.132000+00:00,11301,1009.1,75,28.8,45.3,1.8,0,1287,33.5
2026-06-12T16:09:16.134000+00:00,11301,1009.3,129,28.9,45.3,0.7,0,1287,33.5
2026-06-12T16:10:16.128000+00:00,11301,1009.2,133,29.0,44.9,2.5,0,1287,33.5
