position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,31,False,False,False,82.559,0,1293,11355
2,16,29,False,False,False,82.679,0.12,1293,11355
3,12,32,False,False,False,82.7,0.141,1293,11355
4,1,25,False,False,False,82.943,0.384,1293,11355
5,44,27,False,False,False,83.016,0.457,1293,11355
6,81,26,False,False,False,83.028,0.469,1293,11355
7,41,26,False,False,False,83.349,0.79,1293,11355
8,87,29,False,False,False,83.37,0.811,1293,11355
9,3,30,False,False,False,83.377,0.818,1293,11355
10,22,29,False,False,False,83.455,0.896,1293,11355
11,43,28,False,False,False,83.619,1.06,1293,11355
12,30,37,False,False,False,83.66,1.101,1293,11355
13,27,28,False,False,False,83.732,1.173,1293,11355
14,10,27,False,False,False,83.773,1.214,1293,11355
15,5,22,False,False,False,83.776,1.217,1293,11355
16,23,31,False,False,False,83.853,1.294,1293,11355
17,55,30,False,False,False,83.9,1.341,1293,11355
18,31,30,False,False,False,84.407,1.848,1293,11355
19,14,18,False,False,False,85.027,2.468,1293,11355
20,11,28,False,False,False,85.082,2.523,1293,11355
21,77,28,False,False,False,85.149,2.59,1293,11355
22,18,27,False,False,False,85.253,2.694,1293,11355
