date,session_key,driver_number,stop_duration,meeting_key,pit_duration,lap_number,lane_duration
2026-06-26T15:43:49.374000+00:00,11309,27,,1288,349.3,17,349.3
2026-06-26T15:43:53.207000+00:00,11309,87,,1288,279.3,18,279.3
2026-06-26T15:44:33.835000+00:00,11309,30,,1288,355.8,19,355.8
2026-06-26T15:44:35.266000+00:00,11309,81,,1288,364.4,17,364.4
2026-06-26T15:44:48.034000+00:00,11309,23,,1288,26.6,19,26.6
2026-06-26T15:45:04.088000+00:00,11309,44,,1288,323.7,20,323.7
2026-06-26T15:45:22.386000+00:00,11309,1,,1288,311.8,18,311.8
2026-06-26T15:46:59.273000+00:00,11309,31,,1288,240.8,20,240.8
2026-06-26T15:47:18.222000+00:00,11309,3,,1288,271.5,16,271.5
2026-06-26T15:47:39.515000+00:00,11309,12,,1288,325.3,20,325.3
2026-06-26T15:47:42.687000+00:00,11309,43,,1288,236.4,17,236.4
2026-06-26T15:48:59.507000+00:00,11309,16,,1288,317.5,23,317.5
2026-06-26T15:49:11.343000+00:00,11309,55,,1288,259.4,19,259.4
2026-06-26T15:49:22.451000+00:00,11309,5,,1288,321.7,19,321.7
2026-06-26T15:50:20.540000+00:00,11309,14,,1288,461.5,17,461.5
2026-06-26T15:50:30.408000+00:00,11309,63,,1288,407.1,15,407.1
2026-06-26T15:50:36.657000+00:00,11309,18,,1288,239.3,22,239.3
2026-06-26T15:51:33.025000+00:00,11309,6,,1288,447.2,19,447.2
2026-06-26T15:56:18.117000+00:00,11309,27,,1288,22.8,27,22.8
2026-06-26T15:56:29.333000+00:00,11309,87,,1288,24.4,28,24.4
2026-06-26T15:58:30.879000+00:00,11309,44,,1288,143.7,29,143.7
2026-06-26T15:58:59.430000+00:00,11309,1,,1288,24.3,29,24.3
2026-06-26T15:59:04.398000+00:00,11309,12,,1288,23.7,29,23.7
2026-06-26T15:59:21.267000+00:00,11309,63,,1288,22.3,22,22.3
2026-06-26T15:59:33.977000+00:00,11309,81,,1288,22.1,29,22.1
