date,session_key,humidity,wind_speed,wind_direction,meeting_key,rainfall,track_temperature,air_temperature,pressure
2026-06-26T14:47:35.631000+00:00,11309,26.6,0.5,233,1288,0,49.3,31.9,942.2
2026-06-26T14:48:35.623000+00:00,11309,27.1,1.3,51,1288,0,49.8,32.0,942.3
2026-06-26T14:49:35.625000+00:00,11309,26.6,1.8,71,1288,0,49.6,32.0,942.4
2026-06-26T14:50:35.621000+00:00,11309,26.8,2.1,51,1288,0,49.6,31.9,942.3
2026-06-26T14:51:35.617000+00:00,11309,27.0,3.1,93,1288,0,49.4,31.8,942.3
2026-06-26T14:52:35.623000+00:00,11309,26.2,1.7,85,1288,0,49.6,31.7,942.3
2026-06-26T14:53:35.623000+00:00,11309,26.7,0.7,142,1288,0,48.3,31.6,942.3
2026-06-26T14:54:35.624000+00:00,11309,26.8,0.8,324,1288,0,49.1,31.6,942.3
2026-06-26T14:55:35.624000+00:00,11309,26.6,1.7,116,1288,0,48.4,31.7,942.3
2026-06-26T14:56:35.624000+00:00,11309,27.0,0.9,120,1288,0,48.9,31.7,942.3
2026-06-26T14:57:35.624000+00:00,11309,27.0,0.7,92,1288,0,49.4,31.7,942.3
2026-06-26T14:58:35.643000+00:00,11309,26.8,1.3,100,1288,0,48.9,31.7,942.3
2026-06-26T14:59:35.628000+00:00,11309,26.5,0.4,62,1288,0,49.1,31.7,942.3
2026-06-26T15:00:35.625000+00:00,11309,26.1,1.7,102,1288,0,48.8,31.8,942.4
2026-06-26T15:01:35.633000+00:00,11309,26.2,1.3,109,1288,0,48.2,31.8,942.3
2026-06-26T15:02:35.626000+00:00,11309,27.0,2.6,121,1288,0,48.2,31.8,942.2
2026-06-26T15:03:35.630000+00:00,11309,26.8,1.3,93,1288,0,49.0,31.8,942.4
2026-06-26T15:04:35.627000+00:00,11309,26.7,1.6,122,1288,0,48.6,31.9,942.3
2026-06-26T15:05:35.627000+00:00,11309,27.0,0.8,93,1288,0,48.6,31.9,942.3
2026-06-26T15:06:35.682000+00:00,11309,26.6,1.6,104,1288,0,48.8,32.0,942.3
2026-06-26T15:07:35.669000+00:00,11309,26.8,0.0,0,1288,0,49.2,32.0,942.3
2026-06-26T15:08:35.652000+00:00,11309,26.1,0.5,92,1288,0,49.0,32.2,942.3
2026-06-26T15:09:35.641000+00:00,11309,26.1,0.5,92,1288,0,49.0,31.3,942.3
2026-06-26T15:10:35.669000+00:00,11309,26.1,0.5,92,1288,0,49.0,32.4,942.3
2026-06-26T15:11:35.663000+00:00,11309,25.9,2.1,6,1288,0,48.0,32.2,942.2
2026-06-26T15:12:35.661000+00:00,11309,26.2,2.6,316,1288,0,47.7,32.2,942.3
2026-06-26T15:13:35.671000+00:00,11309,26.7,1.6,334,1288,0,47.4,32.2,942.3
2026-06-26T15:14:35.682000+00:00,11309,27.5,1.1,317,1288,0,47.4,32.1,942.2
2026-06-26T15:15:35.687000+00:00,11309,28.2,1.3,26,1288,0,47.0,32.0,942.3
2026-06-26T15:16:35.702000+00:00,11309,28.0,2.0,71,1288,0,46.9,32.0,942.2
2026-06-26T15:17:35.682000+00:00,11309,28.0,1.3,299,1288,0,47.4,31.9,942.3
2026-06-26T15:18:35.677000+00:00,11309,27.9,0.9,43,1288,0,47.5,31.7,942.3
2026-06-26T15:19:35.681000+00:00,11309,27.9,0.9,43,1288,0,47.5,31.9,942.3
2026-06-26T15:20:35.684000+00:00,11309,27.9,0.9,43,1288,0,47.5,31.9,942.3
2026-06-26T15:21:35.694000+00:00,11309,27.9,0.9,43,1288,0,47.5,32.0,942.3
2026-06-26T15:22:35.681000+00:00,11309,27.9,0.9,43,1288,0,47.5,31.6,942.3
2026-06-26T15:23:35.687000+00:00,11309,26.8,1.9,269,1288,0,47.5,32.0,942.2
2026-06-26T15:24:35.675000+00:00,11309,26.6,0.7,77,1288,0,47.4,32.1,942.3
2026-06-26T15:25:35.683000+00:00,11309,26.6,0.7,77,1288,0,47.4,31.9,942.3
2026-06-26T15:26:35.691000+00:00,11309,25.5,2.0,69,1288,0,47.4,32.1,942.2
2026-06-26T15:27:35.684000+00:00,11309,26.4,0.9,112,1288,0,47.3,32.0,942.2
2026-06-26T15:28:35.701000+00:00,11309,26.4,1.4,84,1288,0,47.5,32.0,942.2
2026-06-26T15:29:35.721000+00:00,11309,26.5,1.3,130,1288,0,46.7,32.0,942.1
2026-06-26T15:30:35.736000+00:00,11309,26.3,1.3,139,1288,0,47.0,31.9,942.2
2026-06-26T15:31:35.738000+00:00,11309,26.3,0.8,43,1288,0,47.3,31.8,942.2
2026-06-26T15:32:35.734000+00:00,11309,26.9,1.9,329,1288,0,47.2,31.8,942.2
2026-06-26T15:33:35.738000+00:00,11309,27.0,3.8,303,1288,0,47.0,31.8,942.1
2026-06-26T15:34:35.739000+00:00,11309,27.2,1.7,308,1288,0,46.8,31.7,942.1
2026-06-26T15:35:35.738000+00:00,11309,26.4,1.8,324,1288,0,47.1,31.7,942.2
2026-06-26T15:36:35.736000+00:00,11309,26.7,0.9,180,1288,0,47.0,31.8,942.2
2026-06-26T15:37:35.756000+00:00,11309,26.0,1.0,346,1288,0,47.2,32.0,942.2
2026-06-26T15:38:35.775000+00:00,11309,25.6,0.5,334,1288,0,47.0,32.0,942.2
2026-06-26T15:39:35.774000+00:00,11309,26.1,0.8,59,1288,0,46.8,32.1,942.2
2026-06-26T15:40:35.771000+00:00,11309,26.2,0.7,6,1288,0,46.6,32.1,942.1
2026-06-26T15:41:35.774000+00:00,11309,26.4,0.8,14,1288,0,46.7,32.1,942.2
2026-06-26T15:42:35.774000+00:00,11309,26.4,1.2,320,1288,0,46.0,32.1,942.1
2026-06-26T15:43:35.774000+00:00,11309,26.8,1.1,4,1288,0,46.1,32.0,942.2
2026-06-26T15:44:35.774000+00:00,11309,26.8,1.1,4,1288,0,46.1,31.9,942.2
2026-06-26T15:45:35.769000+00:00,11309,26.8,1.5,316,1288,0,46.5,31.9,942.1
2026-06-26T15:46:35.800000+00:00,11309,26.6,1.1,287,1288,0,46.5,31.9,942.2
2026-06-26T15:47:35.803000+00:00,11309,26.9,1.2,101,1288,0,46.6,32.1,942.1
2026-06-26T15:48:35.823000+00:00,11309,27.3,1.0,338,1288,0,46.0,32.1,942.1
2026-06-26T15:49:35.816000+00:00,11309,27.9,1.3,62,1288,0,46.2,32.1,942.2
2026-06-26T15:50:35.813000+00:00,11309,27.9,1.3,62,1288,0,46.2,31.9,942.2
2026-06-26T15:51:35.824000+00:00,11309,28.1,1.9,7,1288,0,46.1,32.2,942.1
2026-06-26T15:52:35.827000+00:00,11309,28.6,1.8,357,1288,0,45.8,32.2,942.1
2026-06-26T15:53:35.838000+00:00,11309,28.7,1.6,332,1288,0,45.5,32.2,942.1
2026-06-26T15:54:35.841000+00:00,11309,28.8,2.2,355,1288,0,44.9,32.1,942.1
2026-06-26T15:55:35.850000+00:00,11309,28.8,2.1,18,1288,0,45.3,32.0,942.1
2026-06-26T15:56:35.876000+00:00,11309,29.4,2.1,19,1288,0,44.9,31.9,942.1
2026-06-26T15:57:35.864000+00:00,11309,29.9,1.1,296,1288,0,44.8,31.9,942.1
2026-06-26T15:58:35.877000+00:00,11309,30.1,1.1,133,1288,0,45.0,31.9,942.0
2026-06-26T15:59:35.877000+00:00,11309,29.2,0.6,317,1288,0,45.1,31.8,942.1
2026-06-26T16:00:35.861000+00:00,11309,28.9,2.3,323,1288,0,44.8,31.8,942.1
2026-06-26T16:01:35.889000+00:00,11309,29.3,1.5,88,1288,0,44.8,31.9,942.1
2026-06-26T16:02:35.909000+00:00,11309,29.8,0.8,108,1288,0,44.7,31.9,942.1
2026-06-26T16:03:35.899000+00:00,11309,30.2,1.4,8,1288,0,44.4,31.9,942.1
2026-06-26T16:04:35.906000+00:00,11309,30.7,0.6,150,1288,0,44.6,31.8,942.0
2026-06-26T16:05:35.900000+00:00,11309,30.6,2.1,9,1288,0,44.4,31.8,942.1
2026-06-26T16:06:35.906000+00:00,11309,30.6,1.0,3,1288,0,44.5,31.7,942.1
2026-06-26T16:07:35.899000+00:00,11309,30.4,0.4,325,1288,0,44.5,31.8,942.0
