date,session_key,pressure,track_temperature,wind_speed,wind_direction,meeting_key,rainfall,air_temperature,humidity
2026-07-25T14:50:35.546000+00:00,11338,984.1,43.3,1.0,131,1291,0,26.6,23.7
2026-07-25T14:51:35.548000+00:00,11338,984.0,43.4,1.6,117,1291,0,26.6,23.4
2026-07-25T14:52:35.555000+00:00,11338,984.1,42.1,2.3,96,1291,0,26.6,23.8
2026-07-25T14:53:35.568000+00:00,11338,984.2,42.4,1.9,119,1291,0,26.6,23.8
2026-07-25T14:54:35.567000+00:00,11338,984.1,42.9,2.4,115,1291,0,26.7,23.6
2026-07-25T14:55:35.568000+00:00,11338,984.1,42.2,0.6,135,1291,0,26.7,23.7
2026-07-25T14:56:35.582000+00:00,11338,984.1,42.7,0.8,79,1291,0,26.6,23.9
2026-07-25T14:57:35.586000+00:00,11338,984.0,42.5,1.6,166,1291,0,26.5,23.8
2026-07-25T14:58:35.599000+00:00,11338,984.1,42.2,0.7,109,1291,0,26.5,23.9
2026-07-25T14:59:35.596000+00:00,11338,984.0,42.4,0.4,1,1291,0,26.4,24.0
2026-07-25T15:00:35.601000+00:00,11338,984.1,42.0,0.0,0,1291,0,26.5,23.4
2026-07-25T15:01:35.610000+00:00,11338,984.1,42.6,1.2,271,1291,0,26.6,23.2
2026-07-25T15:02:35.600000+00:00,11338,984.1,42.0,0.4,134,1291,0,26.5,23.3
