lane,rows,result,reason,required_status,heavy_endpoint
weather,5294,pass,evidence_bearing,required_lightweight,False
race_control,2513,pass,evidence_bearing,required_lightweight,False
intervals,173373,pass,evidence_bearing,required_lightweight,False
position,14273,pass,evidence_bearing,required_lightweight,False
stints,2452,pass,evidence_bearing,required_lightweight,False
pit,169,pass,evidence_bearing,required_lightweight,False
starting_grid,66,pass,evidence_bearing,required_lightweight,False
drivers,645,pass,evidence_bearing,required_lightweight,False
team_radio,216,pass,evidence_bearing,opportunistic,False
