position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,17,False,False,False,"[73.278, 72.235, 71.567]","[0.267, 0.209, 0.0]",1292,11344
2,1,15,False,False,False,"[73.071, 72.189, 71.608]","[0.06, 0.163, 0.041]",1292,11344
3,16,16,False,False,False,"[73.011, 72.19, 71.622]","[0.0, 0.164, 0.055]",1292,11344
4,81,15,False,False,False,"[73.126, 72.026, 71.666]","[0.115, 0.0, 0.099]",1292,11344
5,12,15,False,False,False,"[73.668, 72.511, 71.794]","[0.657, 0.485, 0.227]",1292,11344
6,3,15,False,False,False,"[73.585, 72.771, 72.094]","[0.574, 0.745, 0.527]",1292,11344
7,44,15,False,False,False,"[73.151, 72.445, 72.191]","[0.14, 0.419, 0.624]",1292,11344
8,10,12,False,False,False,"[73.977, 72.72, 72.578]","[0.966, 0.694, 1.011]",1292,11344
9,5,12,False,False,False,"[73.73, 72.786, 72.583]","[0.719, 0.76, 1.016]",1292,11344
10,41,15,False,False,False,"[74.057, 72.785, 72.737]","[1.046, 0.759, 1.17]",1292,11344
11,30,13,False,False,False,"[73.42, 73.136, None]","[0.409, 1.11, None]",1292,11344
12,22,11,False,False,False,"[74.49, 73.145, None]","[1.479, 1.119, None]",1292,11344
13,43,9,False,False,False,"[74.618, 73.439, None]","[1.607, 1.413, None]",1292,11344
14,27,13,False,False,False,"[74.284, 73.616, None]","[1.273, 1.59, None]",1292,11344
15,31,12,False,False,False,"[74.503, 73.893, None]","[1.492, 1.867, None]",1292,11344
16,23,12,False,False,False,"[74.596, 74.294, None]","[1.585, 2.268, None]",1292,11344
17,87,6,False,False,False,"[74.728, None, None]","[1.717, None, None]",1292,11344
18,55,7,False,False,False,"[74.738, None, None]","[1.727, None, None]",1292,11344
19,18,5,False,False,False,"[75.391, None, None]","[2.38, None, None]",1292,11344
20,77,7,False,False,False,"[75.472, None, None]","[2.461, None, None]",1292,11344
21,11,7,False,False,False,"[75.545, None, None]","[2.534, None, None]",1292,11344
22,14,5,False,False,False,"[76.014, None, None]","[3.003, None, None]",1292,11344
