date,session_key,lap_number,stop_duration,lane_duration,driver_number,meeting_key,pit_duration
2026-06-12T15:38:36.775000+00:00,11301,14,,356.8,87,1287,356.8
2026-06-12T15:39:02.635000+00:00,11301,4,,24.1,77,1287,24.1
2026-06-12T15:39:59.301000+00:00,11301,15,,305.3,6,1287,305.3
2026-06-12T15:40:08.586000+00:00,11301,13,,358.1,31,1287,358.1
2026-06-12T15:40:28.930000+00:00,11301,16,,360.4,27,1287,360.4
2026-06-12T15:41:20.768000+00:00,11301,15,,487.3,23,1287,487.3
2026-06-12T15:41:25.909000+00:00,11301,15,,378.3,10,1287,378.3
2026-06-12T15:41:44.255000+00:00,11301,16,,262.4,43,1287,262.4
2026-06-12T15:42:12.690000+00:00,11301,15,,332.2,16,1287,332.2
2026-06-12T15:42:58.206000+00:00,11301,16,,24.8,55,1287,24.8
2026-06-12T15:43:02.159000+00:00,11301,10,,372.3,81,1287,372.3
2026-06-12T15:43:05.050000+00:00,11301,15,,293.1,5,1287,293.1
2026-06-12T15:43:08.425000+00:00,11301,16,,283.0,1,1287,283.0
2026-06-12T15:46:27.586000+00:00,11301,13,,427.6,14,1287,427.6
2026-06-12T15:46:45.649000+00:00,11301,12,,32.5,81,1287,32.5
2026-06-12T15:47:17.490000+00:00,11301,22,,24.5,3,1287,24.5
2026-06-12T15:47:26.474000+00:00,11301,12,,861.2,18,1287,861.2
2026-06-12T15:47:52.787000+00:00,11301,19,,33.7,23,1287,33.7
2026-06-12T15:50:46.848000+00:00,11301,19,,594.7,44,1287,594.7
2026-06-12T15:53:23.814000+00:00,11301,24,,22.1,6,1287,22.1
2026-06-12T15:54:22.034000+00:00,11301,22,,47.6,63,1287,47.6
2026-06-12T15:55:13.202000+00:00,11301,29,,36.4,11,1287,36.4
2026-06-12T15:55:21.871000+00:00,11301,26,,27.7,12,1287,27.7
2026-06-12T15:55:33.808000+00:00,11301,24,,23.8,16,1287,23.8
2026-06-12T15:55:56.846000+00:00,11301,26,,24.1,87,1287,24.1
2026-06-12T15:56:42.884000+00:00,11301,27,,23.8,27,1287,23.8
2026-06-12T15:57:42.950000+00:00,11301,26,,27.2,55,1287,27.2
2026-06-12T15:58:08.810000+00:00,11301,5,,2916.3,30,1287,2916.3
2026-06-12T15:58:13.560000+00:00,11301,25,,32.0,5,1287,32.0
2026-06-12T15:58:32.700000+00:00,11301,17,,211.0,18,1287,211.0
2026-06-12T15:58:46.135000+00:00,11301,26,,24.9,16,1287,24.9
2026-06-12T15:58:49.213000+00:00,11301,18,,270.9,14,1287,270.9
2026-06-12T15:59:27.776000+00:00,11301,27,,22.8,1,1287,22.8
2026-06-12T15:59:36.526000+00:00,11301,21,,26.7,81,1287,26.7
