date,session_key,meeting_key,position,driver_number
2026-07-25T14:03:22.199000+00:00,11338,1291,10,63
2026-07-25T14:03:22.199000+00:00,11338,1291,11,3
2026-07-25T14:03:22.199000+00:00,11338,1291,12,6
2026-07-25T14:03:22.199000+00:00,11338,1291,13,30
2026-07-25T14:03:22.199000+00:00,11338,1291,14,27
2026-07-25T14:03:22.199000+00:00,11338,1291,15,5
2026-07-25T14:03:22.199000+00:00,11338,1291,16,10
2026-07-25T14:03:22.199000+00:00,11338,1291,17,41
2026-07-25T14:03:22.199000+00:00,11338,1291,18,43
2026-07-25T14:03:22.199000+00:00,11338,1291,19,31
2026-07-25T14:03:22.199000+00:00,11338,1291,20,87
2026-07-25T14:03:22.199000+00:00,11338,1291,21,14
2026-07-25T14:03:22.199000+00:00,11338,1291,22,11
2026-07-25T14:03:31.935000+00:00,11338,1291,4,1
2026-07-25T14:03:31.935000+00:00,11338,1291,5,44
2026-07-25T14:03:31.935000+00:00,11338,1291,6,12
2026-07-25T14:03:31.935000+00:00,11338,1291,7,16
2026-07-25T14:03:31.935000+00:00,11338,1291,8,81
2026-07-25T14:03:31.935000+00:00,11338,1291,9,63
2026-07-25T14:03:31.935000+00:00,11338,1291,10,3
2026-07-25T14:03:31.935000+00:00,11338,1291,11,6
2026-07-25T14:03:31.935000+00:00,11338,1291,12,30
2026-07-25T14:03:31.935000+00:00,11338,1291,13,27
2026-07-25T14:03:31.935000+00:00,11338,1291,14,5
2026-07-25T14:03:31.935000+00:00,11338,1291,15,10
2026-07-25T14:03:31.935000+00:00,11338,1291,16,41
2026-07-25T14:03:31.935000+00:00,11338,1291,17,43
2026-07-25T14:03:31.935000+00:00,11338,1291,18,31
2026-07-25T14:03:31.935000+00:00,11338,1291,19,87
2026-07-25T14:03:31.935000+00:00,11338,1291,20,14
2026-07-25T14:03:31.935000+00:00,11338,1291,3,77
2026-07-25T14:03:31.935000+00:00,11338,1291,21,55
2026-07-25T14:03:32.841000+00:00,11338,1291,5,1
2026-07-25T14:03:32.841000+00:00,11338,1291,6,44
2026-07-25T14:03:32.841000+00:00,11338,1291,7,12
2026-07-25T14:03:32.841000+00:00,11338,1291,8,16
2026-07-25T14:03:32.841000+00:00,11338,1291,9,81
2026-07-25T14:03:32.841000+00:00,11338,1291,10,63
2026-07-25T14:03:32.841000+00:00,11338,1291,11,3
2026-07-25T14:03:32.841000+00:00,11338,1291,12,6
