position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,44,26,False,False,False,78.729,0,1291,11336
2,16,30,False,False,False,78.877,0.148,1291,11336
3,1,30,False,False,False,79.228,0.499,1291,11336
4,3,27,False,False,False,79.421,0.692,1291,11336
5,63,30,False,False,False,79.662,0.933,1291,11336
6,6,20,False,False,False,79.8,1.071,1291,11336
7,30,29,False,False,False,80.041,1.312,1291,11336
8,81,28,False,False,False,80.101,1.372,1291,11336
9,27,30,False,False,False,80.125,1.396,1291,11336
10,41,29,False,False,False,80.253,1.524,1291,11336
11,5,27,False,False,False,80.474,1.745,1291,11336
12,31,26,False,False,False,80.557,1.828,1291,11336
13,12,30,False,False,False,80.693,1.964,1291,11336
14,10,24,False,False,False,80.816,2.087,1291,11336
15,87,28,False,False,False,80.95,2.221,1291,11336
16,23,33,False,False,False,80.973,2.244,1291,11336
17,55,31,False,False,False,81.426,2.697,1291,11336
18,77,31,False,False,False,81.442,2.713,1291,11336
19,14,24,False,False,False,81.719,2.99,1291,11336
20,11,28,False,False,False,81.792,3.063,1291,11336
21,43,11,False,False,False,82.531,3.802,1291,11336
