date,session_key,wind_direction,wind_speed,pressure,air_temperature,rainfall,meeting_key,humidity,track_temperature
2026-09-11T11:15:27.466000+00:00,11362,79,2.1,943.5,26.2,0,1294,17.2,47.9
2026-09-11T11:16:27.486000+00:00,11362,75,2.5,943.5,26.3,0,1294,16.5,47.6
2026-09-11T11:17:27.494000+00:00,11362,31,1.9,943.5,26.4,0,1294,16.9,47.1
2026-09-11T11:18:27.523000+00:00,11362,62,2.0,943.5,26.5,0,1294,17.0,47.7
2026-09-11T11:19:27.541000+00:00,11362,83,1.7,943.5,26.5,0,1294,17.0,47.8
2026-09-11T11:20:27.518000+00:00,11362,59,1.9,943.5,26.5,0,1294,16.9,47.7
2026-09-11T11:21:27.519000+00:00,11362,59,1.4,943.4,26.5,0,1294,16.5,47.6
2026-09-11T11:22:27.515000+00:00,11362,26,0.3,943.4,26.5,0,1294,16.8,47.9
2026-09-11T11:23:27.541000+00:00,11362,307,0.8,943.5,26.4,0,1294,16.9,47.7
2026-09-11T11:24:27.550000+00:00,11362,296,0.3,943.3,26.3,0,1294,17.0,48.3
2026-09-11T11:25:27.570000+00:00,11362,67,2.2,943.4,26.3,0,1294,16.9,48.3
2026-09-11T11:26:27.574000+00:00,11362,88,1.9,943.4,26.3,0,1294,16.6,48.2
2026-09-11T11:27:27.594000+00:00,11362,93,2.2,943.3,26.3,0,1294,16.8,48.2
2026-09-11T11:28:27.591000+00:00,11362,120,2.3,943.3,26.4,0,1294,16.5,46.7
2026-09-11T11:29:27.607000+00:00,11362,107,1.5,943.3,26.3,0,1294,16.9,47.4
2026-09-11T11:30:27.624000+00:00,11362,108,1.5,943.3,26.4,0,1294,17.0,48.0
2026-09-11T11:31:27.626000+00:00,11362,311,1.5,943.4,26.6,0,1294,17.0,48.7
2026-09-11T11:32:27.649000+00:00,11362,2,0.8,943.3,26.7,0,1294,17.0,48.4
2026-09-11T11:33:27.672000+00:00,11362,70,3.3,943.3,26.7,0,1294,17.0,48.6
2026-09-11T11:34:27.696000+00:00,11362,88,1.9,943.2,26.6,0,1294,16.6,48.5
2026-09-11T11:35:27.710000+00:00,11362,67,2.8,943.2,26.6,0,1294,16.8,48.5
2026-09-11T11:36:27.716000+00:00,11362,0,0.0,943.3,26.7,0,1294,17.3,48.9
2026-09-11T11:37:27.729000+00:00,11362,290,0.7,943.3,26.8,0,1294,17.1,49.0
2026-09-11T11:38:27.748000+00:00,11362,278,0.9,943.2,26.9,0,1294,17.0,49.0
2026-09-11T11:39:27.742000+00:00,11362,277,1.2,943.3,26.8,0,1294,17.2,49.2
2026-09-11T11:40:27.740000+00:00,11362,277,0.9,943.3,26.6,0,1294,16.8,49.2
2026-09-11T11:41:27.747000+00:00,11362,237,1.0,943.2,26.5,0,1294,16.9,48.6
2026-09-11T11:42:27.736000+00:00,11362,312,0.7,943.2,26.6,0,1294,16.8,49.4
2026-09-11T11:43:27.741000+00:00,11362,87,0.8,943.2,26.6,0,1294,17.0,49.4
2026-09-11T11:44:27.732000+00:00,11362,72,1.3,943.3,26.9,0,1294,16.8,49.6
2026-09-11T11:45:27.725000+00:00,11362,54,1.1,943.3,27.0,0,1294,16.7,49.5
2026-09-11T11:46:27.728000+00:00,11362,69,3.5,943.2,26.9,0,1294,16.5,49.4
2026-09-11T11:47:27.726000+00:00,11362,66,3.3,943.1,27.0,0,1294,15.1,48.9
2026-09-11T11:48:27.726000+00:00,11362,77,3.9,943.1,26.9,0,1294,15.8,47.9
2026-09-11T11:49:27.742000+00:00,11362,51,1.9,943.2,26.8,0,1294,16.3,48.6
2026-09-11T11:50:27.755000+00:00,11362,58,2.1,943.1,26.9,0,1294,15.5,48.9
2026-09-11T11:51:27.743000+00:00,11362,75,1.4,943.2,26.9,0,1294,15.5,49.6
2026-09-11T11:52:27.735000+00:00,11362,76,1.4,943.1,27.1,0,1294,15.3,49.3
2026-09-11T11:53:27.752000+00:00,11362,337,1.4,943.1,27.3,0,1294,15.3,49.4
2026-09-11T11:54:27.752000+00:00,11362,259,0.4,943.1,27.3,0,1294,15.4,49.9
2026-09-11T11:55:27.755000+00:00,11362,0,0.0,943.2,27.3,0,1294,15.1,49.5
2026-09-11T11:56:27.784000+00:00,11362,290,1.1,943.2,27.3,0,1294,15.1,49.8
2026-09-11T11:57:27.780000+00:00,11362,5,0.6,943.0,27.3,0,1294,15.3,49.7
2026-09-11T11:58:27.746000+00:00,11362,45,0.6,943.1,27.2,0,1294,15.6,50.0
2026-09-11T11:59:27.749000+00:00,11362,52,1.0,943.1,27.2,0,1294,15.8,50.3
2026-09-11T12:00:27.741000+00:00,11362,74,0.7,943.1,27.1,0,1294,15.7,50.6
2026-09-11T12:01:27.747000+00:00,11362,41,1.5,943.0,27.2,0,1294,15.4,50.1
2026-09-11T12:02:27.741000+00:00,11362,24,0.7,943.1,27.2,0,1294,15.4,49.9
2026-09-11T12:03:27.750000+00:00,11362,339,0.9,943.1,27.3,0,1294,15.6,50.2
2026-09-11T12:04:27.741000+00:00,11362,110,1.1,943.1,27.3,0,1294,15.5,50.2
2026-09-11T12:05:27.731000+00:00,11362,31,1.0,943.1,27.5,0,1294,15.2,51.0
2026-09-11T12:06:27.749000+00:00,11362,73,1.5,943.0,27.7,0,1294,14.9,50.7
2026-09-11T12:07:27.751000+00:00,11362,107,1.3,943.1,27.6,0,1294,15.1,50.7
2026-09-11T12:08:27.749000+00:00,11362,73,0.7,943.1,27.7,0,1294,15.4,51.2
2026-09-11T12:09:27.754000+00:00,11362,47,2.8,943.0,27.6,0,1294,15.1,50.1
2026-09-11T12:10:27.766000+00:00,11362,59,1.5,943.1,27.5,0,1294,15.3,50.5
2026-09-11T12:11:27.777000+00:00,11362,86,2.0,943.1,27.3,0,1294,15.4,50.3
2026-09-11T12:12:27.801000+00:00,11362,82,1.3,943.1,27.2,0,1294,15.1,50.8
2026-09-11T12:13:27.827000+00:00,11362,34,0.6,943.0,27.3,0,1294,15.5,50.0
2026-09-11T12:14:27.811000+00:00,11362,290,0.7,943.1,27.3,0,1294,15.4,50.6
2026-09-11T12:15:27.816000+00:00,11362,266,0.6,943.0,27.3,0,1294,15.4,51.1
2026-09-11T12:16:27.823000+00:00,11362,81,1.1,943.0,27.4,0,1294,15.2,51.5
2026-09-11T12:17:27.859000+00:00,11362,62,1.4,943.1,27.6,0,1294,14.9,51.0
2026-09-11T12:18:27.864000+00:00,11362,13,1.6,943.0,27.7,0,1294,15.1,50.7
2026-09-11T12:19:27.880000+00:00,11362,309,1.6,943.0,27.6,0,1294,15.5,51.1
2026-09-11T12:20:27.871000+00:00,11362,7,1.3,943.1,27.7,0,1294,15.8,51.4
2026-09-11T12:21:27.885000+00:00,11362,276,1.5,943.0,27.8,0,1294,15.8,51.3
2026-09-11T12:22:27.893000+00:00,11362,196,0.6,943.0,27.9,0,1294,14.6,50.3
2026-09-11T12:23:27.890000+00:00,11362,196,1.2,943.0,27.8,0,1294,14.6,49.8
2026-09-11T12:24:27.887000+00:00,11362,281,0.7,943.0,27.7,0,1294,14.9,51.6
2026-09-11T12:25:27.915000+00:00,11362,306,0.5,943.0,27.8,0,1294,15.2,51.9
2026-09-11T12:26:27.886000+00:00,11362,0,0.0,942.9,27.8,0,1294,15.0,51.8
2026-09-11T12:27:27.899000+00:00,11362,297,0.7,942.9,27.8,0,1294,14.7,51.9
2026-09-11T12:28:27.909000+00:00,11362,199,0.7,943.0,27.8,0,1294,13.3,50.9
2026-09-11T12:29:27.907000+00:00,11362,212,1.2,942.9,27.8,0,1294,12.8,51.1
2026-09-11T12:30:27.941000+00:00,11362,308,0.5,943.0,27.9,0,1294,13.2,52.1
2026-09-11T12:31:27.906000+00:00,11362,52,2.1,942.9,28.1,0,1294,13.7,52.2
2026-09-11T12:32:27.913000+00:00,11362,42,2.2,942.8,28.2,0,1294,13.9,51.2
2026-09-11T12:33:27.895000+00:00,11362,57,2.4,942.8,28.2,0,1294,14.3,50.9
2026-09-11T12:34:27.895000+00:00,11362,53,2.2,942.8,28.2,0,1294,14.7,50.9
2026-09-11T12:35:27.891000+00:00,11362,117,0.4,942.8,28.0,0,1294,14.9,51.6
2026-09-11T12:36:27.907000+00:00,11362,148,1.2,942.9,28.0,0,1294,14.7,51.6
2026-09-11T12:37:27.880000+00:00,11362,274,0.4,942.9,28.1,0,1294,14.3,52.3
2026-09-11T12:38:27.893000+00:00,11362,296,2.0,943.0,28.1,0,1294,13.7,52.4
2026-09-11T12:39:27.906000+00:00,11362,343,1.2,942.9,28.1,0,1294,13.1,52.2
2026-09-11T12:40:27.920000+00:00,11362,117,0.6,942.9,28.1,0,1294,12.8,52.1
