date,session_key,meeting_key,lane_duration,stop_duration,pit_duration,lap_number,driver_number
2026-09-11T11:53:25.286000+00:00,11362,1294,280.7,,280.7,11,14
2026-09-11T11:53:47.427000+00:00,11362,1294,39.0,,39.0,12,44
2026-09-11T11:55:26.096000+00:00,11362,1294,495.3,,495.3,9,30
2026-09-11T11:55:36.334000+00:00,11362,1294,499.7,,499.7,9,3
2026-09-11T11:56:43.087000+00:00,11362,1294,39.5,,39.5,11,87
2026-09-11T11:57:11.782000+00:00,11362,1294,301.1,,301.1,12,63
2026-09-11T11:57:42.046000+00:00,11362,1294,274.7,,274.7,12,12
2026-09-11T11:57:45.295000+00:00,11362,1294,500.8,,500.8,10,81
2026-09-11T11:59:40.813000+00:00,11362,1294,599.3,,599.3,10,1
2026-09-11T12:00:27.037000+00:00,11362,1294,339.3,,339.3,13,41
2026-09-11T12:01:46.797000+00:00,11362,1294,37.3,,37.3,12,30
2026-09-11T12:02:04.611000+00:00,11362,1294,178.2,,178.2,15,22
2026-09-11T12:03:20.117000+00:00,11362,1294,45.3,,45.3,13,31
2026-09-11T12:04:00.606000+00:00,11362,1294,554.8,,554.8,13,18
2026-09-11T12:04:03.663000+00:00,11362,1294,34.4,,34.4,13,81
2026-09-11T12:04:24.272000+00:00,11362,1294,58.0,,58.0,15,12
2026-09-11T12:04:37.623000+00:00,11362,1294,436.8,,436.8,11,27
2026-09-11T12:06:45.944000+00:00,11362,1294,42.4,,42.4,16,41
2026-09-11T12:08:47.566000+00:00,11362,1294,502.4,,502.4,15,11
2026-09-11T12:08:57.797000+00:00,11362,1294,271.0,,271.0,18,55
2026-09-11T12:09:07.370000+00:00,11362,1294,667.7,,667.7,15,16
2026-09-11T12:09:10.576000+00:00,11362,1294,408.5,,408.5,11,10
2026-09-11T12:09:17.210000+00:00,11362,1294,478.1,,478.1,16,23
2026-09-11T12:09:25.504000+00:00,11362,1294,478.4,,478.4,16,44
2026-09-11T12:09:44.965000+00:00,11362,1294,179.8,,179.8,14,1
2026-09-11T12:09:57.277000+00:00,11362,1294,325.3,,325.3,13,43
2026-09-11T12:10:01.246000+00:00,11362,1294,675.3,,675.3,15,77
2026-09-11T12:10:51.953000+00:00,11362,1294,33.8,,33.8,14,27
2026-09-11T12:11:25.715000+00:00,11362,1294,504.8,,504.8,17,5
2026-09-11T12:11:35.074000+00:00,11362,1294,84.2,,84.2,18,12
2026-09-11T12:11:39.308000+00:00,11362,1294,566.9,,566.9,14,87
2026-09-11T12:11:47.640000+00:00,11362,1294,548.9,,548.9,16,14
2026-09-11T12:12:58.981000+00:00,11362,1294,199.7,,199.7,16,18
2026-09-11T12:13:04.627000+00:00,11362,1294,39.2,,39.2,19,41
2026-09-11T12:13:05.706000+00:00,11362,1294,346.5,,346.5,15,30
