date,session_key,meeting_key,pit_duration,lap_number,lane_duration,stop_duration,driver_number,source_closure_retrieved_utc
2026-03-14T03:25:32.321000+00:00,11240,1280,23.373,13,23.373,3.5,63,2026-08-21T07:12:04.379274Z
2026-03-14T03:25:41.542000+00:00,11240,1280,23.2,13,23.2,2.8,16,2026-08-21T07:12:04.379274Z
2026-03-14T03:25:43.698000+00:00,11240,1280,22.529,13,22.529,2.4,1,2026-08-21T07:12:04.379274Z
2026-03-14T03:25:47.088000+00:00,11240,1280,27.854,13,27.854,2.7,44,2026-08-21T07:12:04.379274Z
2026-03-14T03:25:51.182000+00:00,11240,1280,33.682,13,33.682,13.7,12,2026-08-21T07:12:04.379274Z
2026-03-14T03:25:51.495000+00:00,11240,1280,23.514,13,23.514,2.7,81,2026-08-21T07:12:04.379274Z
2026-03-14T03:26:18.339000+00:00,11240,1280,24.1,13,24.1,,3,2026-08-21T07:12:04.379274Z
2026-03-14T03:26:21.813000+00:00,11240,1280,23.554,13,23.554,2.8,43,2026-08-21T07:12:04.379274Z
2026-03-14T03:26:23.218000+00:00,11240,1280,24.34,13,24.34,4.3,23,2026-08-21T07:12:04.379274Z
2026-03-14T03:26:27.213000+00:00,11240,1280,31.17,13,31.17,5.5,6,2026-08-21T07:12:04.379274Z
2026-03-14T03:26:33.855000+00:00,11240,1280,23.059,13,23.059,2.7,18,2026-08-21T07:12:04.379274Z
2026-03-14T03:26:42.810000+00:00,11240,1280,25.793,13,25.793,5.0,11,2026-08-21T07:12:04.379274Z
2026-03-15T07:06:25.125000+00:00,11245,1280,23.062,1,23.062,2.7,6,2026-08-21T07:12:12.901482Z
2026-03-15T07:19:30.772000+00:00,11245,1280,22.721,9,22.721,2.5,30,2026-08-21T07:12:12.901482Z
2026-03-15T07:19:31.880000+00:00,11245,1280,23.678,9,23.678,3.4,3,2026-08-21T07:12:12.901482Z
2026-03-15T07:19:34.317000+00:00,11245,1280,23.106,9,23.106,3.1,55,2026-08-21T07:12:12.901482Z
2026-03-15T07:20:48.777000+00:00,11245,1280,23.005,10,23.005,2.9,12,2026-08-21T07:12:12.901482Z
2026-03-15T07:20:56.454000+00:00,11245,1280,23.39,10,23.39,3.2,63,2026-08-21T07:12:12.901482Z
2026-03-15T07:20:56.799000+00:00,11245,1280,22.433,10,22.433,2.4,44,2026-08-21T07:12:12.901482Z
2026-03-15T07:21:02.954000+00:00,11245,1280,25.633,10,25.633,3.5,16,2026-08-21T07:12:12.901482Z
2026-03-15T07:21:06.329000+00:00,11245,1280,23.539,10,23.539,2.8,10,2026-08-21T07:12:12.901482Z
2026-03-15T07:21:23.314000+00:00,11245,1280,22.967,10,22.967,,87,2026-08-21T07:12:12.901482Z
2026-03-15T07:21:49.224000+00:00,11245,1280,27.795,10,27.795,7.4,77,2026-08-21T07:12:12.901482Z
2026-03-15T07:22:06.849000+00:00,11245,1280,25.748,10,25.748,5.7,6,2026-08-21T07:12:12.901482Z
2026-03-15T07:24:08.630000+00:00,11245,1280,26.213,11,26.213,5.5,11,2026-08-21T07:12:12.901482Z
2026-03-15T07:55:08.164000+00:00,11245,1280,25.997,29,25.997,5.7,31,2026-08-21T07:12:12.901482Z
2026-03-15T07:58:53.861000+00:00,11245,1280,23.291,31,23.291,2.8,14,2026-08-21T07:12:12.901482Z
2026-03-15T07:59:58.613000+00:00,11245,1280,23.195,32,23.195,2.6,43,2026-08-21T07:12:12.901482Z
2026-03-15T08:05:10.947000+00:00,11245,1280,37.358,35,37.358,16.1,27,2026-08-21T07:12:12.901482Z
2026-03-15T08:16:43.743000+00:00,11245,1280,23.29,42,23.29,2.9,41,2026-08-21T07:12:12.901482Z
