date,session_key,lap_number,pit_duration,lane_duration,stop_duration,driver_number,meeting_key
2026-07-18T14:00:25.661000+00:00,11330,1,,,,18,1290
2026-07-18T14:00:28.908000+00:00,11330,1,,,,77,1290
2026-07-18T14:00:30.813000+00:00,11330,1,,,,11,1290
2026-07-18T14:03:13.790000+00:00,11330,1,,,,10,1290
2026-07-18T14:03:21.438000+00:00,11330,1,,,,43,1290
2026-07-18T14:03:28.945000+00:00,11330,1,,,,3,1290
2026-07-18T14:03:32.492000+00:00,11330,1,,,,12,1290
2026-07-18T14:03:42.207000+00:00,11330,1,,,,63,1290
2026-07-18T14:03:45.967000+00:00,11330,1,,,,31,1290
2026-07-18T14:03:47.538000+00:00,11330,1,,,,14,1290
2026-07-18T14:03:50.856000+00:00,11330,1,,,,87,1290
2026-07-18T14:03:56.229000+00:00,11330,1,,,,41,1290
2026-07-18T14:04:01.370000+00:00,11330,1,,,,55,1290
2026-07-18T14:04:09.822000+00:00,11330,1,,,,23,1290
2026-07-18T14:04:17.223000+00:00,11330,1,,,,30,1290
2026-07-18T14:04:21.095000+00:00,11330,1,,,,16,1290
2026-07-18T14:04:24.750000+00:00,11330,1,,,,5,1290
2026-07-18T14:04:34.355000+00:00,11330,1,,,,27,1290
2026-07-18T14:04:39.727000+00:00,11330,1,,,,44,1290
2026-07-18T14:04:49.367000+00:00,11330,1,,,,6,1290
2026-07-18T14:04:55.757000+00:00,11330,1,,,,81,1290
2026-07-18T14:05:07.155000+00:00,11330,1,,,,1,1290
2026-07-18T14:06:06.830000+00:00,11330,3,83.7,83.7,,18,1290
2026-07-18T14:12:59.126000+00:00,11330,4,192.0,192.0,,12,1290
2026-07-18T14:13:01.250000+00:00,11330,6,138.1,138.1,,77,1290
2026-07-18T14:13:02.198000+00:00,11330,4,180.7,180.7,,63,1290
2026-07-18T14:13:05.550000+00:00,11330,6,140.0,140.0,,11,1290
2026-07-18T14:13:09.345000+00:00,11330,4,165.9,165.9,,55,1290
2026-07-18T14:13:12.038000+00:00,11330,4,177.9,177.9,,41,1290
2026-07-18T14:13:15.807000+00:00,11330,4,164.6,164.6,,30,1290
2026-07-18T14:13:19.326000+00:00,11330,4,200.4,200.4,,31,1290
2026-07-18T14:13:22.591000+00:00,11330,4,202.6,202.6,,87,1290
2026-07-18T14:13:25.910000+00:00,11330,4,165.7,165.7,,16,1290
