date,session_key,track_temperature,air_temperature,pressure,wind_speed,humidity,wind_direction,rainfall,meeting_key
2026-06-27T10:15:41.361000+00:00,11310,49.2,30.6,944.7,2.9,31.5,262,0,1288
2026-06-27T10:16:41.365000+00:00,11310,48.7,30.4,944.7,1.8,31.7,251,0,1288
2026-06-27T10:17:41.362000+00:00,11310,48.7,30.5,944.7,1.8,31.7,251,0,1288
2026-06-27T10:18:41.362000+00:00,11310,48.7,30.8,944.7,1.8,31.7,251,0,1288
2026-06-27T10:19:41.363000+00:00,11310,48.7,30.6,944.7,1.8,31.7,251,0,1288
2026-06-27T10:20:41.396000+00:00,11310,48.7,30.7,944.7,1.8,31.7,251,0,1288
2026-06-27T10:21:41.367000+00:00,11310,48.7,30.2,944.7,1.8,31.7,251,0,1288
2026-06-27T10:22:41.368000+00:00,11310,48.7,30.6,944.7,1.8,31.7,251,0,1288
2026-06-27T10:23:41.383000+00:00,11310,48.7,30.4,944.7,1.8,31.7,251,0,1288
2026-06-27T10:24:41.383000+00:00,11310,48.7,30.7,944.7,1.8,31.7,251,0,1288
2026-06-27T10:25:41.385000+00:00,11310,48.7,30.7,944.7,1.8,31.7,251,0,1288
2026-06-27T10:26:41.402000+00:00,11310,48.7,30.8,944.7,1.8,31.7,251,0,1288
2026-06-27T10:27:41.417000+00:00,11310,48.7,30.7,944.7,1.8,31.7,251,0,1288
2026-06-27T10:28:41.416000+00:00,11310,48.7,30.7,944.7,1.8,31.7,251,0,1288
2026-06-27T10:29:41.420000+00:00,11310,50.0,30.7,944.8,2.0,30.6,283,0,1288
2026-06-27T10:30:41.420000+00:00,11310,50.0,30.1,944.8,2.0,30.6,283,0,1288
2026-06-27T10:31:41.420000+00:00,11310,50.0,30.1,944.8,2.0,30.6,283,0,1288
2026-06-27T10:32:41.436000+00:00,11310,49.4,30.8,944.6,1.0,29.3,259,0,1288
2026-06-27T10:33:41.453000+00:00,11310,49.4,30.7,944.6,1.0,29.3,259,0,1288
2026-06-27T10:34:41.464000+00:00,11310,49.4,30.7,944.6,1.0,29.3,259,0,1288
2026-06-27T10:35:41.486000+00:00,11310,49.4,30.8,944.6,1.0,29.3,259,0,1288
2026-06-27T10:36:41.490000+00:00,11310,49.4,30.5,944.6,1.0,29.3,259,0,1288
2026-06-27T10:37:41.479000+00:00,11310,49.4,30.9,944.6,1.0,29.3,259,0,1288
2026-06-27T10:38:41.489000+00:00,11310,49.4,30.4,944.6,1.0,29.3,259,0,1288
2026-06-27T10:39:41.490000+00:00,11310,50.0,30.9,944.6,0.8,30.0,191,0,1288
2026-06-27T10:40:41.514000+00:00,11310,50.0,30.9,944.6,0.8,30.0,191,0,1288
2026-06-27T10:41:41.507000+00:00,11310,50.0,31.0,944.6,0.8,30.0,191,0,1288
2026-06-27T10:42:41.509000+00:00,11310,50.0,31.0,944.6,0.8,30.0,191,0,1288
2026-06-27T10:43:41.510000+00:00,11310,50.0,30.9,944.6,0.8,30.0,191,0,1288
2026-06-27T10:44:41.507000+00:00,11310,50.0,30.9,944.6,0.8,30.0,191,0,1288
2026-06-27T10:45:41.513000+00:00,11310,50.0,31.1,944.6,0.8,30.0,191,0,1288
2026-06-27T10:46:41.510000+00:00,11310,49.9,31.2,944.5,0.9,29.6,226,0,1288
2026-06-27T10:47:41.510000+00:00,11310,50.2,31.2,944.5,0.7,29.3,139,0,1288
2026-06-27T10:48:41.517000+00:00,11310,50.8,31.3,944.4,0.9,29.3,278,0,1288
2026-06-27T10:49:41.516000+00:00,11310,50.8,31.1,944.4,0.9,29.3,278,0,1288
2026-06-27T10:50:41.514000+00:00,11310,50.8,31.0,944.4,0.9,29.3,278,0,1288
2026-06-27T10:51:41.516000+00:00,11310,50.8,31.2,944.4,0.9,29.3,278,0,1288
2026-06-27T10:52:41.518000+00:00,11310,50.8,31.0,944.4,0.9,29.3,278,0,1288
2026-06-27T10:53:41.519000+00:00,11310,50.8,31.6,944.4,1.2,28.0,49,0,1288
2026-06-27T10:54:41.521000+00:00,11310,50.8,31.5,944.4,1.2,28.0,49,0,1288
2026-06-27T10:55:41.519000+00:00,11310,50.8,31.4,944.4,1.2,28.0,49,0,1288
2026-06-27T10:56:41.528000+00:00,11310,50.8,31.4,944.4,1.2,28.0,49,0,1288
2026-06-27T10:57:41.520000+00:00,11310,51.2,31.5,944.4,1.5,27.4,265,0,1288
2026-06-27T10:58:41.520000+00:00,11310,50.5,31.3,944.4,2.3,27.6,274,0,1288
2026-06-27T10:59:41.523000+00:00,11310,50.5,31.2,944.4,2.3,27.6,274,0,1288
2026-06-27T11:00:41.524000+00:00,11310,51.7,31.3,944.4,2.2,27.0,274,0,1288
2026-06-27T11:01:41.526000+00:00,11310,51.7,31.3,944.4,2.2,27.0,274,0,1288
2026-06-27T11:02:41.524000+00:00,11310,51.7,31.2,944.4,2.2,27.0,274,0,1288
2026-06-27T11:03:41.529000+00:00,11310,51.7,31.4,944.4,2.2,27.0,274,0,1288
2026-06-27T11:04:41.525000+00:00,11310,51.7,31.4,944.4,2.2,27.0,274,0,1288
2026-06-27T11:05:41.528000+00:00,11310,51.8,31.6,944.4,1.5,28.5,280,0,1288
2026-06-27T11:06:41.549000+00:00,11310,51.9,31.5,944.3,1.1,28.9,68,0,1288
