date,session_key,driver_number,meeting_key,position
2026-06-27T10:15:40.373000+00:00,11310,1,1288,1
2026-06-27T10:15:40.373000+00:00,11310,3,1288,2
2026-06-27T10:15:40.373000+00:00,11310,5,1288,3
2026-06-27T10:15:40.373000+00:00,11310,6,1288,4
2026-06-27T10:15:40.373000+00:00,11310,10,1288,5
2026-06-27T10:15:40.373000+00:00,11310,11,1288,6
2026-06-27T10:15:40.373000+00:00,11310,12,1288,7
2026-06-27T10:15:40.373000+00:00,11310,14,1288,8
2026-06-27T10:15:40.373000+00:00,11310,16,1288,9
2026-06-27T10:15:40.373000+00:00,11310,18,1288,10
2026-06-27T10:15:40.373000+00:00,11310,23,1288,11
2026-06-27T10:15:40.373000+00:00,11310,27,1288,12
2026-06-27T10:15:40.373000+00:00,11310,30,1288,13
2026-06-27T10:15:40.373000+00:00,11310,31,1288,14
2026-06-27T10:15:40.373000+00:00,11310,41,1288,15
2026-06-27T10:15:40.373000+00:00,11310,43,1288,16
2026-06-27T10:15:40.373000+00:00,11310,44,1288,17
2026-06-27T10:15:40.373000+00:00,11310,55,1288,18
2026-06-27T10:15:40.373000+00:00,11310,63,1288,19
2026-06-27T10:15:40.373000+00:00,11310,77,1288,20
2026-06-27T10:15:40.373000+00:00,11310,81,1288,21
2026-06-27T10:15:40.373000+00:00,11310,87,1288,22
2026-06-27T10:30:04.183000+00:00,11310,1,1288,2
2026-06-27T10:30:04.183000+00:00,11310,3,1288,3
2026-06-27T10:30:04.183000+00:00,11310,5,1288,4
2026-06-27T10:30:04.183000+00:00,11310,6,1288,5
2026-06-27T10:30:04.183000+00:00,11310,10,1288,6
2026-06-27T10:30:04.183000+00:00,11310,11,1288,1
2026-06-27T10:39:28.271000+00:00,11310,1,1288,3
2026-06-27T10:39:28.271000+00:00,11310,3,1288,4
2026-06-27T10:39:28.271000+00:00,11310,5,1288,5
2026-06-27T10:39:28.271000+00:00,11310,6,1288,6
2026-06-27T10:39:28.271000+00:00,11310,10,1288,7
2026-06-27T10:39:28.271000+00:00,11310,12,1288,8
2026-06-27T10:39:28.271000+00:00,11310,14,1288,9
2026-06-27T10:39:28.271000+00:00,11310,16,1288,10
2026-06-27T10:39:28.271000+00:00,11310,18,1288,11
2026-06-27T10:39:28.271000+00:00,11310,23,1288,12
2026-06-27T10:39:28.271000+00:00,11310,27,1288,13
2026-06-27T10:39:28.271000+00:00,11310,30,1288,14
2026-06-27T10:39:28.271000+00:00,11310,31,1288,15
2026-06-27T10:39:28.271000+00:00,11310,41,1288,16
2026-06-27T10:39:28.271000+00:00,11310,43,1288,2
2026-06-27T10:39:57.570000+00:00,11310,1,1288,4
2026-06-27T10:39:57.570000+00:00,11310,3,1288,5
2026-06-27T10:39:57.570000+00:00,11310,5,1288,6
2026-06-27T10:39:57.570000+00:00,11310,6,1288,7
2026-06-27T10:39:57.570000+00:00,11310,10,1288,8
2026-06-27T10:39:57.570000+00:00,11310,12,1288,9
2026-06-27T10:39:57.570000+00:00,11310,14,1288,10
2026-06-27T10:39:57.570000+00:00,11310,16,1288,11
2026-06-27T10:39:57.570000+00:00,11310,18,1288,12
2026-06-27T10:39:57.570000+00:00,11310,23,1288,13
2026-06-27T10:39:57.570000+00:00,11310,27,1288,3
2026-06-27T10:40:32.138000+00:00,11310,1,1288,5
2026-06-27T10:40:32.138000+00:00,11310,3,1288,6
2026-06-27T10:40:32.138000+00:00,11310,5,1288,7
2026-06-27T10:40:32.138000+00:00,11310,6,1288,4
2026-06-27T10:42:04.986000+00:00,11310,11,1288,2
2026-06-27T10:42:04.986000+00:00,11310,43,1288,1
2026-06-27T10:42:37.911000+00:00,11310,11,1288,3
2026-06-27T10:42:37.911000+00:00,11310,27,1288,1
2026-06-27T10:42:37.911000+00:00,11310,43,1288,2
2026-06-27T10:43:10.549000+00:00,11310,6,1288,1
2026-06-27T10:43:10.549000+00:00,11310,11,1288,4
