path,size_bytes,category,recommended_action,reason,path_length
.github/workflows/f1-session-data-processor-safe-test-button-v1.yml,1060,active_architecture,keep,Inside active architecture root.,121
.github/workflows/f1-workbook-control-room-bridge.yml,1859,active_architecture,keep,Inside active architecture root.,107
.github/workflows/f1-workbook-kpi-refresh-run-now-button.yml,1998,active_architecture,keep,Inside active architecture root.,114
.github/workflows/f1-workbook-kpi-refresh-safe-test-button.yml,888,active_architecture,keep,Inside active architecture root.,116
.github/workflows/f1-workbook-kpi-refresh-scheduled.yml,2107,active_architecture,keep,Inside active architecture root.,109
.github/workflows/f1-workflow-meta-health-safe-test-button.yml,728,active_architecture,keep,Inside active architecture root.,116
.github/workflows/f1_1c_repository_dispatch_catchall.yml,3857,active_architecture,keep,Inside active architecture root.,110
.github/workflows/f1_ai_pr_log_advisory_reviewer.yml,1630,active_architecture,keep,Inside active architecture root.,106
.github/workflows/f1_autopilot_patch_receiver.yml,3841,active_architecture,keep,Inside active architecture root.,103
.github/workflows/openf1-full-historical-auto-ingest.yml,3565,active_architecture,keep,Inside active architecture root.,110
.github/workflows/openf1-post-race-auto-reliability.yml,3643,active_architecture,keep,Inside active architecture root.,109
.github/workflows/openf1-prerace-auto-ingest.yml,5051,active_architecture,keep,Inside active architecture root.,102
.gitignore,821,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,64
.gitignore.openf1_high_frequency,202,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,86
1_DOUBLE_CLICK_ME_INSTALL_F1_PEAK_ELITE_SYSTEM_v3.cmd,73907,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,107
ALL5_OPERATIONAL_PATCH_MANIFEST.csv,960,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,89
AUTOPILOT_PAYLOAD_MANIFEST.csv,649,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,84
CONTROL_ROOM_FORECAST_SCORING_PATCH_MANIFEST.csv,1324,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,102
CURRENT_CANONICAL_FILES_AUTOMATION_OPERATIONAL_BASELINE_2026-06-10.md,739,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,123
CURRENT_CANONICAL_FILES_CONTROL_ROOM_FORECAST_SCORING_2026-06-10.md,929,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,121
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_2026-06-10.md,708,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,116
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_CONSOLIDATED_2026-06-10.md,585,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,129
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_CRON_HOTFIX_2026-06-10.md,415,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,128
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_DIAGNOSTICS_HARDENING_2026-06-10.md,629,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,138
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_FASTF1_PY39_COMPAT_2026-06-10.md,600,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,135
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_MANUAL_VALIDATION_2026-06-10.md,372,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,134
CURRENT_CANONICAL_FILES_LIVE_SOURCE_FEED_CAPTURE_UTC_COMPAT_2026-06-10.md,443,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,127
CURRENT_CANONICAL_FILES_OPENF1_LIGHTWEIGHT_SOURCE_CLOSURE_2026-06-10.md,800,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,125
CURRENT_CANONICAL_FILES_OPERATIONAL_USE_PATCH_2026-06-10.md,799,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,113
