date,session_key,driver_number,pit_duration,stop_duration,lane_duration,lap_number,meeting_key
2026-08-22T10:24:52.249000+00:00,11348,55,24.0,,24.0,16,1292
2026-08-22T10:31:13.623000+00:00,11348,27,1270.4,,1270.4,5,1292
