date,session_key,meeting_key,driver_number,position
2026-08-22T09:18:12.597000+00:00,11348,1292,63,1
2026-08-22T09:18:12.597000+00:00,11348,1292,1,2
2026-08-22T09:18:12.597000+00:00,11348,1292,16,3
2026-08-22T09:18:12.597000+00:00,11348,1292,81,4
2026-08-22T09:18:12.597000+00:00,11348,1292,12,5
2026-08-22T09:18:12.597000+00:00,11348,1292,3,6
2026-08-22T09:18:12.597000+00:00,11348,1292,44,7
2026-08-22T09:18:12.597000+00:00,11348,1292,10,8
2026-08-22T09:18:12.597000+00:00,11348,1292,5,9
2026-08-22T09:18:12.597000+00:00,11348,1292,41,10
2026-08-22T09:18:12.597000+00:00,11348,1292,30,11
2026-08-22T09:18:12.597000+00:00,11348,1292,22,12
2026-08-22T09:18:12.597000+00:00,11348,1292,43,13
2026-08-22T09:18:12.597000+00:00,11348,1292,27,14
2026-08-22T09:18:12.597000+00:00,11348,1292,31,15
2026-08-22T09:18:12.597000+00:00,11348,1292,23,16
2026-08-22T09:18:12.597000+00:00,11348,1292,87,17
2026-08-22T09:18:12.597000+00:00,11348,1292,18,18
2026-08-22T09:18:12.597000+00:00,11348,1292,77,19
2026-08-22T09:18:12.597000+00:00,11348,1292,11,20
2026-08-22T09:18:12.597000+00:00,11348,1292,55,21
2026-08-22T09:18:12.597000+00:00,11348,1292,14,22
2026-08-22T10:03:20.072000+00:00,11348,1292,41,11
2026-08-22T10:03:20.072000+00:00,11348,1292,30,10
2026-08-22T10:03:20.171000+00:00,11348,1292,41,10
2026-08-22T10:03:20.171000+00:00,11348,1292,30,11
2026-08-22T10:03:20.428000+00:00,11348,1292,27,15
2026-08-22T10:03:20.428000+00:00,11348,1292,31,14
2026-08-22T10:03:20.681000+00:00,11348,1292,27,16
2026-08-22T10:03:20.681000+00:00,11348,1292,23,15
2026-08-22T10:03:24.191000+00:00,11348,1292,81,5
2026-08-22T10:03:24.191000+00:00,11348,1292,12,4
2026-08-22T10:03:25.760000+00:00,11348,1292,22,13
2026-08-22T10:03:25.760000+00:00,11348,1292,43,12
2026-08-22T10:03:29.466000+00:00,11348,1292,27,17
2026-08-22T10:03:29.466000+00:00,11348,1292,23,16
2026-08-22T10:03:29.466000+00:00,11348,1292,87,15
2026-08-22T10:03:33.403000+00:00,11348,1292,11,21
2026-08-22T10:03:33.403000+00:00,11348,1292,55,20
2026-08-22T10:03:33.778000+00:00,11348,1292,11,22
2026-08-22T10:03:33.778000+00:00,11348,1292,14,21
2026-08-22T10:04:48.995000+00:00,11348,1292,27,18
2026-08-22T10:04:48.995000+00:00,11348,1292,18,17
2026-08-22T10:05:28.487000+00:00,11348,1292,55,21
2026-08-22T10:05:28.487000+00:00,11348,1292,14,20
2026-08-22T10:05:36.802000+00:00,11348,1292,55,20
2026-08-22T10:05:36.802000+00:00,11348,1292,14,21
2026-08-22T10:05:45.493000+00:00,11348,1292,55,21
2026-08-22T10:05:45.493000+00:00,11348,1292,14,20
2026-08-22T10:06:02.392000+00:00,11348,1292,27,19
2026-08-22T10:06:02.392000+00:00,11348,1292,77,18
2026-08-22T10:06:28.280000+00:00,11348,1292,27,20
2026-08-22T10:06:28.280000+00:00,11348,1292,14,19
2026-08-22T10:07:23.044000+00:00,11348,1292,27,21
2026-08-22T10:07:23.044000+00:00,11348,1292,55,20
2026-08-22T10:13:14.751000+00:00,11348,1292,27,22
2026-08-22T10:13:14.751000+00:00,11348,1292,11,21
2026-08-22T10:14:43.373000+00:00,11348,1292,77,19
2026-08-22T10:14:43.373000+00:00,11348,1292,14,18
2026-08-22T10:14:43.658000+00:00,11348,1292,77,18
2026-08-22T10:14:43.658000+00:00,11348,1292,14,19
2026-08-22T10:14:46.218000+00:00,11348,1292,77,19
2026-08-22T10:14:46.218000+00:00,11348,1292,14,18
2026-08-22T10:24:51.926000+00:00,11348,1292,1,3
2026-08-22T10:24:51.926000+00:00,11348,1292,16,2
