date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-05-24T20:50:38.006000+00:00,11291,31,6,,24.9,24.9,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:50:40.850000+00:00,11291,31,16,,30.1,30.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:51:02.188000+00:00,11291,29,77,,24.4,24.4,1285,2026-09-06T22:34:09.123307Z
2026-05-24T20:51:29.219000+00:00,11291,30,31,,35.3,35.3,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:17:51.300000+00:00,11291,49,18,,24.1,24.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:18:25.134000+00:00,11291,52,6,,34.7,34.7,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:18:48.229000+00:00,11291,49,77,,31.1,31.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:18:50.366000+00:00,11291,51,81,,36.1,36.1,1285,2026-09-06T22:34:09.123307Z
2026-05-24T21:31:49.681000+00:00,11291,62,6,,34.8,34.8,1285,2026-09-06T22:34:09.123307Z
2026-06-07T13:05:11.097000+00:00,11299,1,77,,26.7,26.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:05:11.753000+00:00,11299,1,5,,25.9,25.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:05:15.738000+00:00,11299,1,87,,32.1,32.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:07:51.620000+00:00,11299,3,14,,24.9,24.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:09:10.136000+00:00,11299,4,11,,27.1,27.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:09:14.620000+00:00,11299,4,18,,24.8,24.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:15:47.335000+00:00,11299,9,31,,25.4,25.4,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:15:59.835000+00:00,11299,9,11,,19.7,19.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:19:39.858000+00:00,11299,12,27,,24.8,24.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:39:40.204000+00:00,11299,28,44,,24.1,24.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:44:09.388000+00:00,11299,31,63,,24.0,24.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:45:28.474000+00:00,11299,32,6,,24.7,24.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:48:48.285000+00:00,11299,35,16,,25.3,25.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:50:05.535000+00:00,11299,35,43,,25.7,25.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T13:50:58.679000+00:00,11299,37,12,,24.1,24.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:00:37.472000+00:00,11299,43,23,,25.5,25.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:01:33.347000+00:00,11299,43,5,,24.6,24.6,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:01:42.457000+00:00,11299,44,30,,25.6,25.6,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:02:41.495000+00:00,11299,45,10,,25.5,25.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:06:31.029000+00:00,11299,48,81,,24.2,24.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:12:46.971000+00:00,11299,52,55,,25.6,25.6,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:21:17.307000+00:00,11299,58,27,,20.5,20.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:21:25.635000+00:00,11299,59,81,,31.4,31.4,1286,2026-09-06T22:35:01.578206Z
