date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-07-19T13:04:16.293000+00:00,11334,3.987,0.157,1290,6
2026-07-19T13:04:16.346000+00:00,11334,1.528,0.332,1290,41
2026-07-19T13:04:16.473000+00:00,11334,1.709,0.181,1290,30
2026-07-19T13:04:16.512000+00:00,11334,4.23,0.243,1290,77
2026-07-19T13:04:16.745000+00:00,11334,4.473,0.243,1290,14
2026-07-19T13:04:16.756000+00:00,11334,2.009,0.3,1290,43
2026-07-19T13:04:16.957000+00:00,11334,2.192,0.183,1290,5
2026-07-19T13:04:16.982000+00:00,11334,4.688,0.215,1290,18
2026-07-19T13:04:17.200000+00:00,11334,2.425,0.233,1290,1
2026-07-19T13:04:17.375000+00:00,11334,2.605,0.18,1290,10
2026-07-19T13:04:17.495000+00:00,11334,2.729,0.124,1290,87
2026-07-19T13:04:17.647000+00:00,11334,2.848,0.119,1290,23
2026-07-19T13:04:17.728000+00:00,11334,2.974,0.126,1290,27
2026-07-19T13:04:18.003000+00:00,11334,3.25,0.276,1290,31
2026-07-19T13:04:18.486000+00:00,11334,0.183,0.183,1290,12
2026-07-19T13:04:18.525000+00:00,11334,3.763,0.513,1290,55
2026-07-19T13:04:18.839000+00:00,11334,4.062,0.299,1290,11
2026-07-19T13:04:18.886000+00:00,11334,0.546,0.363,1290,63
2026-07-19T13:04:18.987000+00:00,11334,4.208,0.146,1290,6
2026-07-19T13:04:19.045000+00:00,11334,0.695,0.149,1290,16
2026-07-19T13:04:19.210000+00:00,11334,0.912,0.217,1290,44
2026-07-19T13:04:19.359000+00:00,11334,4.554,0.346,1290,77
2026-07-19T13:04:19.359000+00:00,11334,1.014,0.102,1290,81
2026-07-19T13:04:19.494000+00:00,11334,4.735,0.181,1290,14
2026-07-19T13:04:19.687000+00:00,11334,1.375,0.361,1290,41
2026-07-19T13:04:19.773000+00:00,11334,5.007,0.272,1290,18
2026-07-19T13:04:19.857000+00:00,11334,1.547,0.172,1290,30
2026-07-19T13:04:20.177000+00:00,11334,1.875,0.328,1290,43
2026-07-19T13:04:20.360000+00:00,11334,2.053,0.178,1290,5
2026-07-19T13:04:20.588000+00:00,11334,2.293,0.24,1290,1
2026-07-19T13:04:20.829000+00:00,11334,2.512,0.219,1290,10
2026-07-19T13:04:20.957000+00:00,11334,2.65,0.138,1290,87
2026-07-19T13:04:21.106000+00:00,11334,2.793,0.143,1290,23
2026-07-19T13:04:21.169000+00:00,11334,2.882,0.089,1290,27
2026-07-19T13:04:21.387000+00:00,11334,3.065,0.183,1290,31
2026-07-19T13:04:21.559000+00:00,11334,0.049,0.049,1290,12
2026-07-19T13:04:21.968000+00:00,11334,0.418,,1290,16
2026-07-19T13:04:22.035000+00:00,11334,3.64,0.575,1290,55
2026-07-19T13:04:22.035000+00:00,11334,0.505,0.087,1290,63
2026-07-19T13:04:22.158000+00:00,11334,0.651,0.146,1290,44
2026-07-19T13:04:22.228000+00:00,11334,0.718,0.067,1290,81
2026-07-19T13:04:22.365000+00:00,11334,4.052,0.412,1290,11
2026-07-19T13:04:22.437000+00:00,11334,4.141,0.089,1290,6
2026-07-19T13:04:22.715000+00:00,11334,1.208,0.49,1290,41
2026-07-19T13:04:22.853000+00:00,11334,1.351,0.143,1290,30
2026-07-19T13:04:22.903000+00:00,11334,4.585,0.444,1290,77
2026-07-19T13:04:23.084000+00:00,11334,4.768,0.183,1290,14
2026-07-19T13:04:23.185000+00:00,11334,1.642,0.291,1290,43
2026-07-19T13:04:23.265000+00:00,11334,1.761,0.119,1290,5
2026-07-19T13:04:23.524000+00:00,11334,5.041,0.273,1290,18
2026-07-19T13:04:23.613000+00:00,11334,1.984,0.223,1290,1
2026-07-19T13:04:23.717000+00:00,11334,2.202,0.218,1290,10
2026-07-19T13:04:23.866000+00:00,11334,2.337,0.135,1290,87
2026-07-19T13:04:24+00:00,11334,2.491,0.154,1290,23
2026-07-19T13:04:24.059000+00:00,11334,2.562,0.071,1290,27
2026-07-19T13:04:24.239000+00:00,11334,2.735,0.173,1290,31
2026-07-19T13:04:24.873000+00:00,11334,3.371,0.636,1290,55
2026-07-19T13:04:25.364000+00:00,11334,3.808,0.437,1290,11
2026-07-19T13:04:25.388000+00:00,11334,3.893,0.085,1290,6
2026-07-19T13:04:25.733000+00:00,11334,0.0,0.0,1290,12
2026-07-19T13:04:25.911000+00:00,11334,4.343,0.499,1290,77
2026-07-19T13:04:25.957000+00:00,11334,0.102,0.102,1290,3
2026-07-19T13:04:25.957000+00:00,11334,0.105,0.003,1290,16
2026-07-19T13:04:26.029000+00:00,11334,4.507,0.164,1290,14
2026-07-19T13:04:26.355000+00:00,11334,0.34,0.235,1290,44
2026-07-19T13:04:26.372000+00:00,11334,0.431,0.091,1290,81
2026-07-19T13:04:26.372000+00:00,11334,0.435,0.004,1290,63
2026-07-19T13:04:26.479000+00:00,11334,4.761,0.254,1290,18
2026-07-19T13:04:26.854000+00:00,11334,0.984,0.549,1290,41
2026-07-19T13:04:26.886000+00:00,11334,1.036,0.052,1290,30
2026-07-19T13:04:27.198000+00:00,11334,1.301,0.265,1290,43
2026-07-19T13:04:27.214000+00:00,11334,1.34,0.039,1290,5
2026-07-19T13:04:27.448000+00:00,11334,1.521,0.181,1290,1
2026-07-19T13:04:27.652000+00:00,11334,1.71,0.189,1290,10
2026-07-19T13:04:27.876000+00:00,11334,1.841,0.131,1290,87
2026-07-19T13:04:28.113000+00:00,11334,2.002,0.161,1290,23
2026-07-19T13:04:28.138000+00:00,11334,2.115,0.113,1290,27
2026-07-19T13:04:28.192000+00:00,11334,2.247,0.132,1290,31
2026-07-19T13:04:28.864000+00:00,11334,3.018,0.771,1290,55
2026-07-19T13:04:29.344000+00:00,11334,3.469,0.451,1290,11
2026-07-19T13:04:29.406000+00:00,11334,3.517,0.048,1290,6
2026-07-19T13:04:29.737000+00:00,11334,0.225,0.225,1290,16
2026-07-19T13:04:29.925000+00:00,11334,0.45,0.225,1290,3
2026-07-19T13:04:30.012000+00:00,11334,4.148,0.631,1290,77
2026-07-19T13:04:30.039000+00:00,11334,0.635,0.185,1290,63
2026-07-19T13:04:30.076000+00:00,11334,0.675,0.04,1290,44
2026-07-19T13:04:30.125000+00:00,11334,4.24,0.092,1290,14
2026-07-19T13:04:30.410000+00:00,11334,4.448,0.208,1290,18
2026-07-19T13:04:30.482000+00:00,11334,0.959,0.284,1290,81
2026-07-19T13:04:30.658000+00:00,11334,1.159,0.2,1290,30
2026-07-19T13:04:30.658000+00:00,11334,1.179,0.02,1290,41
2026-07-19T13:04:30.859000+00:00,11334,1.446,0.267,1290,43
2026-07-19T13:04:31.144000+00:00,11334,1.679,0.233,1290,5
2026-07-19T13:04:31.413000+00:00,11334,1.969,0.29,1290,1
2026-07-19T13:04:31.612000+00:00,11334,2.207,0.238,1290,10
2026-07-19T13:04:31.813000+00:00,11334,2.417,0.21,1290,87
2026-07-19T13:04:31.873000+00:00,11334,2.471,0.054,1290,23
2026-07-19T13:04:32.173000+00:00,11334,2.712,0.241,1290,27
2026-07-19T13:04:32.286000+00:00,11334,2.862,0.15,1290,31
2026-07-19T13:04:32.787000+00:00,11334,3.395,0.533,1290,55
2026-07-19T13:04:33.137000+00:00,11334,3.736,0.341,1290,6
2026-07-19T13:04:33.400000+00:00,11334,3.985,0.249,1290,11
2026-07-19T13:04:33.845000+00:00,11334,4.428,0.443,1290,77
2026-07-19T13:04:34.111000+00:00,11334,4.705,0.277,1290,14
2026-07-19T13:04:34.514000+00:00,11334,5.12,0.415,1290,18
2026-07-19T13:04:34.569000+00:00,11334,0.507,0.507,1290,16
2026-07-19T13:04:34.821000+00:00,11334,0.74,0.233,1290,3
2026-07-19T13:04:35.880000+00:00,11334,1.799,1.059,1290,81
2026-07-19T13:04:36.178000+00:00,11334,2.099,0.3,1290,44
2026-07-19T13:04:36.505000+00:00,11334,2.42,0.321,1290,30
2026-07-19T13:04:36.505000+00:00,11334,2.433,0.013,1290,41
2026-07-19T13:04:36.584000+00:00,11334,2.498,0.065,1290,43
2026-07-19T13:04:36.865000+00:00,11334,2.77,0.272,1290,5
2026-07-19T13:04:37.126000+00:00,11334,3.042,0.272,1290,1
2026-07-19T13:04:37.351000+00:00,11334,3.277,0.235,1290,10
2026-07-19T13:04:37.500000+00:00,11334,3.409,0.132,1290,87
2026-07-19T13:04:37.585000+00:00,11334,3.481,0.072,1290,23
2026-07-19T13:04:37.786000+00:00,11334,3.702,0.221,1290,27
2026-07-19T13:04:38.047000+00:00,11334,3.965,0.263,1290,31
2026-07-19T13:04:38.219000+00:00,11334,0.669,0.669,1290,16
2026-07-19T13:04:38.320000+00:00,11334,4.208,0.243,1290,55
2026-07-19T13:04:38.517000+00:00,11334,0.982,0.313,1290,3
2026-07-19T13:04:38.657000+00:00,11334,4.541,0.333,1290,6
2026-07-19T13:04:39.013000+00:00,11334,4.919,0.378,1290,11
2026-07-19T13:04:39.502000+00:00,11334,5.427,0.508,1290,77
2026-07-19T13:04:39.547000+00:00,11334,2.009,1.027,1290,81
2026-07-19T13:04:39.757000+00:00,11334,5.697,0.27,1290,14
2026-07-19T13:04:40.047000+00:00,11334,5.981,0.284,1290,18
2026-07-19T13:04:40.117000+00:00,11334,2.562,0.553,1290,44
2026-07-19T13:04:40.578000+00:00,11334,3.023,0.461,1290,30
2026-07-19T13:04:40.757000+00:00,11334,3.203,0.18,1290,41
2026-07-19T13:04:40.867000+00:00,11334,3.316,0.113,1290,43
2026-07-19T13:04:41+00:00,11334,3.463,0.147,1290,5
2026-07-19T13:04:41.116000+00:00,11334,3.576,0.113,1290,1
2026-07-19T13:04:41.401000+00:00,11334,3.844,0.268,1290,10
2026-07-19T13:04:41.563000+00:00,11334,4.039,0.195,1290,87
2026-07-19T13:04:41.753000+00:00,11334,4.213,0.174,1290,23
2026-07-19T13:04:41.915000+00:00,11334,4.37,0.157,1290,27
2026-07-19T13:04:42.028000+00:00,11334,4.496,0.126,1290,31
2026-07-19T13:04:42.247000+00:00,11334,0.645,0.645,1290,16
2026-07-19T13:04:42.259000+00:00,11334,4.736,0.24,1290,55
2026-07-19T13:04:42.587000+00:00,11334,0.984,0.339,1290,3
2026-07-19T13:04:42.638000+00:00,11334,5.086,0.35,1290,6
2026-07-19T13:04:43.117000+00:00,11334,5.569,0.483,1290,11
2026-07-19T13:04:43.487000+00:00,11334,5.94,0.371,1290,77
