lane,meeting_key,session_key,session_name,session_type,applicable,rows,status
intervals,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
position,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
stints,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
pit,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
starting_grid,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
drivers,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
team_radio,1280,11236,Sprint Qualifying,Qualifying,True,0,zero_rows
weather,1280,11240,Sprint,Race,True,0,zero_rows
race_control,1280,11240,Sprint,Race,True,0,zero_rows
intervals,1280,11240,Sprint,Race,True,0,zero_rows
position,1280,11240,Sprint,Race,True,0,zero_rows
stints,1280,11240,Sprint,Race,True,0,zero_rows
pit,1280,11240,Sprint,Race,True,0,zero_rows
starting_grid,1280,11240,Sprint,Race,True,0,zero_rows
drivers,1280,11240,Sprint,Race,True,0,zero_rows
team_radio,1280,11240,Sprint,Race,True,0,zero_rows
weather,1280,11241,Qualifying,Qualifying,True,0,zero_rows
race_control,1280,11241,Qualifying,Qualifying,True,0,zero_rows
intervals,1280,11241,Qualifying,Qualifying,True,0,zero_rows
position,1280,11241,Qualifying,Qualifying,True,0,zero_rows
stints,1280,11241,Qualifying,Qualifying,True,0,zero_rows
pit,1280,11241,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1280,11241,Qualifying,Qualifying,True,0,zero_rows
drivers,1280,11241,Qualifying,Qualifying,True,21,pass
team_radio,1280,11241,Qualifying,Qualifying,True,0,zero_rows
weather,1280,11245,Race,Race,True,152,pass
race_control,1280,11245,Race,Race,True,88,pass
intervals,1280,11245,Race,Race,True,20663,pass
position,1280,11245,Race,Race,True,524,pass
stints,1280,11245,Race,Race,True,41,pass
pit,1280,11245,Race,Race,True,0,zero_rows
starting_grid,1280,11245,Race,Race,True,0,zero_rows
drivers,1280,11245,Race,Race,True,0,zero_rows
team_radio,1280,11245,Race,Race,True,0,zero_rows
weather,1281,11246,Practice 1,Practice,True,0,zero_rows
race_control,1281,11246,Practice 1,Practice,True,0,zero_rows
intervals,1281,11246,Practice 1,Practice,True,0,zero_rows
position,1281,11246,Practice 1,Practice,True,0,zero_rows
stints,1281,11246,Practice 1,Practice,True,0,zero_rows
pit,1281,11246,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1281,11246,Practice 1,Practice,True,0,zero_rows
drivers,1281,11246,Practice 1,Practice,True,0,zero_rows
team_radio,1281,11246,Practice 1,Practice,True,0,zero_rows
weather,1281,11247,Practice 2,Practice,True,0,zero_rows
race_control,1281,11247,Practice 2,Practice,True,0,zero_rows
intervals,1281,11247,Practice 2,Practice,True,0,zero_rows
position,1281,11247,Practice 2,Practice,True,0,zero_rows
stints,1281,11247,Practice 2,Practice,True,0,zero_rows
pit,1281,11247,Practice 2,Practice,False,0,skipped_not_applicable
starting_grid,1281,11247,Practice 2,Practice,True,0,zero_rows
drivers,1281,11247,Practice 2,Practice,True,0,zero_rows
team_radio,1281,11247,Practice 2,Practice,True,0,zero_rows
weather,1281,11248,Practice 3,Practice,True,0,zero_rows
race_control,1281,11248,Practice 3,Practice,True,0,zero_rows
intervals,1281,11248,Practice 3,Practice,True,0,zero_rows
