date,session_key,pit_duration,lane_duration,meeting_key,lap_number,driver_number,stop_duration,source_closure_retrieved_utc
2026-05-02T16:25:14.670000+00:00,11275,40.821,40.821,1284,13,23,20.6,2026-07-24T08:51:11.331300Z
2026-06-14T13:19:06.289000+00:00,11307,22.48,22.48,1287,11,44,2.5,2026-07-24T08:54:10.804983Z
2026-06-14T13:19:32.167000+00:00,11307,25.983,25.983,1287,11,30,6.3,2026-07-24T08:54:10.804983Z
2026-06-14T13:20:25.691000+00:00,11307,22.08,22.08,1287,12,63,2.4,2026-07-24T08:54:10.804983Z
2026-06-14T13:20:38.434000+00:00,11307,22.273,22.273,1287,12,3,2.5,2026-07-24T08:54:10.804983Z
2026-06-14T13:21:02.197000+00:00,11307,22.983,22.983,1287,12,43,3.3,2026-07-24T08:54:10.804983Z
2026-06-14T13:21:18.159000+00:00,11307,24.805,24.805,1287,12,11,4.2,2026-07-24T08:54:10.804983Z
2026-06-14T13:21:56.796000+00:00,11307,21.7,21.7,1287,13,1,,2026-07-24T08:54:10.804983Z
2026-06-14T13:22:21.978000+00:00,11307,22.869,22.869,1287,13,27,2.6,2026-07-24T08:54:10.804983Z
2026-06-14T13:22:36.805000+00:00,11307,23.256,23.256,1287,13,31,3.4,2026-07-24T08:54:10.804983Z
2026-06-14T13:22:40.415000+00:00,11307,24.005,24.005,1287,13,23,5.0,2026-07-24T08:54:10.804983Z
2026-06-14T13:23:17.696000+00:00,11307,22.038,22.038,1287,14,12,2.6,2026-07-24T08:54:10.804983Z
2026-06-14T13:23:29.775000+00:00,11307,21.776,21.776,1287,14,81,2.2,2026-07-24T08:54:10.804983Z
2026-06-14T13:23:54.707000+00:00,11307,22.682,22.682,1287,14,10,3.0,2026-07-24T08:54:10.804983Z
2026-06-14T13:23:58.472000+00:00,11307,22.977,22.977,1287,14,55,3.4,2026-07-24T08:54:10.804983Z
2026-06-14T13:24:22.993000+00:00,11307,23.28,23.28,1287,14,77,2.9,2026-07-24T08:54:10.804983Z
2026-06-14T13:25:11.329000+00:00,11307,22.444,22.444,1287,15,6,2.7,2026-07-24T08:54:10.804983Z
2026-06-14T13:25:30.323000+00:00,11307,22.783,22.783,1287,15,5,2.6,2026-07-24T08:54:10.804983Z
2026-06-14T13:26:14.211000+00:00,11307,22.249,22.249,1287,16,16,,2026-07-24T08:54:10.804983Z
2026-06-14T13:29:49.096000+00:00,11307,23.118,23.118,1287,18,87,3.6,2026-07-24T08:54:10.804983Z
2026-06-14T13:34:34.480000+00:00,11307,22.22,22.22,1287,21,14,2.4,2026-07-24T08:54:10.804983Z
