date,session_key,meeting_key,driver_number,gap_to_leader,interval
2026-06-28T13:03:32.848000+00:00,11315,1288,44,0.604,0.364
2026-06-28T13:03:32.952000+00:00,11315,1288,12,0.707,0.103
2026-06-28T13:03:33.278000+00:00,11315,1288,3,1.041,0.334
2026-06-28T13:03:33.456000+00:00,11315,1288,1,1.202,0.161
2026-06-28T13:03:33.796000+00:00,11315,1288,81,1.518,0.316
2026-06-28T13:03:33.904000+00:00,11315,1288,6,1.649,0.131
2026-06-28T13:03:34.104000+00:00,11315,1288,30,1.817,0.168
2026-06-28T13:03:34.399000+00:00,11315,1288,41,2.161,0.344
2026-06-28T13:03:34.628000+00:00,11315,1288,10,2.387,0.226
2026-06-28T13:03:34.679000+00:00,11315,1288,5,2.444,0.057
2026-06-28T13:03:34.965000+00:00,11315,1288,31,2.679,0.235
2026-06-28T13:03:35.168000+00:00,11315,1288,27,2.893,0.214
2026-06-28T13:03:35.220000+00:00,11315,1288,87,2.975,0.082
2026-06-28T13:03:35.508000+00:00,11315,1288,16,0.261,0.261
2026-06-28T13:03:35.633000+00:00,11315,1288,55,3.413,0.438
2026-06-28T13:03:35.653000+00:00,11315,1288,23,3.424,0.011
2026-06-28T13:03:35.768000+00:00,11315,1288,11,3.534,0.11
2026-06-28T13:03:35.884000+00:00,11315,1288,44,0.616,0.355
2026-06-28T13:03:36.068000+00:00,11315,1288,77,3.797,0.263
2026-06-28T13:03:36.079000+00:00,11315,1288,43,3.825,0.028
2026-06-28T13:03:36.082000+00:00,11315,1288,12,0.8,0.184
2026-06-28T13:03:36.239000+00:00,11315,1288,14,3.99,0.165
2026-06-28T13:03:36.312000+00:00,11315,1288,3,1.048,0.248
2026-06-28T13:03:36.357000+00:00,11315,1288,18,4.103,0.113
2026-06-28T13:03:36.447000+00:00,11315,1288,1,,0.154
2026-06-28T13:03:36.893000+00:00,11315,1288,81,1.61,0.408
2026-06-28T13:03:36.998000+00:00,11315,1288,6,1.745,0.135
2026-06-28T13:03:37.125000+00:00,11315,1288,30,1.824,0.079
2026-06-28T13:03:37.466000+00:00,11315,1288,41,2.189,0.365
2026-06-28T13:03:37.730000+00:00,11315,1288,5,2.483,0.294
2026-06-28T13:03:37.828000+00:00,11315,1288,10,2.564,0.081
2026-06-28T13:03:37.837000+00:00,11315,1288,16,0.248,0.248
2026-06-28T13:03:37.963000+00:00,11315,1288,31,2.706,0.142
2026-06-28T13:03:38.159000+00:00,11315,1288,44,0.59,0.342
2026-06-28T13:03:38.200000+00:00,11315,1288,27,2.944,0.238
2026-06-28T13:03:38.271000+00:00,11315,1288,87,3.021,0.077
2026-06-28T13:03:38.366000+00:00,11315,1288,12,0.776,0.186
2026-06-28T13:03:38.628000+00:00,11315,1288,3,1.033,0.257
2026-06-28T13:03:38.753000+00:00,11315,1288,1,1.132,0.099
2026-06-28T13:03:38.803000+00:00,11315,1288,55,3.517,0.496
2026-06-28T13:03:38.815000+00:00,11315,1288,23,3.552,0.035
2026-06-28T13:03:39.071000+00:00,11315,1288,11,3.728,0.176
2026-06-28T13:03:39.117000+00:00,11315,1288,77,3.856,0.128
2026-06-28T13:03:39.165000+00:00,11315,1288,81,1.574,0.442
2026-06-28T13:03:39.270000+00:00,11315,1288,6,1.691,0.117
2026-06-28T13:03:39.353000+00:00,11315,1288,30,1.77,
2026-06-28T13:03:39.395000+00:00,11315,1288,14,4.136,0.28
2026-06-28T13:03:39.426000+00:00,11315,1288,43,4.146,0.01
2026-06-28T13:03:39.720000+00:00,11315,1288,18,4.185,0.039
2026-06-28T13:03:39.735000+00:00,11315,1288,41,2.148,0.378
2026-06-28T13:03:40.069000+00:00,11315,1288,5,2.459,0.311
2026-06-28T13:03:40.230000+00:00,11315,1288,10,2.631,0.172
2026-06-28T13:03:40.314000+00:00,11315,1288,16,0.198,0.198
2026-06-28T13:03:40.315000+00:00,11315,1288,31,2.692,0.061
2026-06-28T13:03:40.497000+00:00,11315,1288,27,2.905,0.213
2026-06-28T13:03:40.568000+00:00,11315,1288,87,2.986,0.081
2026-06-28T13:03:40.638000+00:00,11315,1288,44,0.519,0.321
2026-06-28T13:03:40.792000+00:00,11315,1288,12,0.679,0.16
2026-06-28T13:03:41.146000+00:00,11315,1288,3,1.008,0.329
2026-06-28T13:03:41.149000+00:00,11315,1288,55,3.531,0.545
2026-06-28T13:03:41.190000+00:00,11315,1288,1,1.06,0.052
2026-06-28T13:03:41.195000+00:00,11315,1288,23,3.571,0.04
2026-06-28T13:03:41.315000+00:00,11315,1288,11,3.716,0.145
2026-06-28T13:03:41.407000+00:00,11315,1288,77,3.823,0.107
2026-06-28T13:03:41.582000+00:00,11315,1288,81,1.456,0.396
2026-06-28T13:03:41.751000+00:00,11315,1288,30,1.632,0.176
2026-06-28T13:03:41.770000+00:00,11315,1288,14,4.157,0.334
2026-06-28T13:03:41.791000+00:00,11315,1288,18,4.195,0.038
2026-06-28T13:03:41.918000+00:00,11315,1288,43,4.312,0.117
2026-06-28T13:03:41.932000+00:00,11315,1288,6,1.547,0.091
2026-06-28T13:03:42.168000+00:00,11315,1288,41,2.062,0.43
2026-06-28T13:03:42.480000+00:00,11315,1288,5,2.352,0.29
2026-06-28T13:03:42.611000+00:00,11315,1288,16,0.056,0.056
2026-06-28T13:03:42.764000+00:00,11315,1288,10,2.626,0.274
2026-06-28T13:03:42.824000+00:00,11315,1288,31,2.698,0.072
2026-06-28T13:03:42.928000+00:00,11315,1288,27,2.816,0.118
2026-06-28T13:03:43.010000+00:00,11315,1288,87,2.898,0.082
2026-06-28T13:03:43.087000+00:00,11315,1288,44,0.476,0.42
2026-06-28T13:03:43.232000+00:00,11315,1288,12,0.64,0.164
2026-06-28T13:03:43.578000+00:00,11315,1288,55,3.464,0.566
2026-06-28T13:03:43.606000+00:00,11315,1288,3,1.028,0.388
2026-06-28T13:03:43.669000+00:00,11315,1288,23,3.563,0.099
2026-06-28T13:03:43.757000+00:00,11315,1288,11,3.64,0.077
2026-06-28T13:03:43.768000+00:00,11315,1288,1,1.203,0.175
2026-06-28T13:03:43.916000+00:00,11315,1288,77,3.784,0.144
2026-06-28T13:03:44.008000+00:00,11315,1288,81,1.394,0.191
2026-06-28T13:03:44.236000+00:00,11315,1288,14,4.101,0.317
2026-06-28T13:03:44.236000+00:00,11315,1288,6,1.639,0.245
2026-06-28T13:03:44.303000+00:00,11315,1288,18,4.16,0.059
2026-06-28T13:03:44.314000+00:00,11315,1288,30,1.697,0.058
2026-06-28T13:03:44.504000+00:00,11315,1288,43,4.372,0.212
2026-06-28T13:03:44.870000+00:00,11315,1288,41,2.083,0.386
2026-06-28T13:03:45.005000+00:00,11315,1288,5,2.446,0.363
2026-06-28T13:03:45.393000+00:00,11315,1288,10,2.81,0.364
2026-06-28T13:03:45.451000+00:00,11315,1288,31,2.865,0.055
2026-06-28T13:03:45.723000+00:00,11315,1288,27,3.122,0.257
2026-06-28T13:03:45.759000+00:00,11315,1288,87,3.15,0.028
2026-06-28T13:03:46.211000+00:00,11315,1288,55,3.66,0.51
2026-06-28T13:03:46.460000+00:00,11315,1288,23,3.888,0.228
2026-06-28T13:03:46.481000+00:00,11315,1288,11,3.908,0.02
2026-06-28T13:03:46.689000+00:00,11315,1288,77,4.135,0.227
2026-06-28T13:03:46.939000+00:00,11315,1288,14,4.372,0.237
2026-06-28T13:03:47.006000+00:00,11315,1288,18,4.464,0.092
2026-06-28T13:03:47.441000+00:00,11315,1288,43,4.849,0.385
2026-06-28T13:03:48.569000+00:00,11315,1288,16,0.48,0.48
2026-06-28T13:03:48.732000+00:00,11315,1288,44,0.648,0.168
2026-06-28T13:03:49.292000+00:00,11315,1288,12,1.203,0.555
2026-06-28T13:03:49.560000+00:00,11315,1288,3,1.48,0.277
2026-06-28T13:03:49.977000+00:00,11315,1288,1,1.875,0.395
2026-06-28T13:03:50.043000+00:00,11315,1288,81,1.934,0.059
2026-06-28T13:03:50.139000+00:00,11315,1288,30,2.015,0.081
2026-06-28T13:03:50.454000+00:00,11315,1288,6,2.38,0.365
2026-06-28T13:03:50.751000+00:00,11315,1288,41,2.676,0.296
2026-06-28T13:03:51.160000+00:00,11315,1288,5,3.071,0.395
2026-06-28T13:03:51.449000+00:00,11315,1288,10,3.363,0.292
2026-06-28T13:03:51.487000+00:00,11315,1288,31,3.394,0.031
2026-06-28T13:03:51.842000+00:00,11315,1288,27,3.724,0.33
2026-06-28T13:03:51.855000+00:00,11315,1288,87,3.733,0.009
2026-06-28T13:03:52.390000+00:00,11315,1288,55,4.317,0.584
