date,session_key,position,driver_number,meeting_key
2026-06-28T13:05:21.391000+00:00,11315,3,3,1288
2026-06-28T13:05:36.670000+00:00,11315,22,77,1288
2026-06-28T13:05:36.670000+00:00,11315,21,18,1288
2026-06-28T13:07:42.781000+00:00,11315,18,43,1288
2026-06-28T13:07:42.781000+00:00,11315,19,11,1288
2026-06-28T13:07:46.480000+00:00,11315,8,6,1288
2026-06-28T13:07:46.480000+00:00,11315,9,30,1288
2026-06-28T13:08:22.045000+00:00,11315,20,11,1288
2026-06-28T13:08:22.045000+00:00,11315,19,14,1288
2026-06-28T13:08:31.160000+00:00,11315,21,11,1288
2026-06-28T13:08:31.160000+00:00,11315,20,18,1288
2026-06-28T13:11:30.593000+00:00,11315,11,5,1288
2026-06-28T13:11:30.593000+00:00,11315,12,31,1288
2026-06-28T13:11:42.151000+00:00,11315,5,16,1288
2026-06-28T13:11:42.151000+00:00,11315,4,12,1288
2026-06-28T13:11:49.575000+00:00,11315,8,1,1288
2026-06-28T13:11:49.575000+00:00,11315,7,6,1288
2026-06-28T13:11:52.510000+00:00,11315,9,1,1288
2026-06-28T13:11:52.510000+00:00,11315,8,30,1288
2026-06-28T13:11:53.665000+00:00,11315,10,1,1288
2026-06-28T13:11:53.665000+00:00,11315,9,41,1288
2026-06-28T13:11:55.979000+00:00,11315,7,1,1288
2026-06-28T13:11:55.979000+00:00,11315,8,6,1288
2026-06-28T13:11:55.979000+00:00,11315,9,30,1288
2026-06-28T13:11:55.979000+00:00,11315,10,41,1288
2026-06-28T13:15:52.354000+00:00,11315,3,44,1288
2026-06-28T13:15:52.354000+00:00,11315,2,3,1288
2026-06-28T13:15:59.637000+00:00,11315,2,44,1288
2026-06-28T13:15:59.637000+00:00,11315,3,3,1288
2026-06-28T13:16:12.003000+00:00,11315,3,44,1288
2026-06-28T13:16:12.003000+00:00,11315,2,3,1288
2026-06-28T13:16:16.088000+00:00,11315,12,10,1288
2026-06-28T13:16:16.088000+00:00,11315,13,31,1288
2026-06-28T13:16:17.608000+00:00,11315,2,44,1288
2026-06-28T13:16:17.608000+00:00,11315,3,3,1288
2026-06-28T13:16:20.753000+00:00,11315,13,10,1288
2026-06-28T13:16:20.753000+00:00,11315,12,31,1288
2026-06-28T13:17:47.556000+00:00,11315,3,44,1288
2026-06-28T13:17:47.556000+00:00,11315,2,3,1288
2026-06-28T13:17:56.372000+00:00,11315,4,44,1288
2026-06-28T13:17:56.372000+00:00,11315,3,12,1288
2026-06-28T13:18:02.637000+00:00,11315,4,16,1288
2026-06-28T13:18:02.637000+00:00,11315,5,44,1288
2026-06-28T13:18:03.863000+00:00,11315,6,44,1288
2026-06-28T13:18:03.863000+00:00,11315,5,81,1288
2026-06-28T13:18:05.252000+00:00,11315,7,44,1288
2026-06-28T13:18:05.252000+00:00,11315,6,1,1288
2026-06-28T13:18:06.546000+00:00,11315,8,44,1288
2026-06-28T13:18:06.546000+00:00,11315,7,6,1288
2026-06-28T13:18:11.133000+00:00,11315,9,44,1288
2026-06-28T13:18:11.133000+00:00,11315,8,30,1288
2026-06-28T13:18:14.108000+00:00,11315,10,44,1288
2026-06-28T13:18:14.108000+00:00,11315,9,41,1288
2026-06-28T13:18:23.211000+00:00,11315,11,44,1288
2026-06-28T13:18:23.211000+00:00,11315,10,5,1288
2026-06-28T13:19:14.235000+00:00,11315,5,16,1288
2026-06-28T13:19:14.235000+00:00,11315,4,81,1288
2026-06-28T13:19:15.438000+00:00,11315,6,16,1288
2026-06-28T13:19:15.438000+00:00,11315,5,1,1288
2026-06-28T13:19:16.739000+00:00,11315,7,16,1288
2026-06-28T13:19:16.739000+00:00,11315,6,6,1288
2026-06-28T13:19:24.981000+00:00,11315,8,16,1288
2026-06-28T13:19:24.981000+00:00,11315,7,30,1288
2026-06-28T13:19:27.762000+00:00,11315,9,16,1288
2026-06-28T13:19:27.762000+00:00,11315,8,41,1288
2026-06-28T13:19:28.862000+00:00,11315,14,10,1288
2026-06-28T13:19:28.862000+00:00,11315,13,27,1288
2026-06-28T13:19:31.096000+00:00,11315,10,16,1288
2026-06-28T13:19:31.096000+00:00,11315,9,5,1288
2026-06-28T13:19:31.129000+00:00,11315,11,16,1288
2026-06-28T13:19:31.129000+00:00,11315,10,44,1288
2026-06-28T13:19:37.109000+00:00,11315,9,44,1288
2026-06-28T13:19:37.109000+00:00,11315,10,5,1288
2026-06-28T13:19:38.307000+00:00,11315,15,10,1288
2026-06-28T13:19:38.307000+00:00,11315,14,87,1288
2026-06-28T13:19:39.250000+00:00,11315,16,10,1288
2026-06-28T13:19:39.250000+00:00,11315,15,55,1288
2026-06-28T13:19:44.507000+00:00,11315,17,10,1288
2026-06-28T13:19:44.507000+00:00,11315,16,23,1288
2026-06-28T13:19:45.351000+00:00,11315,18,10,1288
2026-06-28T13:19:45.351000+00:00,11315,17,43,1288
2026-06-28T13:19:52.720000+00:00,11315,19,10,1288
2026-06-28T13:19:52.720000+00:00,11315,18,14,1288
2026-06-28T13:19:54.362000+00:00,11315,20,10,1288
2026-06-28T13:19:54.362000+00:00,11315,19,18,1288
2026-06-28T13:20:56.058000+00:00,11315,16,55,1288
2026-06-28T13:20:56.058000+00:00,11315,15,23,1288
2026-06-28T13:21:01.822000+00:00,11315,16,43,1288
2026-06-28T13:21:01.822000+00:00,11315,17,55,1288
2026-06-28T13:21:08.677000+00:00,11315,18,55,1288
2026-06-28T13:21:08.677000+00:00,11315,17,14,1288
2026-06-28T13:21:10.370000+00:00,11315,19,55,1288
2026-06-28T13:21:10.370000+00:00,11315,18,18,1288
2026-06-28T13:21:14.063000+00:00,11315,19,10,1288
2026-06-28T13:21:14.063000+00:00,11315,20,55,1288
2026-06-28T13:22:18.264000+00:00,11315,8,44,1288
2026-06-28T13:22:18.264000+00:00,11315,9,41,1288
2026-06-28T13:22:46.997000+00:00,11315,12,27,1288
2026-06-28T13:22:46.997000+00:00,11315,13,31,1288
2026-06-28T13:22:48.851000+00:00,11315,18,10,1288
2026-06-28T13:22:48.851000+00:00,11315,19,18,1288
2026-06-28T13:22:51.266000+00:00,11315,13,27,1288
2026-06-28T13:22:51.266000+00:00,11315,12,31,1288
2026-06-28T13:22:57.141000+00:00,11315,12,27,1288
2026-06-28T13:22:57.141000+00:00,11315,13,31,1288
2026-06-28T13:23:46.686000+00:00,11315,17,10,1288
2026-06-28T13:23:46.686000+00:00,11315,18,14,1288
2026-06-28T13:24:17.545000+00:00,11315,10,16,1288
2026-06-28T13:24:17.545000+00:00,11315,11,5,1288
2026-06-28T13:24:37.404000+00:00,11315,7,44,1288
2026-06-28T13:24:37.404000+00:00,11315,8,30,1288
2026-06-28T13:24:39.731000+00:00,11315,12,5,1288
2026-06-28T13:24:39.731000+00:00,11315,11,27,1288
2026-06-28T13:24:40.665000+00:00,11315,13,5,1288
2026-06-28T13:24:40.665000+00:00,11315,12,31,1288
2026-06-28T13:24:41.524000+00:00,11315,14,5,1288
2026-06-28T13:24:41.524000+00:00,11315,13,87,1288
2026-06-28T13:24:44.331000+00:00,11315,15,5,1288
2026-06-28T13:24:44.331000+00:00,11315,14,23,1288
2026-06-28T13:24:45.990000+00:00,11315,16,5,1288
2026-06-28T13:24:45.990000+00:00,11315,15,43,1288
2026-06-28T13:25:13.028000+00:00,11315,2,12,1288
2026-06-28T13:25:13.028000+00:00,11315,3,3,1288
2026-06-28T13:25:24.088000+00:00,11315,4,3,1288
2026-06-28T13:25:24.088000+00:00,11315,3,81,1288
2026-06-28T13:25:25.581000+00:00,11315,5,3,1288
2026-06-28T13:25:25.581000+00:00,11315,4,1,1288
2026-06-28T13:25:33.499000+00:00,11315,6,44,1288
2026-06-28T13:25:33.499000+00:00,11315,7,6,1288
2026-06-28T13:25:35.902000+00:00,11315,8,6,1288
2026-06-28T13:25:35.902000+00:00,11315,7,30,1288
2026-06-28T13:25:37.688000+00:00,11315,9,16,1288
2026-06-28T13:25:37.688000+00:00,11315,10,41,1288
2026-06-28T13:25:39.389000+00:00,11315,5,44,1288
2026-06-28T13:25:39.389000+00:00,11315,6,3,1288
2026-06-28T13:25:41.157000+00:00,11315,8,16,1288
2026-06-28T13:25:41.157000+00:00,11315,9,6,1288
2026-06-28T13:25:53.571000+00:00,11315,12,87,1288
2026-06-28T13:25:53.571000+00:00,11315,13,31,1288
2026-06-28T13:25:54.478000+00:00,11315,11,41,1288
2026-06-28T13:25:54.478000+00:00,11315,10,27,1288
2026-06-28T13:25:57.110000+00:00,11315,14,43,1288
2026-06-28T13:25:57.110000+00:00,11315,15,23,1288
2026-06-28T13:25:59.384000+00:00,11315,15,5,1288
2026-06-28T13:25:59.384000+00:00,11315,16,23,1288
2026-06-28T13:26:00.457000+00:00,11315,14,31,1288
2026-06-28T13:26:00.457000+00:00,11315,13,43,1288
2026-06-28T13:26:02.897000+00:00,11315,14,5,1288
2026-06-28T13:26:02.897000+00:00,11315,15,31,1288
2026-06-28T13:26:03.212000+00:00,11315,12,41,1288
2026-06-28T13:26:03.212000+00:00,11315,11,87,1288
2026-06-28T13:26:06.678000+00:00,11315,15,10,1288
2026-06-28T13:26:06.678000+00:00,11315,16,31,1288
2026-06-28T13:26:06.678000+00:00,11315,17,23,1288
2026-06-28T13:26:12.322000+00:00,11315,17,31,1288
2026-06-28T13:26:12.322000+00:00,11315,18,23,1288
2026-06-28T13:26:12.322000+00:00,11315,16,14,1288
2026-06-28T13:26:14.415000+00:00,11315,18,31,1288
2026-06-28T13:26:14.415000+00:00,11315,19,23,1288
2026-06-28T13:26:14.415000+00:00,11315,17,18,1288
2026-06-28T13:26:15.504000+00:00,11315,19,55,1288
2026-06-28T13:26:15.504000+00:00,11315,20,23,1288
2026-06-28T13:26:23.293000+00:00,11315,19,31,1288
2026-06-28T13:26:23.293000+00:00,11315,18,55,1288
2026-06-28T13:26:28.919000+00:00,11315,2,63,1288
2026-06-28T13:26:28.919000+00:00,11315,1,12,1288
2026-06-28T13:26:36.530000+00:00,11315,3,1,1288
2026-06-28T13:26:36.530000+00:00,11315,4,81,1288
2026-06-28T13:26:39.951000+00:00,11315,3,63,1288
2026-06-28T13:26:39.951000+00:00,11315,2,1,1288
2026-06-28T13:26:45.870000+00:00,11315,4,44,1288
2026-06-28T13:26:45.870000+00:00,11315,5,81,1288
2026-06-28T13:26:47.163000+00:00,11315,5,3,1288
2026-06-28T13:26:47.163000+00:00,11315,6,81,1288
2026-06-28T13:26:49.908000+00:00,11315,7,16,1288
2026-06-28T13:26:49.908000+00:00,11315,8,30,1288
2026-06-28T13:26:51.973000+00:00,11315,17,55,1288
2026-06-28T13:26:51.973000+00:00,11315,18,18,1288
2026-06-28T13:26:53.364000+00:00,11315,6,16,1288
2026-06-28T13:26:53.364000+00:00,11315,7,81,1288
2026-06-28T13:27:01.003000+00:00,11315,8,6,1288
2026-06-28T13:27:01.003000+00:00,11315,9,30,1288
2026-06-28T13:27:15.055000+00:00,11315,10,30,1288
2026-06-28T13:27:15.055000+00:00,11315,9,27,1288
2026-06-28T13:27:28.166000+00:00,11315,11,30,1288
2026-06-28T13:27:28.166000+00:00,11315,10,41,1288
2026-06-28T13:27:28.166000+00:00,11315,12,87,1288
2026-06-28T13:27:34.370000+00:00,11315,12,30,1288
2026-06-28T13:27:34.370000+00:00,11315,11,87,1288
2026-06-28T13:27:39.067000+00:00,11315,11,41,1288
2026-06-28T13:27:39.067000+00:00,11315,10,87,1288
2026-06-28T13:27:41.173000+00:00,11315,10,30,1288
2026-06-28T13:27:41.173000+00:00,11315,12,41,1288
2026-06-28T13:27:41.173000+00:00,11315,11,87,1288
2026-06-28T13:27:42.360000+00:00,11315,13,5,1288
2026-06-28T13:27:42.360000+00:00,11315,14,43,1288
2026-06-28T13:27:49.430000+00:00,11315,11,41,1288
2026-06-28T13:27:49.430000+00:00,11315,12,87,1288
2026-06-28T13:28:05.925000+00:00,11315,16,55,1288
2026-06-28T13:28:05.925000+00:00,11315,17,14,1288
2026-06-28T13:28:29.182000+00:00,11315,14,10,1288
2026-06-28T13:28:29.182000+00:00,11315,15,43,1288
2026-06-28T13:28:31.891000+00:00,11315,18,31,1288
2026-06-28T13:28:31.891000+00:00,11315,19,18,1288
2026-06-28T13:28:43.357000+00:00,11315,16,43,1288
2026-06-28T13:28:43.357000+00:00,11315,15,55,1288
2026-06-28T13:28:44.334000+00:00,11315,17,43,1288
2026-06-28T13:28:44.334000+00:00,11315,16,14,1288
2026-06-28T13:28:46.741000+00:00,11315,17,31,1288
2026-06-28T13:28:46.741000+00:00,11315,18,43,1288
2026-06-28T13:28:47.343000+00:00,11315,19,43,1288
2026-06-28T13:28:47.343000+00:00,11315,18,18,1288
2026-06-28T13:28:54.858000+00:00,11315,20,43,1288
2026-06-28T13:28:54.858000+00:00,11315,19,23,1288
2026-06-28T13:28:57.239000+00:00,11315,2,63,1288
2026-06-28T13:28:57.239000+00:00,11315,3,1,1288
2026-06-28T13:29:02.904000+00:00,11315,11,30,1288
2026-06-28T13:29:02.904000+00:00,11315,10,41,1288
2026-06-28T13:29:06.220000+00:00,11315,3,44,1288
2026-06-28T13:29:06.220000+00:00,11315,4,1,1288
2026-06-28T13:29:06.753000+00:00,11315,4,3,1288
2026-06-28T13:29:06.753000+00:00,11315,5,1,1288
2026-06-28T13:29:14.936000+00:00,11315,12,5,1288
2026-06-28T13:29:14.936000+00:00,11315,13,87,1288
2026-06-28T13:29:17.146000+00:00,11315,5,16,1288
2026-06-28T13:29:17.146000+00:00,11315,6,1,1288
2026-06-28T13:29:17.571000+00:00,11315,18,23,1288
2026-06-28T13:29:17.571000+00:00,11315,19,18,1288
2026-06-28T13:29:23.321000+00:00,11315,7,1,1288
